"sample"	"majority_cluster"	"tied_with"	"majority_pct"	"disagreement"	"tie"
"1"	"EOC1003_p2Ome1_TR_DNA"	1	NA	2.5	FALSE	FALSE
"2"	"EOC1003_p2OvaL1_TR_DNA"	1	NA	2.5	FALSE	FALSE
"3"	"EOC1003_p2OvaR1_DNA1"	1	NA	2.5	FALSE	FALSE
"4"	"EOC1022_pOme1_DNA1"	2	NA	2.5	FALSE	FALSE
"5"	"EOC1022_pPer1_DNA1"	2	NA	2.5	FALSE	FALSE
"6"	"EOC1067_pOme1_DNA3"	1	NA	2.5	FALSE	FALSE
"7"	"EOC1067_pOvaR1_DNA1"	1	NA	2.5	FALSE	FALSE
"8"	"EOC1067_pPerR1_DNA1"	1	NA	2.5	FALSE	FALSE
"9"	"EOC1067_pTubL1_DNA1"	1	NA	2.5	FALSE	FALSE
"10"	"EOC1091_pOme1_TR_DNA"	1	NA	2.5	FALSE	FALSE
"11"	"EOC1091_pOvaR1_TR_DNA"	1	NA	2.5	FALSE	FALSE
"12"	"EOC124_pOvaL1_TR_DNA1"	3	NA	2.5	FALSE	FALSE
"13"	"EOC124_pOvaR1_TR"	3	NA	2.5	FALSE	FALSE
"14"	"EOC133_pAsc1_DNA1"	4	NA	2.5	FALSE	FALSE
"15"	"EOC133_pOme1_TR_DNA"	4	NA	2.5	FALSE	FALSE
"16"	"EOC133_pOvaL1_DNA1"	4	NA	2.5	FALSE	FALSE
"17"	"EOC148_pAdnL1_DNA1"	3	NA	2.5	FALSE	FALSE
"18"	"EOC148_pAdnL3_DNA1"	3	NA	2.5	FALSE	FALSE
"19"	"EOC148_pOvaL4_DNA1"	3	NA	2.5	FALSE	FALSE
"20"	"EOC148_pOvaL5_DNA1"	3	NA	2.5	FALSE	FALSE
"21"	"EOC192_iOme1B_DNA2"	5	NA	2.5	FALSE	FALSE
"22"	"EOC192_iOme3A_DNA1"	5	NA	2.5	FALSE	FALSE
"23"	"EOC192_iOvaR1A_DNA1"	5	NA	2.5	FALSE	FALSE
"24"	"EOC192_pAsc1_DNA1"	5	NA	2.5	FALSE	FALSE
"25"	"EOC192_pOme1A_TR_DNA1"	5	NA	2.5	FALSE	FALSE
"26"	"EOC192_pOme2B_DNA2"	5	NA	2.45	FALSE	FALSE
"27"	"EOC192_pOvaR1A_DNA1"	5	NA	2.5	FALSE	FALSE
"28"	"EOC192_pOvaR1A_DNA3"	5	NA	2.5	FALSE	FALSE
"29"	"EOC192_pPer1A_DNA2"	5	NA	2.45	FALSE	FALSE
"30"	"EOC192_pPer2B_DNA1"	2	NA	2.5	FALSE	FALSE
"31"	"EOC293_pAdnL1_DNA1"	6	NA	2.45	FALSE	FALSE
"32"	"EOC293_pMes1_DNA2"	6	NA	2.45	FALSE	FALSE
"33"	"EOC293_pOvaR1_DNA2"	6	NA	2.45	FALSE	FALSE
"34"	"EOC372_iOme1_DNA1"	3	NA	2.5	FALSE	FALSE
"35"	"EOC372_iPer1_DNA1"	3	NA	2.5	FALSE	FALSE
"36"	"EOC372_pPer1_DNA1"	3	NA	2.5	FALSE	FALSE
"37"	"EOC523_pOme1_DNA2"	3	NA	2.5	FALSE	FALSE
"38"	"EOC523_pOvaR1_DNA2"	3	NA	2.5	FALSE	FALSE
"39"	"EOC561_pPer1_DNA1"	6	NA	2.45	FALSE	FALSE
"40"	"EOC561_pPer1_DNA1_bgiseq"	6	NA	2.45	FALSE	FALSE
"41"	"EOC63_pOme1_DNA1"	3	NA	2.5	FALSE	FALSE
"42"	"EOC63_pOvaR1_DNA1"	3	NA	2.5	FALSE	FALSE
"43"	"EOC667_pMes1_DNA1"	3	NA	2.5	FALSE	FALSE
"44"	"EOC667_pOme1_DNA2"	3	NA	2.5	FALSE	FALSE
"45"	"EOC779_pOme1_DNA1"	4	NA	2.5	FALSE	FALSE
"46"	"EOC779_pOvaL1_DNA1"	4	NA	2.5	FALSE	FALSE
"47"	"EOC779_pPer1_DNA1"	4	NA	2.5	FALSE	FALSE
"48"	"EOC77_iOme1_DNA1"	2	NA	2.5	FALSE	FALSE
"49"	"EOC77_iOme2_DNA1"	5	NA	2.5	FALSE	FALSE
"50"	"EOC77_iPer1_DNA2"	5	NA	2.5	FALSE	FALSE
"51"	"EOC77_pAsc1_DNA1"	5	NA	2.45	FALSE	FALSE
"52"	"EOC77_pOme1_DNA3"	5	NA	2.45	FALSE	FALSE
"53"	"EOC863_pMes1_DNA1"	1	NA	2.5	FALSE	FALSE
"54"	"EOC863_pOva1_DNA1"	1	NA	2.5	FALSE	FALSE
"55"	"EOC879_p2Ome1_DNA1"	1	NA	2.5	FALSE	FALSE
"56"	"EOC879_p2OvaL1_DNA1"	2	NA	2.5	FALSE	FALSE
"57"	"EOC879_p2TubL1_DNA1"	2	NA	2.5	FALSE	FALSE
"58"	"EOC914_iOme1_DNA1"	1	NA	2.5	FALSE	FALSE
"59"	"EOC914_iOvaL1_DNA1"	1	NA	2.5	FALSE	FALSE
"60"	"EOC914_iPer1_DNA1"	1	NA	2.5	FALSE	FALSE
"61"	"EOC984_pOme1_DNA1"	5	NA	2.45	FALSE	FALSE
"62"	"EOC984_pPer1_DNA1"	5	NA	2.45	FALSE	FALSE
