Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
EOC1003_p2OvaL1_TR_DNA	226	0	669	0	235	0	363	663	200	400
EOC1003_p2OvaR1_DNA1	184	0	738	0	281	0	101	342	315	0
EOC1022_pOme1_DNA1	0	77	0	0	414	20	0	0	374	0
EOC1022_pPer1_DNA1	79	319	0	97	341	136	0	0	313	74
EOC1067_pOme1_DNA3	256	1	291	188	67	10	214	0	276	302
EOC1067_pOvaR1_DNA1	485	874	561	241	0	0	557	0	152	363
EOC1067_pPerR1_DNA1	95	0	476	10	133	42	134	44	281	287
EOC1067_pTubL1_DNA1	154	0	983	50	41	0	51	288	223	377
EOC1091_pOme1_TR_DNA	153	0	1223	44	834	0	76	120	102	547
EOC1091_pOvaR1_TR_DNA	193	0	626	0	49	0	185	743	167	675
EOC124_pOvaL1_TR_DNA1	1038	889	215	1048	51	694	390	0	24	68
EOC124_pOvaR1_TR	382	402	0	546	892	1075	108	364	75	204
EOC133_pAsc1_DNA1	901	0	267	0	279	1412	160	170	114	190
EOC133_pOme1_TR_DNA	635	0	190	0	406	1110	200	269	124	257
EOC133_pOvaL1_DNA1	853	4	239	115	270	1203	173	0	143	136
EOC148_pAdnL1_DNA1	1513	292	595	2227	1538	555	58	425	0	0
EOC148_pAdnL3_DNA1	1552	263	719	2001	1327	557	223	127	0	0
EOC148_pOvaL4_DNA1	655	265	48	1699	1552	437	418	124	74	2
EOC148_pOvaL5_DNA1	1234	301	463	2247	1267	516	354	117	0	0
EOC192_iOme1B_DNA2	28	0	0	0	9	2	211	38	391	0
EOC192_iOme3A_DNA1	0	0	0	0	0	0	281	38	382	0
EOC192_iOvaR1A_DNA1	155	198	0	0	0	28	22	61	362	133
EOC192_pAsc1_DNA1	23	35	0	0	0	34	264	86	385	54
EOC192_pOme1A_TR_DNA1	130	235	0	0	0	0	15	34	364	140
EOC192_pOme2B_DNA2	105	239	0	0	11	16	3	54	358	178
EOC192_pOvaR1A_DNA1	131	204	0	0	0	18	32	40	367	115
EOC192_pOvaR1A_DNA3	157	235	0	13	0	18	22	4	354	114
EOC192_pPer1A_DNA2	103	158	0	0	0	39	0	241	348	230
EOC192_pPer2B_DNA1	41	213	161	0	466	0	0	58	301	150
EOC293_pAdnL1_DNA1	637	2925	0	127	72	0	1918	0	1	318
EOC293_pMes1_DNA2	44	1866	19	7	404	0	3243	636	0	105
EOC293_pOvaR1_DNA2	254	1818	0	102	70	14	2695	0	25	288
EOC372_iOme1_DNA1	384	0	171	1354	901	272	274	110	50	469
EOC372_iPer1_DNA1	0	0	139	348	948	161	440	75	173	246
EOC372_pPer1_DNA1	50	0	165	609	905	192	690	206	102	231
EOC523_pOme1_DNA2	1248	0	17	0	350	11	0	316	296	0
EOC523_pOvaR1_DNA2	1014	0	0	0	457	0	0	284	277	0
EOC561_pPer1_DNA1	765	2313	0	0	217	107	452	207	49	982
EOC561_pPer1_DNA1_bgiseq	490	1566	0	0	165	116	1213	0	72	772
EOC63_pOme1_DNA1	2955	820	0	3025	0	3551	0	2996	0	0
EOC63_pOvaR1_DNA1	0	251	219	319	1963	850	76	34	109	0
EOC667_pMes1_DNA1	929	545	0	1833	0	684	259	360	80	211
EOC667_pOme1_DNA2	932	483	0	1884	0	390	290	0	88	223
EOC77_iOme1_DNA1	0	283	40	26	411	0	107	125	352	0
EOC77_iOme2_DNA1	147	300	0	0	9	27	41	305	369	43
EOC77_iPer1_DNA2	266	380	0	66	0	26	82	88	327	161
EOC77_pAsc1_DNA1	96	282	18	42	28	0	52	96	352	127
EOC77_pOme1_DNA3	194	390	9	0	0	0	0	60	309	317
EOC779_pOme1_DNA1	377	0	0	0	416	767	193	0	252	31
EOC779_pOvaL1_DNA1	1477	0	0	232	0	2346	209	0	43	0
EOC779_pPer1_DNA1	930	0	0	177	225	1640	198	0	103	69
EOC863_pMes1_DNA1	18	0	852	0	362	0	188	274	257	0
EOC863_pOva1_DNA1	544	0	1737	0	0	0	0	211	222	31
EOC879_p2Ome1_DNA1	339	325	1086	4	184	0	359	122	95	475
EOC879_p2OvaL1_DNA1	4	1869	2364	314	1400	0	0	92	0	0
EOC879_p2TubL1_DNA1	0	1632	1911	220	1493	0	0	196	0	0
EOC914_iOme1_DNA1	343	394	1675	64	0	222	341	335	136	98
EOC914_iOvaL1_DNA1	124	419	1423	100	92	163	161	648	161	208
EOC914_iPer1_DNA1	210	325	1542	55	86	120	421	371	131	132
EOC984_pOme1_DNA1	176	166	0	124	0	222	17	119	333	0
EOC984_pPer1_DNA1	185	164	0	130	0	205	53	87	332	0
