Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
EOC1003_p2OvaL1_TR_DNA	1.73E+01	1.16E+00	2.57E+01	3.64E+00	9.94E+00	5.02E+00	1.36E+01	1.40E+01	4.09E+00	2.29E+01
EOC1003_p2OvaR1_DNA1	8.82E+00	4.73E-01	1.75E+01	3.27E+00	1.06E+01	5.62E+00	7.27E+00	1.02E+01	3.43E+00	1.31E+01
EOC1022_pOme1_DNA1	2.74E+00	5.52E+00	7.60E+00	1.75E+00	7.22E+00	2.85E+00	1.30E-01	2.52E+00	3.28E+00	4.04E+00
EOC1022_pPer1_DNA1	4.73E+00	6.94E+00	6.50E+00	4.58E+00	5.72E+00	6.03E+00	2.32E+00	5.25E+00	4.37E+00	5.84E+00
EOC1067_pOme1_DNA3	9.84E+00	4.73E+00	1.45E+01	5.10E+00	6.60E+00	6.52E+00	7.14E+00	3.67E+00	4.69E+00	1.75E+01
EOC1067_pOvaR1_DNA1	2.49E+01	2.22E+01	2.25E+01	9.86E+00	6.45E+00	1.18E+01	1.87E+01	1.22E+01	4.30E+00	3.66E+01
EOC1067_pPerR1_DNA1	5.92E+00	2.34E+00	1.39E+01	3.61E+00	6.12E+00	2.73E+00	6.04E+00	5.65E+00	4.13E+00	1.26E+01
EOC1067_pTubL1_DNA1	8.81E+00	4.37E+00	2.47E+01	5.00E+00	8.88E+00	2.02E+00	8.06E+00	1.09E+01	3.88E+00	1.95E+01
EOC1091_pOme1_TR_DNA	1.75E+01	4.80E+00	2.36E+01	6.25E+00	1.41E+01	4.88E+00	9.38E+00	1.23E+01	3.46E+00	2.23E+01
EOC1091_pOvaR1_TR_DNA	2.48E+01	2.56E+00	2.41E+01	4.85E+00	7.99E+00	2.27E+00	1.24E+01	1.68E+01	4.96E+00	2.69E+01
EOC124_pOvaL1_TR_DNA1	3.77E+01	1.89E+01	1.47E+01	1.78E+01	6.78E+00	3.69E+01	1.30E+01	1.50E+01	1.86E+00	2.58E+01
EOC124_pOvaR1_TR	2.49E+01	1.20E+01	1.02E+01	1.17E+01	1.48E+01	2.59E+01	7.80E+00	1.39E+01	2.91E+00	1.93E+01
EOC133_pAsc1_DNA1	4.99E+01	6.32E-01	1.26E+01	1.05E+00	1.13E+01	4.63E+01	6.45E+00	1.27E+01	2.68E+00	3.28E+01
EOC133_pOme1_TR_DNA	3.58E+01	7.09E-01	1.26E+01	1.42E-01	1.06E+01	3.49E+01	7.79E+00	1.06E+01	2.65E+00	2.68E+01
EOC133_pOvaL1_DNA1	5.24E+01	4.30E-01	1.14E+01	1.61E+00	9.19E+00	4.47E+01	6.12E+00	8.52E+00	2.68E+00	3.20E+01
EOC148_pAdnL1_DNA1	5.72E+01	8.39E+00	3.63E+01	5.30E+01	2.89E+01	6.14E+01	1.41E+01	4.19E+01	9.73E-01	4.58E+01
EOC148_pAdnL3_DNA1	4.16E+01	7.86E+00	3.52E+01	4.56E+01	2.48E+01	4.82E+01	1.54E+01	3.31E+01	3.82E-01	3.99E+01
