MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
7.40E+01	1.20E-03	1.66E-03	1.88E-03	2.94E-03	2.30E-03	5.91E-03	1.94E-03	2.44E-03	1.10E-03	4.03E-03
1.33E+02	4.72E-04	5.17E-04	1.77E-03	6.78E-04	1.64E-03	7.92E-04	4.53E-03	4.05E-03	1.35E-03	1.91E-03
8.30E+01	6.91E-04	4.50E-04	1.12E-03	5.35E-04	5.50E-04	7.00E-04	3.70E-04	7.23E-04	4.43E-04	1.75E-03
2.01E+02	1.94E-03	1.20E-03	1.93E-03	1.89E-03	2.56E-03	4.81E-03	2.12E-03	3.66E-03	1.18E-03	3.78E-03
4.80E+01	2.10E-03	1.92E-04	4.95E-04	1.75E-04	2.72E-04	3.67E-04	2.58E-04	8.70E-04	4.76E-04	4.60E-03
3.20E+01	2.91E-03	2.13E-04	6.30E-04	6.73E-05	1.09E-04	2.11E-05	3.75E-04	1.35E-03	8.03E-04	6.37E-03
1.10E+01	1.09E-04	6.78E-05	0.00E+00	1.55E-03	8.82E-04	3.30E-03	3.77E-05	7.48E-04	1.75E-04	1.31E-03
7.00E+00	1.43E-04	6.78E-05	1.54E-04	6.90E-04	3.97E-04	1.74E-03	2.20E-05	3.00E-04	1.45E-04	6.84E-04
4.00E+00	2.13E-04	5.60E-04	3.59E-04	2.63E-04	1.79E-04	6.11E-04	3.69E-05	3.23E-04	2.93E-05	3.36E-04
1.00E+01	2.72E-04	8.84E-04	4.51E-04	2.04E-04	1.78E-04	1.17E-04	4.93E-06	4.05E-04	2.87E-04	4.80E-04
4.00E+00	6.68E-05	6.75E-05	7.67E-05	7.33E-05	3.82E-05	7.26E-05	7.61E-05	1.28E-04	6.84E-05	1.35E-04
3.00E+00	1.59E-04	9.57E-05	5.09E-05	8.62E-05	7.26E-05	2.49E-05	6.25E-06	9.12E-05	9.66E-05	2.11E-04
7.00E+00	1.70E-05	6.22E-04	3.51E-04	1.36E-03	4.89E-04	0.00E+00	3.59E-05	2.35E-04	1.58E-09	2.88E-04
4.00E+00	4.74E-04	1.26E-03	8.78E-04	1.09E-04	1.60E-04	0.00E+00	1.11E-03	9.80E-04	7.21E-04	2.13E-03
4.00E+00	3.54E-04	1.17E-03	0.00E+00	1.85E-04	3.17E-04	6.31E-05	9.99E-04	4.90E-05	5.18E-05	1.34E-03
2.00E+00	2.79E-05	2.72E-05	2.71E-05	3.08E-05	2.52E-05	4.54E-05	1.91E-05	4.14E-05	5.74E-06	2.43E-05
0.00E+00	5.82E-05	4.29E-05	3.20E-05	3.30E-05	1.30E-05	4.44E-05	1.18E-05	4.13E-05	1.65E-05	6.27E-05
