Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K
EOC1003_p2OvaL1_TR_DNA	223	0	155	229	605	0	27	408	611	219	279
EOC1003_p2OvaR1_DNA1	201	0	0	270	705	0	18	126	339	302	0
EOC1022_pOme1_DNA1	0	80	0	386	0	0	54	0	0	356	9
EOC1022_pPer1_DNA1	49	307	141	323	0	62	124	0	0	296	57
EOC1067_pOme1_DNA3	123	0	533	111	340	49	3	136	0	249	61
EOC1067_pOvaR1_DNA1	225	648	1087	0	686	82	0	344	83	78	0
EOC1067_pPerR1_DNA1	9	0	338	165	409	0	8	113	78	270	112
EOC1067_pTubL1_DNA1	72	0	376	87	848	13	0	62	322	210	177
EOC1091_pOme1_TR_DNA	75	0	248	840	1020	125	0	156	90	117	428
EOC1091_pOvaR1_TR_DNA	161	0	230	74	464	7	0	276	664	202	560
EOC124_pOvaL1_TR_DNA1	956	858	515	48	157	861	548	312	0	0	162
EOC124_pOvaR1_TR	338	232	602	912	0	519	878	24	445	37	61
EOC133_pAsc1_DNA1	791	0	692	378	100	0	1063	66	288	88	27
EOC133_pOme1_TR_DNA	550	0	590	476	75	0	847	130	353	108	62
EOC133_pOvaL1_DNA1	757	0	627	348	209	0	967	81	33	110	4
EOC148_pAdnL1_DNA1	1585	365	0	1389	750	2018	524	131	397	0	44
EOC148_pAdnL3_DNA1	1548	318	0	1232	688	1840	478	274	74	0	317
EOC148_pOvaL4_DNA1	714	310	29	1437	153	1555	395	407	77	67	130
EOC148_pOvaL5_DNA1	1303	367	58	1143	581	2051	457	375	89	0	75
EOC192_iOme1B_DNA2	33	0	0	5	0	0	4	207	32	379	19
EOC192_iOme3A_DNA1	8	0	0	0	0	0	0	281	33	377	2
EOC192_iOvaR1A_DNA1	88	114	201	0	0	0	25	9	82	343	97
EOC192_pAsc1_DNA1	0	0	124	0	0	0	23	236	97	365	36
EOC192_pOme1A_TR_DNA1	66	158	183	0	0	0	0	6	46	345	114
EOC192_pOme2B_DNA2	39	160	213	11	0	0	16	0	68	342	115
EOC192_pOvaR1A_DNA1	76	132	160	0	0	0	18	23	51	350	97
EOC192_pOvaR1A_DNA3	93	164	176	0	0	5	17	10	18	336	98
EOC192_pPer1A_DNA2	61	70	163	0	0	0	57	0	231	338	199
EOC192_pPer2B_DNA1	12	235	0	443	83	0	4	0	6	289	318
EOC293_pAdnL1_DNA1	338	2637	1354	8	28	0	0	1508	0	0	125
EOC293_pMes1_DNA2	51	1840	580	282	0	0	0	2855	525	0	191
EOC293_pOvaR1_DNA2	28	1626	1274	73	0	0	0	2231	0	0	34
EOC372_iOme1_DNA1	290	0	604	910	198	1235	179	196	158	31	184
EOC372_iPer1_DNA1	25	0	0	876	179	393	170	475	14	191	207
EOC372_pPer1_DNA1	86	0	146	860	202	619	158	657	169	111	142
EOC523_pOme1_DNA2	1130	0	0	325	38	0	1	12	308	301	123
EOC523_pOvaR1_DNA2	941	0	0	450	0	0	0	0	299	300	42
EOC561_pPer1_DNA1	291	1791	1688	215	0	0	60	198	344	0	505
EOC561_pPer1_DNA1_bgiseq	85	1184	1627	243	0	0	14	888	48	2	303
EOC63_pOme1_DNA1	3583	996	0	0	0	2623	3167	0	2978	0	0
EOC63_pOvaR1_DNA1	0	250	0	1842	301	353	814	146	24	91	0
EOC667_pMes1_DNA1	741	144	1155	0	0	1821	409	11	620	0	0
EOC667_pOme1_DNA2	750	279	1103	0	0	1784	189	103	82	0	0
EOC77_iOme1_DNA1	0	313	34	380	29	16	0	112	124	336	0
EOC77_iOme2_DNA1	80	198	257	20	0	0	0	0	354	332	0
EOC77_iPer1_DNA2	150	267	395	0	0	53	1	25	148	298	59
EOC77_pAsc1_DNA1	51	240	153	22	0	30	0	50	101	339	107
EOC77_pOme1_DNA3	118	304	190	0	0	0	0	24	20	306	317
EOC779_pOme1_DNA1	353	0	260	443	0	0	595	149	0	236	0
EOC779_pOvaL1_DNA1	1407	0	928	0	0	0	1916	56	0	0	0
EOC779_pPer1_DNA1	822	0	803	343	0	0	1303	31	0	40	0
EOC863_pMes1_DNA1	51	0	0	352	835	0	0	206	260	247	0
EOC863_pOva1_DNA1	503	0	110	14	1578	0	0	22	243	206	69
EOC879_p2Ome1_DNA1	215	260	456	210	914	22	0	357	127	92	336
EOC879_p2OvaL1_DNA1	113	2265	0	1256	2035	234	0	44	66	0	30
EOC879_p2TubL1_DNA1	44	1945	0	1360	1587	203	0	130	183	0	0
EOC914_iOme1_DNA1	315	403	344	10	1469	47	161	332	391	109	27
EOC914_iOvaL1_DNA1	112	422	351	128	1197	93	113	173	697	135	78
EOC914_iPer1_DNA1	170	321	366	131	1316	74	55	390	425	101	44
EOC984_pOme1_DNA1	162	120	138	0	0	91	185	3	146	312	0
EOC984_pPer1_DNA1	166	118	143	0	0	98	170	35	113	313	0
