MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K
7.40E+01	1.35E-03	2.55E-03	4.02E-03	2.14E-03	1.90E-03	2.87E-03	5.95E-03	1.33E-03	2.94E-03	8.87E-04	3.74E-03
1.33E+02	5.22E-04	7.67E-04	1.95E-03	1.56E-03	2.21E-03	5.35E-04	8.66E-04	3.53E-03	3.35E-03	1.24E-03	8.52E-04
8.30E+01	6.56E-04	6.04E-04	1.55E-03	6.46E-04	1.19E-03	6.31E-04	7.87E-04	3.13E-04	8.74E-04	4.90E-04	1.77E-03
2.01E+02	1.62E-03	1.38E-03	4.27E-03	2.05E-03	1.97E-03	1.65E-03	3.80E-03	1.74E-03	3.01E-03	1.01E-03	3.35E-03
4.80E+01	1.78E-03	2.68E-04	3.76E-04	1.55E-04	7.36E-04	1.56E-04	6.13E-04	2.49E-04	1.37E-03	3.65E-04	5.26E-03
3.20E+01	2.26E-03	2.36E-04	2.27E-04	8.74E-05	8.80E-04	5.76E-05	0.00E+00	3.58E-04	1.90E-03	6.54E-04	6.96E-03
1.10E+01	6.26E-04	5.28E-04	7.86E-04	5.63E-04	0.00E+00	1.54E-03	3.53E-03	6.65E-05	4.11E-04	1.75E-04	2.15E-04
7.00E+00	3.77E-04	2.57E-04	4.23E-04	3.07E-04	2.26E-04	7.85E-04	1.95E-03	2.67E-05	2.21E-04	1.45E-04	1.88E-04
4.00E+00	2.59E-04	8.88E-04	3.34E-04	1.21E-04	5.65E-04	2.59E-04	8.21E-04	5.00E-05	4.08E-04	2.36E-05	2.50E-04
1.00E+01	2.88E-04	1.43E-03	5.11E-04	1.62E-04	9.47E-04	1.41E-04	1.55E-04	9.98E-06	6.78E-04	3.23E-04	6.82E-04
4.00E+00	8.77E-05	7.94E-05	1.07E-04	3.49E-05	8.83E-05	7.44E-05	6.96E-05	8.23E-05	1.26E-04	6.72E-05	1.02E-04
3.00E+00	1.49E-04	9.12E-05	5.45E-05	8.15E-05	4.04E-05	9.51E-05	2.98E-05	4.23E-06	9.55E-05	9.68E-05	3.11E-04
7.00E+00	2.49E-05	7.19E-04	2.05E-04	4.24E-04	3.32E-04	1.44E-03	9.74E-04	3.89E-05	3.91E-04	1.45E-09	2.67E-04
4.00E+00	5.04E-05	2.47E-03	3.24E-03	8.17E-05	3.38E-04	1.23E-04	5.34E-06	6.60E-04	1.54E-03	5.67E-04	2.35E-03
4.00E+00	6.60E-05	1.52E-03	1.84E-03	3.08E-04	0.00E+00	1.76E-04	1.27E-04	1.15E-03	2.32E-05	0.00E+00	1.45E-03
2.00E+00	5.05E-05	2.98E-05	2.40E-05	2.80E-05	3.59E-05	2.85E-05	5.45E-05	2.01E-05	4.55E-05	6.32E-06	1.65E-05
0.00E+00	5.74E-05	5.34E-05	7.18E-05	1.25E-05	3.80E-05	3.74E-05	4.71E-05	0.00E+00	4.83E-05	1.62E-05	3.39E-05
0.00E+00	7.62E-05	4.29E-05	6.19E-05	3.88E-05	0.00E+00	6.00E-05	1.05E-04	6.99E-07	3.41E-05	3.91E-05	3.85E-05
1.00E+01	3.15E-05	1.59E-04	2.50E-04	1.43E-04	1.45E-04	1.15E-04	2.39E-04	1.51E-05	1.48E-04	1.25E-04	4.28E-04
3.40E+01	5.37E-04	1.65E-04	2.45E-04	1.10E-05	4.35E-04	2.45E-04	1.06E-04	1.10E-05	2.15E-04	1.33E-04	2.58E-04
1.13E+00	2.13E-05	2.71E-05	5.84E-05	2.82E-05	2.56E-05	2.36E-05	4.37E-05	2.45E-05	1.94E-05	8.23E-05	6.87E-05
1.70E+00	4.33E-05	2.44E-05	5.05E-05	2.85E-05	4.01E-05	2.22E-05	2.83E-05	3.05E-05	2.90E-05	9.66E-05	1.24E-04
0.00E+00	9.35E-05	4.71E-05	1.87E-04	2.42E-05	1.93E-05	6.79E-05	2.10E-04	2.32E-05	1.45E-05	3.52E-06	3.71E-05
1.39E+02	3.46E-03	1.05E-03	5.54E-03	2.80E-03	1.59E-03	2.87E-03	5.74E-03	7.27E-04	4.43E-03	3.64E-04	2.86E-03
2.10E+02	1.87E-03	3.28E-03	5.07E-03	2.63E-03	2.67E-03	2.56E-03	2.01E-03	1.56E-03	3.05E-03	4.41E-04	3.63E-03
3.43E+02	2.14E-03	3.47E-03	5.23E-03	3.15E-03	2.96E-03	2.04E-03	5.15E-03	2.06E-03	3.99E-03	1.35E-03	4.39E-03
2.90E+01	1.99E-04	1.30E-04	2.16E-04	9.82E-05	2.37E-04	4.80E-05	5.59E-05	6.58E-05	1.23E-04	1.50E-03	5.85E-04
7.00E+01	5.21E-04	1.95E-04	2.77E-03	7.53E-04	9.52E-04	1.77E-04	1.30E-03	3.51E-04	1.07E-03	1.35E-03	1.91E-03
2.80E+01	5.11E-04	5.75E-04	2.04E-03	9.16E-04	6.39E-04	4.73E-04	1.80E-03	4.23E-04	5.35E-04	1.20E-04	1.27E-03
3.00E+00	2.79E-04	2.47E-04	3.92E-04	6.56E-05	2.19E-04	2.20E-04	1.70E-04	3.35E-04	9.04E-05	0.00E+00	2.89E-04
3.00E+00	8.95E-05	2.15E-05	2.63E-05	1.37E-05	4.43E-05	3.91E-05	1.11E-05	2.01E-10	1.37E-04	7.16E-10	3.97E-05
4.07E+02	3.70E-03	2.76E-03	2.35E-03	2.39E-03	2.87E-03	1.95E-03	2.41E-03	3.19E-03	5.07E-03	2.08E-03	5.46E-03
3.40E+01	3.77E-04	4.76E-04	5.31E-04	3.14E-04	4.35E-04	4.34E-04	4.84E-04	4.24E-04	5.22E-04	2.61E-04	8.29E-04
4.00E+00	4.75E-04	3.92E-04	4.18E-04	0.00E+00	1.74E-04	2.31E-04	4.68E-04	2.52E-04	1.16E-04	0.00E+00	4.47E-04
9.00E+00	1.42E-04	7.38E-05	1.23E-04	7.05E-05	9.25E-05	5.36E-05	7.12E-05	6.64E-05	6.06E-05	3.75E-04	2.08E-04
1.30E+01	2.81E-05	3.83E-05	2.54E-04	4.89E-05	1.50E-04	5.43E-06	7.69E-05	3.29E-05	1.37E-04	5.49E-04	2.58E-04
1.80E+01	2.81E-04	1.10E-04	1.16E-03	3.75E-04	3.02E-04	1.26E-04	6.69E-04	2.04E-04	3.32E-04	3.19E-04	8.09E-04
6.00E+00	1.50E-04	2.13E-04	2.93E-04	1.16E-04	1.96E-04	1.38E-04	2.11E-04	2.92E-04	6.52E-05	0.00E+00	2.27E-04
