Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L
EOC1003_p2OvaL1_TR_DNA	423	122	141	687	0	0	0	11	376	595	181	220
EOC1003_p2OvaR1_DNA1	0	248	140	776	0	0	0	36	183	264	309	5
EOC1022_pOme1_DNA1	0	0	381	0	17	0	5	87	0	0	350	45
EOC1022_pPer1_DNA1	134	15	329	0	297	80	25	145	0	0	288	46
EOC1067_pOme1_DNA3	628	22	67	353	103	0	10	0	126	0	224	72
EOC1067_pOvaR1_DNA1	961	69	0	497	867	331	0	0	325	84	81	18
EOC1067_pPerR1_DNA1	380	0	81	475	0	0	18	0	127	65	268	88
EOC1067_pTubL1_DNA1	524	0	0	840	79	0	0	0	86	297	186	155
EOC1091_pOme1_TR_DNA	442	0	722	1006	195	0	26	0	169	114	108	317
EOC1091_pOvaR1_TR_DNA	447	53	19	493	111	0	0	0	261	663	180	411
EOC124_pOvaL1_TR_DNA1	588	778	145	0	1229	86	629	586	212	0	0	164
EOC124_pOvaR1_TR	564	291	883	0	180	316	513	783	22	411	19	66
EOC133_pAsc1_DNA1	908	662	281	239	0	15	0	983	30	278	37	60
EOC133_pOme1_TR_DNA	808	430	391	213	0	0	0	784	89	342	62	72
EOC133_pOvaL1_DNA1	820	643	258	311	0	25	0	878	48	42	65	46
EOC148_pAdnL1_DNA1	0	1614	1230	840	130	357	1951	483	161	326	0	111
EOC148_pAdnL3_DNA1	106	1517	1132	690	293	216	1740	433	266	80	0	296
EOC148_pOvaL4_DNA1	73	719	1375	252	57	335	1492	363	370	75	47	116
EOC148_pOvaL5_DNA1	125	1289	1060	597	252	291	1946	408	348	69	0	114
EOC192_iOme1B_DNA2	0	35	6	0	0	20	0	1	200	19	376	22
EOC192_iOme3A_DNA1	0	15	0	0	0	0	0	4	272	18	375	17
EOC192_iOvaR1A_DNA1	137	73	0	0	0	229	9	0	17	82	338	74
EOC192_pAsc1_DNA1	99	0	0	0	0	62	0	13	232	77	362	36
EOC192_pOme1A_TR_DNA1	113	53	0	0	51	212	0	0	16	48	340	85
EOC192_pOme2B_DNA2	173	11	16	0	71	200	0	1	0	73	336	83
EOC192_pOvaR1A_DNA1	99	66	0	0	0	226	11	0	30	55	346	74
EOC192_pOvaR1A_DNA3	110	80	0	0	28	233	18	0	15	26	333	74
EOC192_pPer1A_DNA2	134	40	0	0	0	202	0	33	5	228	332	145
EOC192_pPer2B_DNA1	0	4	438	87	237	38	0	29	0	24	302	231
EOC293_pAdnL1_DNA1	330	387	142	108	786	2768	0	0	1376	0	0	101
EOC293_pMes1_DNA2	23	103	381	153	422	2002	0	0	2606	528	0	106
EOC293_pOvaR1_DNA2	650	0	197	0	660	1674	0	0	2036	0	0	49
EOC372_iOme1_DNA1	774	180	830	306	0	83	1209	115	162	176	4	146
EOC372_iPer1_DNA1	169	0	829	249	0	0	362	147	423	36	175	140
EOC372_pPer1_DNA1	361	17	816	278	0	0	606	116	583	181	85	107
EOC523_pOme1_DNA2	0	1089	262	99	0	0	0	27	41	280	287	153
EOC523_pOvaR1_DNA2	0	907	425	0	0	0	0	0	0	284	298	118
EOC561_pPer1_DNA1	741	307	240	90	0	2744	3	0	206	426	0	335
EOC561_pPer1_DNA1_bgiseq	914	66	264	45	0	1933	0	0	846	119	0	207
EOC63_pOme1_DNA1	0	3549	0	0	2217	0	1820	3289	0	2441	0	31
EOC63_pOvaR1_DNA1	0	16	1732	437	0	230	388	768	164	4	82	0
EOC667_pMes1_DNA1	1065	615	0	0	399	315	1637	335	7	528	0	0
EOC667_pOme1_DNA2	1078	586	0	0	664	152	1522	180	61	47	0	0
EOC77_iOme1_DNA1	0	0	400	0	287	83	7	22	103	103	339	0
EOC77_iOme2_DNA1	170	61	21	0	48	286	0	0	6	326	323	0
EOC77_iPer1_DNA2	305	103	0	0	207	251	28	0	26	135	292	49
EOC77_pAsc1_DNA1	108	28	35	0	151	198	22	0	44	97	334	76
EOC77_pOme1_DNA3	133	84	0	0	270	194	0	0	22	43	313	220
EOC779_pOme1_DNA1	462	267	449	0	0	0	0	540	112	11	195	0
EOC779_pOvaL1_DNA1	1159	1276	0	0	29	53	60	1716	14	0	0	0
EOC779_pPer1_DNA1	1024	697	333	0	50	25	8	1195	9	0	0	1
EOC863_pMes1_DNA1	0	108	214	889	0	0	0	0	258	195	259	28
EOC863_pOva1_DNA1	329	408	0	1333	102	0	0	0	68	212	155	138
EOC879_p2Ome1_DNA1	569	107	152	825	436	59	0	0	344	148	87	262
EOC879_p2OvaL1_DNA1	0	0	1422	1393	2483	323	211	23	19	74	0	95
EOC879_p2TubL1_DNA1	0	0	1460	1188	1870	423	221	0	81	180	2	27
EOC914_iOme1_DNA1	529	182	0	1185	750	0	0	108	325	351	91	87
EOC914_iOvaL1_DNA1	475	4	96	988	771	0	16	109	189	620	126	105
EOC914_iPer1_DNA1	513	70	64	1160	587	13	21	31	388	375	90	81
EOC984_pOme1_DNA1	138	136	0	0	255	0	12	202	2	105	307	0
EOC984_pPer1_DNA1	141	140	0	0	250	0	21	187	31	76	310	0
