Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L
EOC1003_p2OvaL1_TR_DNA	1.94E+01	1.43E+01	9.73E+00	2.48E+01	2.67E+01	4.91E+00	3.37E+00	5.91E+00	1.03E+01	1.28E+01	3.78E+00	1.01E+01
EOC1003_p2OvaR1_DNA1	7.77E+00	1.01E+01	1.22E+01	2.08E+01	1.91E+01	1.19E+00	2.98E+00	3.85E+00	7.85E+00	9.53E+00	3.54E+00	7.15E+00
EOC1022_pOme1_DNA1	8.11E-01	7.43E-01	4.99E+00	6.46E+00	6.11E+00	3.84E+00	1.86E+00	2.88E+00	0.00E+00	2.19E+00	3.10E+00	1.85E+00
EOC1022_pPer1_DNA1	6.99E+00	4.91E+00	6.25E+00	6.09E+00	1.35E+01	1.06E+01	4.31E+00	4.79E+00	2.13E+00	2.93E+00	3.64E+00	2.72E+00
EOC1067_pOme1_DNA3	1.81E+01	1.09E+01	6.14E+00	1.37E+01	1.60E+01	4.56E+00	3.68E+00	4.09E+00	6.46E+00	5.36E+00	3.67E+00	5.81E+00
EOC1067_pOvaR1_DNA1	2.85E+01	1.78E+01	4.78E+00	2.09E+01	2.05E+01	2.10E+01	6.45E+00	6.02E+00	1.25E+01	1.11E+01	3.15E+00	1.20E+01
EOC1067_pPerR1_DNA1	1.44E+01	5.58E+00	6.76E+00	1.34E+01	1.54E+01	3.65E+00	3.17E+00	4.19E+00	5.81E+00	5.50E+00	3.65E+00	5.11E+00
EOC1067_pTubL1_DNA1	1.91E+01	9.00E+00	8.99E+00	2.49E+01	2.64E+01	4.32E+00	4.05E+00	4.49E+00	8.04E+00	1.03E+01	3.55E+00	1.05E+01
EOC1091_pOme1_TR_DNA	1.53E+01	8.63E+00	1.84E+01	3.04E+01	2.64E+01	3.70E+00	6.06E+00	6.08E+00	8.97E+00	1.29E+01	3.05E+00	1.30E+01
EOC1091_pOvaR1_TR_DNA	1.90E+01	1.49E+01	6.71E+00	1.66E+01	1.59E+01	4.09E+00	3.93E+00	6.19E+00	9.05E+00	1.58E+01	3.36E+00	1.46E+01
EOC124_pOvaL1_TR_DNA1	3.35E+01	3.06E+01	1.01E+01	1.44E+01	3.22E+01	2.25E+01	1.57E+01	3.06E+01	8.14E+00	7.99E+00	1.62E+00	1.13E+01
EOC124_pOvaR1_TR	2.75E+01	2.26E+01	1.63E+01	1.50E+01	2.05E+01	1.53E+01	1.34E+01	2.08E+01	5.62E+00	1.15E+01	1.98E+00	4.48E+00
EOC133_pAsc1_DNA1	3.89E+01	3.20E+01	1.06E+01	1.18E+01	1.22E+01	4.58E+00	2.57E+01	3.49E+01	5.08E+00	9.21E+00	1.99E+00	5.12E+00
EOC133_pOme1_TR_DNA	3.26E+01	2.58E+01	1.16E+01	1.21E+01	1.01E+01	4.56E+00	2.03E+01	2.82E+01	6.37E+00	8.59E+00	2.31E+00	5.09E+00
EOC133_pOvaL1_DNA1	3.74E+01	3.03E+01	1.03E+01	1.12E+01	1.36E+01	4.39E+00	2.26E+01	3.28E+01	4.70E+00	7.51E+00	2.10E+00	5.01E+00
