MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L
7.40E+01	3.96E-03	7.40E-04	2.06E-03	3.80E-03	4.61E-03	3.56E-03	2.77E-03	5.66E-03	9.59E-04	2.10E-03	8.78E-04	1.08E-03
1.33E+02	1.88E-03	6.19E-04	1.75E-03	3.05E-03	2.09E-03	1.26E-03	6.69E-04	1.40E-03	3.26E-03	2.40E-03	1.19E-03	2.35E-04
8.30E+01	1.75E-03	7.05E-04	6.52E-04	1.66E-03	1.74E-03	1.63E-03	8.13E-04	1.23E-03	2.86E-04	1.09E-03	4.10E-04	1.99E-03
2.01E+02	4.51E-03	1.71E-03	2.24E-03	2.32E-03	2.62E-03	2.40E-03	2.10E-03	4.40E-03	1.91E-03	2.78E-03	1.12E-03	3.66E-03
4.80E+01	4.10E-04	8.69E-04	2.42E-04	4.14E-04	3.98E-04	6.94E-04	3.51E-04	6.82E-04	2.59E-04	1.98E-04	1.37E-04	4.22E-03
3.20E+01	4.73E-05	1.02E-03	7.95E-05	3.93E-04	1.52E-04	3.05E-04	6.71E-05	2.97E-05	4.27E-04	4.37E-04	1.60E-04	5.57E-03
1.10E+01	2.53E-03	1.58E-04	6.26E-04	9.78E-05	6.42E-05	2.01E-05	1.73E-03	3.74E-03	8.56E-05	3.95E-04	1.95E-04	3.87E-04
7.00E+00	1.31E-03	5.22E-06	3.04E-04	2.40E-04	1.87E-04	1.50E-04	8.21E-04	2.07E-03	2.19E-05	1.76E-04	1.41E-04	2.11E-04
4.00E+00	6.02E-04	2.23E-04	1.98E-04	6.97E-04	8.09E-04	5.27E-05	4.72E-04	9.56E-04	5.47E-05	3.05E-04	1.21E-05	9.72E-05
1.00E+01	7.97E-04	4.43E-04	2.26E-04	1.52E-03	1.52E-03	5.14E-04	6.21E-04	1.91E-04	2.99E-05	4.74E-04	2.30E-04	7.33E-04
4.00E+00	1.06E-04	6.98E-05	3.11E-05	1.13E-04	1.27E-04	2.23E-04	9.93E-05	9.35E-05	7.28E-05	1.64E-04	7.51E-05	1.02E-04
3.00E+00	6.65E-05	1.41E-04	8.51E-05	7.43E-05	1.33E-04	8.95E-05	9.77E-05	5.40E-05	5.80E-07	1.07E-04	1.08E-04	3.95E-04
7.00E+00	1.16E-03	1.56E-05	3.12E-04	4.38E-04	7.49E-04	2.14E-04	2.05E-03	1.44E-03	1.02E-05	1.26E-04	8.38E-09	1.77E-04
4.00E+00	6.29E-04	6.66E-05	1.95E-04	1.51E-03	3.55E-03	3.40E-03	1.37E-04	0.00E+00	3.14E-04	8.16E-04	6.41E-04	0.00E+00
4.00E+00	4.59E-04	3.78E-05	3.35E-04	3.11E-05	2.36E-04	1.70E-03	1.74E-04	1.56E-04	1.15E-03	5.88E-05	1.02E-04	3.52E-04
2.00E+00	3.40E-05	4.58E-05	3.75E-05	4.71E-05	4.02E-05	8.14E-05	3.29E-05	5.67E-05	1.72E-05	4.90E-05	4.91E-06	4.25E-06
0.00E+00	6.14E-05	5.30E-05	1.21E-05	4.03E-05	5.30E-05	6.52E-05	3.54E-05	5.68E-05	6.99E-06	4.72E-05	1.12E-05	2.67E-05
0.00E+00	8.68E-05	7.86E-05	4.11E-05	1.76E-05	4.34E-05	3.17E-05	7.74E-05	1.16E-04	2.60E-06	2.64E-05	3.54E-05	3.77E-05
1.00E+01	2.74E-04	2.40E-05	1.52E-04	2.13E-04	1.76E-04	1.97E-04	1.29E-04	2.60E-04	1.98E-05	4.02E-05	1.24E-04	5.17E-04
3.40E+01	5.96E-04	7.25E-04	5.70E-10	6.27E-04	7.75E-04	7.36E-04	2.38E-04	1.58E-04	7.54E-06	2.97E-04	1.60E-04	1.49E-04
1.13E+00	6.21E-05	2.77E-05	2.68E-05	2.79E-05	3.11E-05	4.73E-05	2.86E-05	5.76E-05	2.86E-05	1.89E-05	8.35E-05	7.99E-05
1.70E+00	5.13E-05	4.79E-05	2.91E-05	4.60E-05	3.11E-05	2.38E-05	2.54E-05	4.52E-05	3.50E-05	5.04E-05	8.90E-05	1.58E-04
0.00E+00	2.01E-04	8.14E-05	1.53E-05	4.59E-05	4.62E-05	6.18E-05	9.43E-05	2.37E-04	1.83E-05	1.87E-05	0.00E+00	2.56E-05
1.39E+02	5.21E-03	3.09E-03	2.74E-03	3.09E-03	1.65E-03	9.93E-04	2.84E-03	5.43E-03	3.60E-04	3.72E-03	3.84E-04	2.34E-03
2.10E+02	3.41E-03	2.04E-03	2.85E-03	3.29E-03	2.34E-03	2.85E-03	2.73E-03	2.32E-03	2.03E-03	3.07E-03	5.87E-04	3.79E-03
3.43E+02	5.65E-03	1.96E-03	2.91E-03	2.45E-03	2.38E-03	2.70E-03	2.42E-03	5.44E-03	2.02E-03	3.99E-03	1.42E-03	5.31E-03
2.90E+01	2.00E-04	4.50E-04	9.52E-05	2.55E-04	1.19E-04	9.39E-05	5.51E-05	8.81E-05	7.06E-05	1.51E-04	1.17E-03	7.03E-04
7.00E+01	2.63E-03	9.52E-04	6.07E-04	1.25E-03	8.44E-04	8.67E-04	2.91E-04	1.91E-03	3.26E-04	1.49E-03	1.18E-03	1.68E-03
2.80E+01	2.14E-03	4.69E-04	9.28E-04	6.67E-04	6.59E-04	6.65E-04	7.23E-04	2.31E-03	4.74E-04	7.34E-04	1.29E-04	1.23E-03
3.00E+00	3.31E-04	3.18E-04	1.30E-04	2.35E-04	4.30E-04	4.14E-04	2.97E-04	2.43E-04	3.82E-04	1.42E-04	0.00E+00	1.86E-04
3.00E+00	3.75E-05	1.06E-04	1.56E-05	5.75E-05	3.57E-05	1.31E-10	3.87E-05	5.13E-05	2.31E-10	1.41E-04	2.12E-09	2.95E-05
4.07E+02	2.57E-03	3.37E-03	2.50E-03	3.95E-03	3.10E-03	2.27E-03	2.53E-03	3.54E-03	2.93E-03	4.35E-03	2.05E-03	5.04E-03
3.40E+01	6.01E-04	4.15E-04	3.81E-04	5.67E-04	5.19E-04	5.91E-04	4.90E-04	6.49E-04	4.91E-04	5.91E-04	2.29E-04	1.17E-03
