NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	220.137	9.156	55.699	7.809	0.016	0.995	70000.0
2	220.145	9.249	54.64	7.756	0.016	0.995	110000.0
3	214.521	9.105	53.054	7.679	0.016	0.995	60000.0
4	216.333	9.067	54.008	7.615	0.016	0.995	50000.0
5	218.686	9.086	54.659	7.684	0.016	0.995	70000.0
6	211.499	9.039	53.174	7.624	0.016	0.995	70000.0
7	225.79	9.269	57.419	7.97	0.016	0.995	50000.0
8	221.446	9.083	55.218	7.557	0.016	0.996	60000.0
9	225.812	9.312	55.119	7.602	0.017	0.996	50000.0
10	226.01	9.377	56.833	7.807	0.017	0.995	90000.0
11	230.25	9.539	58.612	8.086	0.017	0.995	80000.0
12	211.007	8.772	51.935	7.24	0.016	0.996	110000.0
13	237.926	9.857	60.623	8.393	0.017	0.995	70000.0
14	222.399	9.135	54.718	7.573	0.016	0.996	160000.0
15	222.965	9.115	54.989	7.609	0.016	0.995	90000.0
16	228.199	9.53	55.406	7.776	0.017	0.995	40000.0
17	217.83	9.024	55.053	7.653	0.016	0.995	60000.0
18	217.904	8.974	54.892	7.565	0.016	0.995	50000.0
19	223.527	9.376	56.525	7.936	0.016	0.995	90000.0
20	229.042	9.47	56.938	7.86	0.017	0.995	70000.0
21	229.383	9.561	56.372	7.9	0.017	0.995	100000.0
22	218.584	8.934	53.866	7.319	0.016	0.996	70000.0
23	224.079	9.167	55.92	7.796	0.016	0.995	50000.0
24	224.999	9.404	56.458	7.894	0.017	0.995	80000.0
25	225.762	9.192	57.023	7.737	0.016	0.995	60000.0
26	230.753	9.647	58.682	8.12	0.017	0.995	80000.0
27	223.525	9.106	54.976	7.508	0.016	0.996	50000.0
28	216.638	9.194	54.408	7.817	0.016	0.995	60000.0
29	222.065	9.325	56.148	8.042	0.016	0.995	50000.0
30	213.779	8.948	52.973	7.491	0.016	0.996	60000.0
31	231.231	9.396	58.731	7.971	0.016	0.995	90000.0
32	230.483	9.495	56.762	7.844	0.016	0.995	60000.0
33	230.527	9.521	58.573	8.114	0.017	0.995	70000.0
34	221.604	9.365	54.656	7.824	0.016	0.995	60000.0
35	233.855	9.439	58.086	7.95	0.016	0.995	60000.0
36	216.468	9.066	54.121	7.633	0.016	0.996	100000.0
37	213.272	8.766	53.067	7.383	0.016	0.996	80000.0
38	224.656	9.48	55.977	8.001	0.016	0.995	50000.0
39	222.879	9.241	55.421	7.662	0.017	0.995	100000.0
40	227.788	9.252	54.935	7.532	0.017	0.995	60000.0
41	221.875	9.127	54.715	7.552	0.016	0.996	160000.0
42	226.693	9.52	57.439	8.117	0.017	0.995	50000.0
43	238.26	10.0	60.522	8.533	0.018	0.994	80000.0
44	219.542	9.116	54.793	7.668	0.016	0.995	50000.0
45	229.118	9.261	56.808	7.755	0.017	0.995	170000.0
46	232.635	9.613	57.276	7.979	0.017	0.995	60000.0
47	228.951	9.43	58.228	8.039	0.017	0.995	100000.0
48	222.373	9.016	55.205	7.588	0.015	0.995	70000.0
49	220.665	9.324	54.997	7.816	0.017	0.995	70000.0
50	215.672	9.031	54.447	7.638	0.015	0.995	80000.0
51	211.661	8.95	51.799	7.484	0.015	0.995	50000.0
52	224.45	9.389	55.993	7.904	0.017	0.995	90000.0
53	233.152	9.538	59.147	8.119	0.016	0.995	60000.0
54	236.996	9.602	59.178	8.049	0.016	0.995	70000.0
55	235.648	9.711	59.576	8.282	0.018	0.994	90000.0
56	212.032	8.884	54.082	7.672	0.016	0.995	60000.0
57	229.173	9.429	56.567	7.904	0.017	0.995	70000.0
58	218.047	9.024	52.584	7.363	0.017	0.996	60000.0
59	220.613	9.258	55.12	7.753	0.016	0.995	130000.0
60	226.386	9.372	55.581	7.732	0.017	0.995	50000.0
