Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
EOC1003_p2OvaL1_TR_DNA	106	162	144	297	63	0	30	569	369	594	179	30	213
EOC1003_p2OvaR1_DNA1	49	167	231	0	50	42	15	646	170	247	299	33	12
EOC1022_pOme1_DNA1	0	347	0	0	28	0	0	0	0	0	350	133	27
EOC1022_pPer1_DNA1	0	266	25	230	93	22	19	0	0	0	278	376	50
EOC1067_pOme1_DNA3	331	145	43	404	19	0	38	184	114	0	242	21	64
EOC1067_pOvaR1_DNA1	697	0	117	727	0	358	18	353	293	83	75	512	0
EOC1067_pPerR1_DNA1	62	118	0	321	0	28	60	365	111	68	260	23	86
EOC1067_pTubL1_DNA1	464	124	0	246	0	0	49	532	67	318	213	14	140
EOC1091_pOme1_TR_DNA	708	906	0	90	0	0	76	615	138	145	138	0	283
EOC1091_pOvaR1_TR_DNA	487	149	7	202	0	0	28	234	225	733	198	0	375
EOC124_pOvaL1_TR_DNA1	965	118	660	542	547	139	553	0	177	15	0	573	128
EOC124_pOvaR1_TR	107	846	221	629	711	224	487	0	36	427	8	287	65
EOC133_pAsc1_DNA1	0	274	596	887	990	82	7	269	43	256	32	0	57
EOC133_pOme1_TR_DNA	0	375	395	760	811	44	0	260	101	321	58	0	66
EOC133_pOvaL1_DNA1	213	317	550	757	888	8	0	211	46	33	73	0	40
EOC148_pAdnL1_DNA1	1390	1496	1234	0	526	87	1590	358	41	391	0	0	90
EOC148_pAdnL3_DNA1	1545	1411	1163	0	488	1	1392	211	148	157	0	0	253
EOC148_pOvaL4_DNA1	887	1522	523	0	371	162	1233	2	307	114	52	0	101
EOC148_pOvaL5_DNA1	1481	1325	961	0	454	85	1585	148	240	131	0	0	89
EOC192_iOme1B_DNA2	0	4	34	0	0	29	0	0	191	19	381	0	21
EOC192_iOme3A_DNA1	2	0	15	0	5	0	0	0	261	19	380	0	19
EOC192_iOvaR1A_DNA1	52	0	74	106	7	204	11	0	13	80	344	0	68
EOC192_pAsc1_DNA1	0	0	0	88	15	78	0	0	221	81	362	0	36
EOC192_pOme1A_TR_DNA1	108	0	50	73	1	203	0	0	8	51	350	0	74
EOC192_pOme2B_DNA2	54	9	20	146	4	178	0	0	0	73	339	65	76
EOC192_pOvaR1A_DNA1	53	0	63	80	0	200	16	0	24	55	349	0	67
EOC192_pOvaR1A_DNA3	84	5	74	87	2	210	21	0	6	25	338	0	65
EOC192_pPer1A_DNA2	18	0	38	104	37	200	6	0	7	237	335	0	137
EOC192_pPer2B_DNA1	0	359	57	0	6	69	0	148	0	12	309	219	211
EOC293_pAdnL1_DNA1	1637	317	264	30	0	2532	0	0	1180	0	0	0	38
EOC293_pMes1_DNA2	970	489	0	0	0	1784	0	47	2357	599	0	18	60
EOC293_pOvaR1_DNA2	1119	284	0	344	0	1658	0	0	1860	0	0	0	1
EOC372_iOme1_DNA1	130	782	209	672	92	100	1145	322	165	156	0	74	138
EOC372_iPer1_DNA1	0	781	4	191	117	0	400	320	402	27	162	0	126
EOC372_pPer1_DNA1	0	752	51	340	95	0	646	356	566	168	74	0	102
EOC523_pOme1_DNA2	0	196	1089	0	18	0	0	108	69	252	299	59	148
EOC523_pOvaR1_DNA2	0	375	915	0	5	0	0	36	0	270	310	0	121
EOC561_pPer1_DNA1	658	317	289	539	0	2411	27	0	136	426	0	0	289
EOC561_pPer1_DNA1_bgiseq	494	316	84	735	0	1728	0	0	748	120	0	0	169
EOC63_pOme1_DNA1	2996	0	2623	0	3468	0	1582	0	0	2678	0	0	0
EOC63_pOvaR1_DNA1	0	1685	5	6	672	260	457	467	185	0	84	0	0
EOC667_pMes1_DNA1	811	0	511	810	389	332	1501	0	0	547	0	0	0
EOC667_pOme1_DNA2	924	4	508	823	219	217	1403	0	28	62	0	102	0
EOC77_iOme1_DNA1	0	319	12	72	0	50	0	48	112	97	322	312	0
EOC77_iOme2_DNA1	0	0	74	159	0	232	0	0	12	321	320	123	0
EOC77_iPer1_DNA2	163	0	112	242	5	236	37	0	20	131	291	116	43
EOC77_pAsc1_DNA1	155	36	23	70	0	184	26	0	34	103	337	60	65
EOC77_pOme1_DNA3	333	0	69	30	9	237	1	0	7	67	327	7	192
EOC779_pOme1_DNA1	0	458	236	464	541	0	0	0	122	12	194	0	9
EOC779_pOvaL1_DNA1	260	8	1055	1215	1718	0	32	0	19	0	0	0	0
EOC779_pPer1_DNA1	179	365	578	997	1192	4	16	0	11	0	0	0	0
EOC863_pMes1_DNA1	0	194	153	1	0	0	0	895	251	144	277	0	36
EOC863_pOva1_DNA1	610	33	387	91	7	0	8	1077	35	204	192	0	101
EOC879_p2Ome1_DNA1	484	202	111	423	0	76	0	595	308	162	81	312	235
EOC879_p2OvaL1_DNA1	1373	1242	17	0	0	226	66	1111	28	60	0	1862	58
EOC879_p2TubL1_DNA1	1061	1318	0	0	0	283	56	911	98	164	0	1552	9
EOC914_iOme1_DNA1	594	0	191	373	98	0	0	848	321	345	88	671	79
EOC914_iOvaL1_DNA1	412	62	31	384	78	0	0	716	201	618	112	786	99
EOC914_iPer1_DNA1	588	120	73	328	45	0	12	805	369	376	88	515	74
EOC984_pOme1_DNA1	267	0	101	71	223	0	22	0	1	115	318	39	0
EOC984_pPer1_DNA1	278	0	107	68	212	4	25	0	28	84	320	30	0
