Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
EOC1003_p2OvaL1_TR_DNA	2.40E+01	9.88E+00	1.21E+01	1.67E+01	3.94E+00	2.36E+00	3.17E+00	1.53E+01	8.80E+00	1.07E+01	3.81E+00	1.08E+01	5.46E+00
EOC1003_p2OvaR1_DNA1	1.36E+01	1.26E+01	9.02E+00	5.91E+00	2.97E+00	7.77E-01	3.06E+00	9.75E+00	8.10E+00	8.69E+00	3.89E+00	6.70E+00	2.69E+00
EOC1022_pOme1_DNA1	2.76E+00	7.61E+00	4.51E-01	3.78E-01	1.99E+00	3.05E+00	1.46E+00	3.54E+00	1.60E-01	7.82E-01	3.11E+00	7.87E+00	2.04E+00
EOC1022_pPer1_DNA1	1.06E+01	6.74E+00	3.99E+00	6.79E+00	4.67E+00	8.97E+00	3.78E+00	2.17E+00	2.22E+00	2.87E+00	3.85E+00	1.27E+01	2.03E+00
EOC1067_pOme1_DNA3	1.88E+01	6.96E+00	9.15E+00	1.47E+01	2.80E+00	3.21E+00	3.44E+00	1.11E+01	6.32E+00	2.95E+00	4.00E+00	9.59E+00	2.70E+00
EOC1067_pOvaR1_DNA1	2.64E+01	4.14E+00	1.45E+01	2.05E+01	4.86E+00	1.76E+01	6.64E+00	1.71E+01	1.03E+01	7.43E+00	3.22E+00	2.28E+01	2.84E+00
EOC1067_pPerR1_DNA1	1.51E+01	6.72E+00	4.21E+00	1.23E+01	2.67E+00	2.67E+00	2.76E+00	1.00E+01	6.24E+00	5.47E+00	4.10E+00	7.98E+00	3.29E+00
EOC1067_pTubL1_DNA1	2.11E+01	9.02E+00	6.66E+00	1.56E+01	1.92E+00	2.87E+00	3.82E+00	1.73E+01	7.40E+00	9.65E+00	4.11E+00	1.29E+01	5.22E+00
EOC1091_pOme1_TR_DNA	2.10E+01	2.02E+01	9.07E+00	1.45E+01	4.32E+00	1.57E+00	5.70E+00	2.19E+01	7.87E+00	8.39E+00	3.87E+00	1.43E+01	8.72E+00
EOC1091_pOvaR1_TR_DNA	1.67E+01	7.77E+00	1.26E+01	1.48E+01	2.93E+00	3.91E+00	4.91E+00	1.38E+01	9.29E+00	1.59E+01	4.35E+00	6.99E+00	1.25E+01
EOC124_pOvaL1_TR_DNA1	4.85E+01	1.02E+01	3.23E+01	3.11E+01	2.39E+01	1.65E+01	1.91E+01	1.09E+01	8.20E+00	7.34E+00	1.78E+00	2.84E+01	5.57E+00
EOC124_pOvaR1_TR	1.80E+01	1.57E+01	1.80E+01	2.67E+01	2.14E+01	1.12E+01	1.41E+01	4.75E+00	7.41E+00	1.09E+01	1.85E+00	1.91E+01	3.73E+00
EOC133_pAsc1_DNA1	1.36E+01	1.02E+01	2.89E+01	3.65E+01	3.46E+01	4.09E+00	1.63E+01	8.54E+00	5.82E+00	9.08E+00	2.14E+00	4.53E+00	3.07E+00
EOC133_pOme1_TR_DNA	1.34E+01	1.10E+01	2.22E+01	3.03E+01	2.89E+01	5.18E+00	1.42E+01	7.95E+00	6.01E+00	9.00E+00	2.46E+00	3.44E+00	3.26E+00
EOC133_pOvaL1_DNA1	1.88E+01	9.23E+00	2.78E+01	3.29E+01	3.10E+01	4.63E+00	1.68E+01	7.85E+00	4.98E+00	7.79E+00	2.41E+00	4.28E+00	2.18E+00
