MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
7.40E+01	3.79E-03	1.76E-03	7.75E-04	3.40E-03	4.90E-03	3.66E-03	3.67E-03	1.41E-03	8.23E-04	1.41E-03	9.28E-04	3.43E-03	1.56E-03
1.33E+02	2.70E-03	2.21E-03	6.23E-04	1.96E-03	8.36E-04	2.11E-03	8.66E-04	2.48E-03	4.31E-03	1.92E-03	1.08E-03	2.22E-03	9.98E-04
8.30E+01	2.34E-03	8.93E-04	6.58E-04	1.92E-03	7.91E-04	8.87E-04	1.12E-03	1.51E-03	1.95E-04	1.02E-03	3.91E-04	1.85E-03	2.24E-03
2.01E+02	3.12E-03	2.32E-03	1.61E-03	4.53E-03	3.76E-03	2.19E-03	2.59E-03	2.20E-03	1.76E-03	2.50E-03	1.14E-03	2.25E-03	3.98E-03
4.80E+01	1.15E-03	2.84E-04	7.44E-04	2.99E-04	6.64E-04	3.41E-04	2.21E-04	4.83E-04	2.70E-04	2.41E-19	9.50E-05	4.62E-04	3.90E-03
3.20E+01	2.50E-04	3.45E-05	8.15E-04	1.02E-04	5.93E-05	4.72E-04	9.22E-05	4.88E-04	4.70E-04	2.79E-04	1.61E-04	5.30E-05	5.15E-03
1.10E+01	7.44E-04	6.14E-04	1.71E-04	1.86E-03	3.09E-03	6.76E-05	1.95E-03	2.01E-05	1.36E-04	2.31E-04	1.76E-04	1.42E-03	2.35E-04
7.00E+00	4.93E-04	3.00E-04	1.79E-05	1.03E-03	1.73E-03	9.14E-05	7.26E-04	2.83E-04	2.72E-05	5.43E-05	1.40E-04	5.79E-04	2.56E-04
4.00E+00	9.65E-04	2.50E-04	2.22E-04	4.50E-04	7.71E-04	2.65E-05	2.66E-04	5.13E-04	6.34E-05	2.18E-04	1.25E-05	1.08E-03	2.87E-04
1.00E+01	1.93E-03	2.51E-04	5.44E-04	6.26E-04	1.26E-04	1.20E-04	1.41E-04	8.40E-04	2.19E-04	5.91E-04	1.56E-04	1.99E-03	9.26E-04
4.00E+00	2.44E-04	5.66E-05	6.34E-05	1.19E-04	1.18E-04	1.16E-04	1.06E-04	1.28E-04	6.13E-05	1.40E-04	7.27E-05	9.24E-05	1.22E-04
3.00E+00	1.12E-04	8.00E-05	1.50E-04	6.09E-05	5.86E-05	8.84E-05	1.15E-04	2.67E-05	0.00E+00	9.68E-05	1.10E-04	1.43E-04	4.09E-04
7.00E+00	1.02E-03	7.78E-05	2.26E-05	2.47E-04	1.55E-03	1.55E-04	2.57E-03	2.65E-04	1.42E-05	1.37E-04	0.00E+00	1.38E-03	3.20E-05
4.00E+00	3.74E-03	3.31E-05	0.00E+00	3.20E-04	1.02E-04	4.01E-03	2.21E-04	4.87E-05	2.50E-04	5.26E-05	7.09E-04	4.09E-03	9.76E-05
4.00E+00	6.25E-04	3.69E-04	4.61E-05	1.92E-04	9.00E-05	2.19E-03	2.63E-04	2.95E-05	1.10E-03	7.22E-05	1.29E-04	2.06E-04	2.88E-04
2.00E+00	6.64E-05	2.89E-05	4.01E-05	2.87E-05	6.25E-05	3.22E-05	3.26E-05	5.75E-05	2.05E-05	4.30E-05	6.51E-06	4.61E-05	0.00E+00
0.00E+00	8.29E-05	1.28E-05	5.61E-05	7.76E-05	5.48E-05	5.23E-05	3.34E-05	3.99E-05	7.38E-06	5.23E-05	9.88E-06	7.19E-05	3.76E-05
0.00E+00	4.56E-05	4.26E-05	8.41E-05	1.28E-04	1.38E-04	6.79E-05	8.79E-05	4.99E-06	5.13E-06	1.89E-05	3.33E-05	5.78E-05	6.41E-05
1.00E+01	2.97E-04	1.81E-04	1.99E-05	2.67E-04	2.01E-04	8.50E-05	1.83E-04	2.27E-04	8.96E-06	4.95E-05	1.13E-04	2.79E-04	5.99E-04
3.40E+01	1.88E-03	2.15E-05	7.04E-04	3.65E-04	5.09E-04	6.69E-06	1.88E-04	7.51E-04	1.01E-09	1.60E-04	1.73E-04	8.27E-04	6.08E-04
1.13E+00	3.91E-05	3.66E-05	2.11E-05	6.35E-05	3.57E-05	3.99E-05	3.05E-05	3.63E-05	3.16E-05	2.32E-05	8.51E-05	3.73E-05	8.48E-05
1.70E+00	4.78E-05	2.77E-05	7.53E-05	5.22E-05	2.34E-05	4.21E-05	2.52E-05	5.21E-05	3.61E-05	4.18E-05	1.00E-04	3.69E-05	1.78E-04
0.00E+00	1.00E-04	3.54E-05	2.06E-05	2.08E-04	2.36E-04	7.01E-05	7.76E-05	2.97E-06	2.38E-05	2.46E-05	0.00E+00	5.32E-05	3.04E-05
1.39E+02	3.05E-03	3.10E-03	3.40E-03	6.17E-03	6.44E-03	1.39E-03	4.04E-03	1.83E-03	8.86E-04	3.68E-03	5.10E-04	1.50E-03	2.55E-03
2.10E+02	3.55E-03	3.20E-03	2.27E-03	2.21E-03	2.41E-03	3.10E-03	3.99E-03	2.97E-03	2.49E-03	3.06E-03	7.96E-04	3.44E-03	4.23E-03
3.43E+02	3.79E-03	2.71E-03	1.77E-03	6.12E-03	4.70E-03	3.33E-03	3.18E-03	2.33E-03	2.01E-03	3.92E-03	1.52E-03	3.00E-03	5.22E-03
2.90E+01	1.82E-04	9.75E-05	3.58E-04	2.24E-04	6.23E-05	7.15E-05	7.36E-05	3.79E-04	1.33E-04	1.04E-04	1.35E-03	1.52E-04	7.39E-04
7.00E+01	1.82E-03	8.81E-04	4.44E-04	2.54E-03	8.61E-04	8.86E-04	7.01E-05	1.19E-03	1.28E-03	1.73E-03	1.41E-03	1.44E-03	1.67E-03
2.80E+01	8.40E-04	8.85E-04	1.52E-04	1.83E-03	1.23E-03	5.91E-04	8.24E-04	6.36E-04	5.94E-04	8.45E-04	1.12E-04	7.62E-04	1.29E-03
3.00E+00	5.88E-04	8.40E-05	3.15E-04	1.80E-04	2.38E-04	4.29E-04	3.38E-04	2.99E-04	4.08E-04	9.73E-05	0.00E+00	3.35E-04	3.92E-05
