MutationType	CH43A
7.40E+01	5.35E-05
1.33E+02	4.00E-05
8.30E+01	2.64E-05
2.01E+02	6.14E-05
4.80E+01	1.93E-05
3.20E+01	2.00E-05
1.10E+01	2.84E-05
7.00E+00	1.91E-05
4.00E+00	1.63E-05
1.00E+01	1.58E-05
4.00E+00	6.97E-06
3.00E+00	6.55E-06
7.00E+00	2.31E-05
4.00E+00	2.42E-05
4.00E+00	1.64E-05
2.00E+00	3.68E-06
0.00E+00	4.25E-06
0.00E+00	5.88E-06
1.00E+01	1.12E-05
3.40E+01	8.89E-06
1.13E+00	5.62E-06
1.70E+00	4.59E-06
0.00E+00	6.51E-06
1.39E+02	4.92E-05
2.10E+02	6.42E-05
3.43E+02	7.58E-05
2.90E+01	2.35E-05
7.00E+01	3.18E-05
2.80E+01	2.27E-05
3.00E+00	1.28E-05
3.00E+00	4.63E-06
4.07E+02	7.78E-05
3.40E+01	2.62E-05
4.00E+00	1.56E-05
9.00E+00	1.13E-05
1.30E+01	1.65E-05
1.80E+01	1.75E-05
6.00E+00	1.28E-05
1.72E+02	4.02E-05
3.30E+02	9.05E-05
1.06E+02	5.09E-05
6.30E+01	2.70E-05
1.70E+01	9.84E-06
