MutationType	CH43A	CH43B
7.40E+01	4.97E-04	4.37E-04
1.33E+02	2.38E-04	2.89E-04
8.30E+01	1.59E-04	1.71E-04
2.01E+02	3.47E-04	3.16E-04
4.80E+01	9.62E-05	9.42E-05
3.20E+01	1.98E-04	1.84E-04
1.10E+01	1.23E-05	2.19E-04
7.00E+00	2.08E-05	1.00E-04
4.00E+00	6.80E-05	7.30E-05
1.00E+01	4.38E-05	3.45E-05
4.00E+00	1.26E-05	1.30E-05
3.00E+00	1.88E-05	2.30E-05
7.00E+00	2.40E-04	2.43E-04
4.00E+00	1.79E-04	1.52E-04
4.00E+00	8.67E-05	6.92E-05
2.00E+00	8.45E-06	9.64E-06
0.00E+00	7.45E-06	8.92E-06
0.00E+00	5.77E-06	1.49E-05
1.00E+01	2.49E-05	2.73E-05
3.40E+01	2.93E-05	2.31E-05
1.13E+00	2.08E-05	2.05E-05
1.70E+00	2.16E-05	2.06E-05
0.00E+00	9.35E-06	1.68E-05
1.39E+02	1.21E-04	4.14E-04
2.10E+02	5.92E-04	7.64E-04
3.43E+02	4.68E-04	4.43E-04
2.90E+01	8.67E-04	9.15E-04
7.00E+01	1.02E-03	1.06E-03
2.80E+01	8.01E-05	8.08E-05
3.00E+00	7.86E-05	8.68E-05
3.00E+00	7.44E-06	8.61E-06
4.07E+02	4.49E-04	6.66E-04
3.40E+01	1.13E-04	1.21E-04
4.00E+00	3.58E-05	3.27E-05
9.00E+00	2.01E-04	2.11E-04
1.30E+01	3.37E-04	3.65E-04
1.80E+01	1.35E-04	1.32E-04
6.00E+00	7.58E-05	7.73E-05
1.72E+02	5.53E-04	6.14E-04
3.30E+02	3.98E-04	4.77E-04
1.06E+02	1.33E-03	1.55E-03
6.30E+01	2.52E-04	3.47E-04
1.70E+01	2.33E-05	2.77E-05
