Samples	CH43A	CH43B	CH43C
EOC1003_p2OvaL1_TR_DNA	1726	30	1000
EOC1003_p2OvaR1_DNA1	1423	0	538
EOC1022_pOme1_DNA1	526	0	359
EOC1022_pPer1_DNA1	529	300	530
EOC1067_pOme1_DNA3	402	311	892
EOC1067_pOvaR1_DNA1	1051	965	1217
EOC1067_pPerR1_DNA1	679	0	823
EOC1067_pTubL1_DNA1	1276	41	850
EOC1091_pOme1_TR_DNA	2877	0	222
EOC1091_pOvaR1_TR_DNA	1397	35	1206
EOC124_pOvaL1_TR_DNA1	813	3033	571
EOC124_pOvaR1_TR	1879	2153	16
EOC133_pAsc1_DNA1	499	2502	492
EOC133_pOme1_TR_DNA	844	1845	502
EOC133_pOvaL1_DNA1	382	2308	446
EOC148_pAdnL1_DNA1	3495	3708	0
EOC148_pAdnL3_DNA1	3143	3626	0
EOC148_pOvaL4_DNA1	3071	2203	0
EOC148_pOvaL5_DNA1	3024	3475	0
EOC192_iOme1B_DNA2	0	0	679
EOC192_iOme3A_DNA1	0	0	701
EOC192_iOvaR1A_DNA1	0	110	849
EOC192_pAsc1_DNA1	0	0	881
EOC192_pOme1A_TR_DNA1	0	60	858
EOC192_pOme2B_DNA2	0	75	889
EOC192_pOvaR1A_DNA1	0	63	844
EOC192_pOvaR1A_DNA3	0	124	793
EOC192_pPer1A_DNA2	23	96	1000
EOC192_pPer2B_DNA1	951	0	439
EOC293_pAdnL1_DNA1	2153	1668	2177
EOC293_pMes1_DNA2	3589	100	2635
EOC293_pOvaR1_DNA2	2151	641	2474
EOC372_iOme1_DNA1	2173	1733	79
EOC372_iPer1_DNA1	2106	170	254
EOC372_pPer1_DNA1	2351	470	329
EOC523_pOme1_DNA2	445	1372	421
EOC523_pOvaR1_DNA2	583	1140	309
EOC561_pPer1_DNA1	1413	1981	1698
EOC561_pPer1_DNA1_bgiseq	1317	1174	1903
EOC63_pOme1_DNA1	2345	10848	154
EOC63_pOvaR1_DNA1	3439	382	0
EOC667_pMes1_DNA1	595	3500	806
EOC667_pOme1_DNA2	339	3233	718
EOC77_iOme1_DNA1	821	0	523
EOC77_iOme2_DNA1	174	147	920
EOC77_iPer1_DNA2	23	423	950
EOC77_pAsc1_DNA1	103	85	905
EOC77_pOme1_DNA3	6	252	1021
EOC779_pOme1_DNA1	431	1142	463
EOC779_pOvaL1_DNA1	0	4236	71
EOC779_pPer1_DNA1	0	3010	332
EOC863_pMes1_DNA1	1665	0	286
EOC863_pOva1_DNA1	1791	404	550
EOC879_p2Ome1_DNA1	1764	350	875
EOC879_p2OvaL1_DNA1	5591	452	0
EOC879_p2TubL1_DNA1	5251	201	0
EOC914_iOme1_DNA1	2215	578	815
EOC914_iOvaL1_DNA1	2377	328	794
EOC914_iPer1_DNA1	2333	257	803
EOC984_pOme1_DNA1	0	441	716
EOC984_pPer1_DNA1	0	428	728
