Samples	CH43A	CH43B	CH43C
EOC1003_p2OvaL1_TR_DNA	1.69E+01	1.36E+01	2.13E+01
EOC1003_p2OvaR1_DNA1	9.29E+00	1.22E+01	1.70E+01
EOC1022_pOme1_DNA1	5.82E+00	8.90E+00	1.07E+01
EOC1022_pPer1_DNA1	6.52E+00	9.08E+00	1.00E+01
EOC1067_pOme1_DNA3	1.21E+01	1.31E+01	1.68E+01
EOC1067_pOvaR1_DNA1	5.54E+01	9.63E+00	4.94E+01
EOC1067_pPerR1_DNA1	9.81E+00	1.21E+01	1.56E+01
EOC1067_pTubL1_DNA1	1.36E+01	1.53E+01	1.89E+01
EOC1091_pOme1_TR_DNA	1.10E+01	1.03E+01	1.36E+01
EOC1091_pOvaR1_TR_DNA	1.95E+01	1.77E+01	2.36E+01
EOC124_pOvaL1_TR_DNA1	3.55E+01	1.83E+01	3.00E+01
EOC124_pOvaR1_TR	1.55E+01	1.51E+01	9.98E+00
EOC133_pAsc1_DNA1	9.90E+00	8.79E+00	8.97E+00
EOC133_pOme1_TR_DNA	9.59E+00	8.88E+00	9.57E+00
EOC133_pOvaL1_DNA1	9.76E+00	8.17E+00	8.47E+00
EOC148_pAdnL1_DNA1	3.20E+01	3.30E+01	1.04E+01
EOC148_pAdnL3_DNA1	2.83E+01	2.95E+01	9.24E+00
EOC148_pOvaL4_DNA1	2.40E+01	2.24E+01	9.98E+00
EOC148_pOvaL5_DNA1	2.93E+01	2.89E+01	1.51E+01
EOC192_iOme1B_DNA2	6.07E+00	1.03E+01	1.16E+01
EOC192_iOme3A_DNA1	6.15E+00	9.59E+00	1.07E+01
EOC192_iOvaR1A_DNA1	6.63E+00	1.38E+01	1.49E+01
EOC192_pAsc1_DNA1	7.02E+00	1.21E+01	1.34E+01
EOC192_pOme1A_TR_DNA1	5.12E+00	1.39E+01	1.45E+01
EOC192_pOme2B_DNA2	6.88E+00	1.39E+01	1.42E+01
EOC192_pOvaR1A_DNA1	6.39E+00	1.30E+01	1.41E+01
EOC192_pOvaR1A_DNA3	6.02E+00	1.31E+01	1.38E+01
EOC192_pPer1A_DNA2	8.12E+00	1.56E+01	1.69E+01
EOC192_pPer2B_DNA1	6.98E+00	1.13E+01	1.22E+01
EOC293_pAdnL1_DNA1	2.03E+02	1.67E+01	1.96E+02
EOC293_pMes1_DNA2	2.02E+02	3.27E+00	2.04E+02
EOC293_pOvaR1_DNA2	1.83E+02	4.56E+00	1.84E+02
EOC372_iOme1_DNA1	1.86E+01	1.45E+01	1.17E+01
EOC372_iPer1_DNA1	9.00E+00	6.66E+00	1.11E+01
EOC372_pPer1_DNA1	1.67E+01	7.48E+00	1.29E+01
EOC523_pOme1_DNA2	9.64E+00	1.40E+01	1.83E+01
EOC523_pOvaR1_DNA2	9.41E+00	1.30E+01	1.82E+01
EOC561_pPer1_DNA1	1.40E+02	1.84E+01	1.34E+02
EOC561_pPer1_DNA1_bgiseq	1.35E+02	1.06E+01	1.32E+02
EOC63_pOme1_DNA1	6.43E+01	6.33E+01	4.89E+01
EOC63_pOvaR1_DNA1	1.35E+01	1.31E+01	7.07E+00
EOC667_pMes1_DNA1	3.56E+01	2.39E+01	2.83E+01
EOC667_pOme1_DNA2	3.08E+01	2.29E+01	2.56E+01
EOC77_iOme1_DNA1	6.99E+00	9.54E+00	1.06E+01
EOC77_iOme2_DNA1	8.39E+00	1.43E+01	1.47E+01
EOC77_iPer1_DNA2	9.12E+00	1.32E+01	1.43E+01
EOC77_pAsc1_DNA1	7.18E+00	1.34E+01	1.32E+01
EOC77_pOme1_DNA3	8.87E+00	1.43E+01	1.55E+01
EOC779_pOme1_DNA1	8.42E+00	7.72E+00	1.16E+01
EOC779_pOvaL1_DNA1	6.39E+00	7.57E+00	3.79E+00
EOC779_pPer1_DNA1	9.52E+00	8.30E+00	5.86E+00
EOC863_pMes1_DNA1	7.96E+00	9.72E+00	1.42E+01
EOC863_pOva1_DNA1	1.39E+01	1.41E+01	1.78E+01
EOC879_p2Ome1_DNA1	3.48E+01	9.07E+00	3.14E+01
EOC879_p2OvaL1_DNA1	4.72E+01	1.90E+01	4.35E+01
EOC879_p2TubL1_DNA1	4.08E+01	1.40E+01	3.97E+01
EOC914_iOme1_DNA1	3.32E+01	1.07E+01	2.60E+01
EOC914_iOvaL1_DNA1	2.88E+01	1.01E+01	2.38E+01
EOC914_iPer1_DNA1	3.38E+01	8.16E+00	2.93E+01
EOC984_pOme1_DNA1	5.85E+00	1.21E+01	1.36E+01
EOC984_pPer1_DNA1	5.26E+00	1.18E+01	1.31E+01
