MutationType	CH43A	CH43B	CH43C
7.40E+01	3.67E-04	4.23E-04	9.65E-04
1.33E+02	5.81E-04	1.40E-04	1.36E-03
8.30E+01	3.86E-04	1.12E-04	2.37E-04
2.01E+02	2.54E-04	2.94E-04	5.00E-04
4.80E+01	8.23E-05	6.35E-05	2.86E-04
3.20E+01	1.04E-04	1.25E-04	4.36E-04
1.10E+01	8.87E-05	2.58E-04	4.36E-05
7.00E+00	6.22E-05	1.15E-04	8.50E-05
4.00E+00	1.20E-04	6.73E-05	3.94E-05
1.00E+01	1.50E-04	3.63E-05	1.73E-04
4.00E+00	2.09E-05	1.81E-05	2.61E-05
3.00E+00	1.96E-05	2.08E-05	5.16E-05
7.00E+00	2.54E-04	2.34E-04	3.45E-05
4.00E+00	5.99E-04	9.87E-05	7.91E-04
4.00E+00	4.08E-04	6.42E-05	6.47E-04
2.00E+00	1.07E-05	9.66E-06	6.79E-06
0.00E+00	1.21E-05	1.18E-05	1.86E-05
0.00E+00	6.13E-06	1.88E-05	1.67E-05
1.00E+01	7.53E-05	3.54E-05	8.00E-05
3.40E+01	9.62E-05	3.97E-05	1.22E-04
1.13E+00	1.40E-05	1.59E-05	4.75E-05
1.70E+00	1.55E-05	1.58E-05	5.42E-05
0.00E+00	1.39E-05	2.22E-05	2.34E-05
1.39E+02	4.68E-04	4.64E-04	7.13E-04
2.10E+02	7.44E-04	3.40E-04	9.91E-04
3.43E+02	1.16E-03	4.34E-04	6.44E-04
2.90E+01	3.35E-04	5.53E-04	1.97E-03
7.00E+01	4.44E-04	6.39E-04	2.51E-03
2.80E+01	8.24E-05	8.96E-05	1.68E-04
3.00E+00	7.02E-05	5.33E-05	1.51E-04
3.00E+00	1.45E-05	1.20E-05	1.68E-05
4.07E+02	1.36E-03	3.01E-04	6.27E-04
3.40E+01	8.14E-05	9.00E-05	2.27E-04
4.00E+00	1.62E-04	4.98E-05	2.16E-04
9.00E+00	7.80E-05	1.30E-04	4.50E-04
1.30E+01	1.34E-04	2.15E-04	8.05E-04
1.80E+01	7.30E-05	7.70E-05	3.34E-04
6.00E+00	7.05E-05	4.85E-05	1.15E-04
1.72E+02	4.05E-04	3.18E-04	1.04E-03
3.30E+02	3.06E-03	6.67E-04	3.00E-03
1.06E+02	2.03E-03	6.73E-04	7.15E-04
6.30E+01	6.08E-04	6.03E-05	1.75E-04
1.70E+01	8.35E-05	2.73E-10	1.00E-08
