Samples	CH43A	CH43B	CH43C	CH43D
EOC1003_p2OvaL1_TR_DNA	150	1213	435	958
EOC1003_p2OvaR1_DNA1	129	1100	0	732
EOC1022_pOme1_DNA1	0	473	0	412
EOC1022_pPer1_DNA1	348	440	64	507
EOC1067_pOme1_DNA3	248	201	566	590
EOC1067_pOvaR1_DNA1	597	215	2101	320
EOC1067_pPerR1_DNA1	13	472	345	672
EOC1067_pTubL1_DNA1	95	851	490	731
EOC1091_pOme1_TR_DNA	189	1970	403	537
EOC1091_pOvaR1_TR_DNA	105	958	531	1044
EOC124_pOvaL1_TR_DNA1	2679	166	1572	0
EOC124_pOvaR1_TR	2210	1459	47	332
EOC133_pAsc1_DNA1	2464	519	0	510
EOC133_pOme1_TR_DNA	1854	755	0	582
EOC133_pOvaL1_DNA1	2266	386	73	411
EOC148_pAdnL1_DNA1	4235	2914	54	0
EOC148_pAdnL3_DNA1	3908	2447	414	0
EOC148_pOvaL4_DNA1	2554	2379	341	0
EOC148_pOvaL5_DNA1	3632	2238	629	0
EOC192_iOme1B_DNA2	0	9	7	663
EOC192_iOme3A_DNA1	0	7	36	658
EOC192_iOvaR1A_DNA1	143	0	131	685
EOC192_pAsc1_DNA1	0	0	151	730
EOC192_pOme1A_TR_DNA1	84	0	162	672
EOC192_pOme2B_DNA2	90	0	183	691
EOC192_pOvaR1A_DNA1	95	0	137	675
EOC192_pOvaR1A_DNA3	146	0	147	624
EOC192_pPer1A_DNA2	135	103	68	813
EOC192_pPer2B_DNA1	36	774	0	580
EOC293_pAdnL1_DNA1	523	0	5475	0
EOC293_pMes1_DNA2	0	1050	5013	261
EOC293_pOvaR1_DNA2	0	0	5254	12
EOC372_iOme1_DNA1	1725	1470	617	173
EOC372_iPer1_DNA1	340	1498	201	491
EOC372_pPer1_DNA1	536	1564	643	407
EOC523_pOme1_DNA2	1239	489	0	510
EOC523_pOvaR1_DNA2	976	595	0	461
EOC561_pPer1_DNA1	1428	219	3117	328
EOC561_pPer1_DNA1_bgiseq	497	0	3568	329
EOC63_pOme1_DNA1	10600	1987	342	418
EOC63_pOvaR1_DNA1	980	2841	0	0
EOC667_pMes1_DNA1	3200	74	1531	96
EOC667_pOme1_DNA2	2797	0	1493	0
EOC77_iOme1_DNA1	10	680	30	624
EOC77_iOme2_DNA1	179	193	117	752
EOC77_iPer1_DNA2	354	0	411	631
EOC77_pAsc1_DNA1	76	80	265	672
EOC77_pOme1_DNA3	181	0	423	675
EOC779_pOme1_DNA1	1113	438	0	485
EOC779_pOvaL1_DNA1	4208	0	0	99
EOC779_pPer1_DNA1	2932	92	69	249
EOC863_pMes1_DNA1	0	1296	0	655
EOC863_pOva1_DNA1	481	1217	461	586
EOC879_p2Ome1_DNA1	222	969	1313	485
EOC879_p2OvaL1_DNA1	754	3700	1589	0
EOC879_p2TubL1_DNA1	589	3556	1307	0
EOC914_iOme1_DNA1	487	1290	1336	495
EOC914_iOvaL1_DNA1	361	1521	936	681
EOC914_iPer1_DNA1	192	1372	1311	518
EOC984_pOme1_DNA1	476	20	52	609
EOC984_pPer1_DNA1	451	0	109	596
