Samples	CH43A	CH43B	CH43C	CH43D
EOC1003_p2OvaL1_TR_DNA	5.86E+00	8.28E+00	9.17E+00	9.56E+00
EOC1003_p2OvaR1_DNA1	3.99E+00	4.62E+00	2.60E+00	4.96E+00
EOC1022_pOme1_DNA1	1.54E+00	2.31E+00	6.61E-01	2.48E+00
EOC1022_pPer1_DNA1	4.45E+00	3.64E+00	4.64E+00	4.10E+00
EOC1067_pOme1_DNA3	5.17E+00	4.64E+00	6.83E+00	5.43E+00
EOC1067_pOvaR1_DNA1	7.63E+00	6.26E+00	9.59E+00	4.70E+00
EOC1067_pPerR1_DNA1	3.52E+00	4.94E+00	6.30E+00	5.11E+00
EOC1067_pTubL1_DNA1	4.91E+00	6.19E+00	8.32E+00	6.14E+00
EOC1091_pOme1_TR_DNA	6.45E+00	8.09E+00	8.42E+00	6.00E+00
EOC1091_pOvaR1_TR_DNA	5.66E+00	8.59E+00	1.08E+01	1.05E+01
EOC124_pOvaL1_TR_DNA1	9.71E+00	7.14E+00	1.09E+01	3.64E+00
EOC124_pOvaR1_TR	8.22E+00	6.96E+00	6.76E+00	3.64E+00
EOC133_pAsc1_DNA1	6.83E+00	5.47E+00	1.34E+00	5.22E+00
EOC133_pOme1_TR_DNA	7.09E+00	6.16E+00	2.89E+00	4.68E+00
EOC133_pOvaL1_DNA1	6.07E+00	5.72E+00	1.77E+00	4.37E+00
EOC148_pAdnL1_DNA1	1.35E+01	1.28E+01	9.24E+00	1.63E+00
EOC148_pAdnL3_DNA1	1.30E+01	1.28E+01	8.57E+00	1.74E+00
EOC148_pOvaL4_DNA1	1.16E+01	1.05E+01	8.74E+00	2.71E+00
EOC148_pOvaL5_DNA1	1.16E+01	1.27E+01	8.94E+00	1.05E+00
EOC192_iOme1B_DNA2	1.86E-01	1.34E+00	3.29E+00	2.66E+00
EOC192_iOme3A_DNA1	2.57E-01	1.58E+00	3.90E+00	3.01E+00
EOC192_iOvaR1A_DNA1	3.16E+00	3.64E-01	4.53E+00	4.24E+00
EOC192_pAsc1_DNA1	2.93E-01	5.86E-01	3.84E+00	3.63E+00
EOC192_pOme1A_TR_DNA1	2.41E+00	2.39E-01	3.82E+00	3.52E+00
EOC192_pOme2B_DNA2	2.42E+00	1.72E+00	4.66E+00	4.12E+00
EOC192_pOvaR1A_DNA1	2.40E+00	8.04E-01	3.93E+00	3.79E+00
EOC192_pOvaR1A_DNA3	2.89E+00	7.93E-01	3.77E+00	3.65E+00
EOC192_pPer1A_DNA2	3.20E+00	8.39E-01	4.50E+00	4.32E+00
EOC192_pPer2B_DNA1	2.58E+00	3.97E+00	4.17E+00	4.11E+00
EOC293_pAdnL1_DNA1	7.24E+00	8.00E+00	9.29E+00	2.30E+00
EOC293_pMes1_DNA2	2.90E+00	1.34E+01	1.31E+01	2.42E+00
EOC293_pOvaR1_DNA2	3.26E+00	8.35E+00	8.61E+00	2.60E+00
EOC372_iOme1_DNA1	9.64E+00	9.03E+00	8.41E+00	3.81E+00
EOC372_iPer1_DNA1	6.01E+00	7.65E+00	5.45E+00	4.52E+00
EOC372_pPer1_DNA1	7.60E+00	8.82E+00	8.75E+00	4.08E+00
EOC523_pOme1_DNA2	6.68E+00	5.62E+00	7.29E-01	6.34E+00
EOC523_pOvaR1_DNA2	6.61E+00	4.67E+00	0.00E+00	6.05E+00
EOC561_pPer1_DNA1	1.02E+01	5.87E+00	1.16E+01	4.89E+00
EOC561_pPer1_DNA1_bgiseq	7.96E+00	7.51E+00	1.01E+01	4.38E+00
EOC63_pOme1_DNA1	2.08E+01	1.30E+01	1.98E+01	5.36E-01
EOC63_pOvaR1_DNA1	7.82E+00	8.39E+00	5.16E+00	2.85E+00
EOC667_pMes1_DNA1	9.44E+00	3.66E-01	9.23E+00	3.15E+00
EOC667_pOme1_DNA2	1.01E+01	1.74E+00	9.76E+00	2.80E+00
EOC77_iOme1_DNA1	3.01E+00	3.98E+00	4.11E+00	3.98E+00
EOC77_iOme2_DNA1	4.37E+00	9.00E-01	5.47E+00	5.01E+00
EOC77_iPer1_DNA2	4.40E+00	9.36E-01	4.70E+00	4.58E+00
EOC77_pAsc1_DNA1	2.82E+00	2.68E+00	5.57E+00	4.42E+00
EOC77_pOme1_DNA3	3.33E+00	6.55E-01	5.98E+00	4.99E+00
EOC779_pOme1_DNA1	5.53E+00	4.62E+00	6.02E-01	4.30E+00
EOC779_pOvaL1_DNA1	4.46E+00	2.39E+00	3.86E+00	2.79E+00
EOC779_pPer1_DNA1	5.99E+00	4.97E+00	2.13E+00	3.72E+00
EOC863_pMes1_DNA1	4.76E-01	4.68E+00	2.45E+00	4.89E+00
EOC863_pOva1_DNA1	7.62E+00	8.44E+00	7.73E+00	6.34E+00
EOC879_p2Ome1_DNA1	6.71E+00	8.15E+00	9.00E+00	5.73E+00
EOC879_p2OvaL1_DNA1	1.02E+01	1.24E+01	1.17E+01	3.11E+00
EOC879_p2TubL1_DNA1	1.01E+01	1.20E+01	1.04E+01	2.97E+00
EOC914_iOme1_DNA1	8.97E+00	9.18E+00	1.19E+01	7.13E+00
EOC914_iOvaL1_DNA1	8.37E+00	8.90E+00	1.09E+01	6.64E+00
EOC914_iPer1_DNA1	7.07E+00	9.14E+00	1.13E+01	6.52E+00
EOC984_pOme1_DNA1	4.11E+00	7.64E-01	2.29E+00	3.86E+00
EOC984_pPer1_DNA1	3.99E+00	6.29E-01	3.66E+00	4.29E+00
