MutationType	CH43A	CH43B	CH43C	CH43D
7.40E+01	1.79E-04	2.56E-04	2.00E-04	2.50E-04
1.33E+02	7.55E-05	2.02E-04	1.59E-04	2.30E-04
8.30E+01	8.25E-05	1.36E-04	8.78E-05	1.34E-04
2.01E+02	1.72E-04	2.23E-04	1.78E-04	3.24E-04
4.80E+01	4.84E-05	9.07E-05	4.79E-05	1.28E-04
3.20E+01	3.27E-05	8.05E-05	5.66E-05	1.51E-04
1.10E+01	1.14E-04	8.22E-05	1.75E-05	5.45E-05
7.00E+00	7.56E-05	5.46E-05	1.43E-05	5.40E-05
4.00E+00	4.31E-05	5.21E-05	2.20E-05	3.89E-05
1.00E+01	2.68E-05	6.16E-05	3.77E-05	7.61E-05
4.00E+00	1.87E-05	2.75E-05	2.42E-05	3.08E-05
3.00E+00	2.00E-05	2.87E-05	1.96E-05	4.07E-05
7.00E+00	8.55E-05	9.04E-05	3.64E-05	0.00E+00
4.00E+00	0.00E+00	0.00E+00	1.52E-04	1.46E-04
4.00E+00	3.07E-05	3.31E-05	8.04E-05	6.50E-05
2.00E+00	9.58E-06	1.28E-05	9.29E-06	4.63E-06
0.00E+00	1.19E-05	1.36E-05	1.45E-05	1.83E-05
0.00E+00	1.80E-05	8.21E-06	1.01E-05	1.79E-05
1.00E+01	2.76E-05	4.12E-05	1.82E-05	4.30E-05
3.40E+01	2.32E-05	4.65E-05	3.23E-06	4.67E-05
1.13E+00	9.70E-06	1.23E-05	9.16E-06	2.86E-05
1.70E+00	1.17E-05	1.72E-05	1.04E-05	3.38E-05
0.00E+00	2.29E-05	3.26E-06	1.77E-05	1.07E-05
1.39E+02	2.07E-04	2.68E-04	1.18E-04	3.08E-04
2.10E+02	1.63E-04	2.87E-04	2.18E-04	3.31E-04
3.43E+02	1.87E-04	2.72E-04	2.49E-04	4.05E-04
2.90E+01	1.24E-05	4.09E-05	2.38E-05	3.17E-04
7.00E+01	7.25E-05	1.16E-04	6.08E-05	4.17E-04
2.80E+01	6.69E-05	8.07E-05	7.91E-05	9.27E-05
3.00E+00	3.81E-05	4.76E-05	4.92E-05	0.00E+00
3.00E+00	8.78E-06	1.25E-05	0.00E+00	1.20E-06
4.07E+02	1.86E-04	3.78E-04	2.45E-04	3.90E-04
3.40E+01	7.61E-05	1.03E-04	7.82E-05	1.07E-04
4.00E+00	4.50E-05	1.05E-05	5.39E-05	5.30E-05
9.00E+00	1.81E-05	2.54E-05	2.02E-05	1.09E-04
1.30E+01	5.29E-06	2.06E-05	9.71E-06	1.51E-04
1.80E+01	3.91E-05	5.11E-05	3.16E-05	1.11E-04
6.00E+00	3.35E-05	4.46E-05	5.02E-05	0.00E+00
1.72E+02	9.40E-05	1.88E-04	1.37E-04	2.72E-04
3.30E+02	2.56E-04	5.65E-04	3.42E-04	4.67E-04
1.06E+02	1.22E-04	3.81E-04	2.30E-04	1.17E-08
6.30E+01	2.80E-05	1.76E-04	7.47E-05	6.92E-05
1.70E+01	6.84E-11	4.79E-05	1.37E-10	2.51E-09
