Samples	CH43A	CH43B	CH43C	CH43D	CH43E
EOC1003_p2OvaL1_TR_DNA	0	120	1381	713	542
EOC1003_p2OvaR1_DNA1	0	0	860	688	413
EOC1022_pOme1_DNA1	0	0	0	465	420
EOC1022_pPer1_DNA1	435	137	0	403	384
EOC1067_pOme1_DNA3	233	548	257	151	416
EOC1067_pOvaR1_DNA1	397	1868	599	150	219
EOC1067_pPerR1_DNA1	0	347	358	334	463
EOC1067_pTubL1_DNA1	0	253	971	502	441
EOC1091_pOme1_TR_DNA	0	353	1015	1412	319
EOC1091_pOvaR1_TR_DNA	0	105	1458	491	584
EOC124_pOvaL1_TR_DNA1	2357	1352	521	187	0
EOC124_pOvaR1_TR	2058	112	407	1222	249
EOC133_pAsc1_DNA1	2149	0	610	389	345
EOC133_pOme1_TR_DNA	1611	0	620	568	392
EOC133_pOvaL1_DNA1	2063	68	358	338	309
EOC148_pAdnL1_DNA1	3382	0	1733	2088	0
EOC148_pAdnL3_DNA1	3260	210	1497	1802	0
EOC148_pOvaL4_DNA1	2399	441	468	1965	1
EOC148_pOvaL5_DNA1	3171	522	1062	1744	0
EOC192_iOme1B_DNA2	0	158	0	33	488
EOC192_iOme3A_DNA1	0	174	0	38	489
EOC192_iOvaR1A_DNA1	166	167	145	0	481
EOC192_pAsc1_DNA1	0	304	36	9	532
EOC192_pOme1A_TR_DNA1	128	210	105	0	475
EOC192_pOme2B_DNA2	136	220	109	7	492
EOC192_pOvaR1A_DNA1	140	190	98	0	479
EOC192_pOvaR1A_DNA3	195	211	66	0	445
EOC192_pPer1A_DNA2	88	74	367	35	555
EOC192_pPer2B_DNA1	112	0	246	604	428
EOC293_pAdnL1_DNA1	497	5136	141	224	0
EOC293_pMes1_DNA2	0	4715	448	1020	141
EOC293_pOvaR1_DNA2	0	4879	0	293	94
EOC372_iOme1_DNA1	1618	621	379	1220	147
EOC372_iPer1_DNA1	452	349	148	1229	352
EOC372_pPer1_DNA1	549	709	345	1271	276
EOC523_pOme1_DNA2	666	0	1211	122	239
EOC523_pOvaR1_DNA2	527	0	994	274	237
EOC561_pPer1_DNA1	1126	2775	733	231	227
EOC561_pPer1_DNA1_bgiseq	507	3347	105	184	251
EOC63_pOme1_DNA1	7609	0	5067	671	0
EOC63_pOvaR1_DNA1	1282	0	0	2439	100
EOC667_pMes1_DNA1	2739	1221	778	85	78
EOC667_pOme1_DNA2	2599	1478	213	0	0
EOC77_iOme1_DNA1	77	122	166	541	438
EOC77_iOme2_DNA1	87	104	451	89	510
EOC77_iPer1_DNA2	308	383	266	0	439
EOC77_pAsc1_DNA1	100	282	172	64	475
EOC77_pOme1_DNA3	162	396	256	0	465
EOC779_pOme1_DNA1	1179	0	0	455	402
EOC779_pOvaL1_DNA1	4062	92	0	0	153
EOC779_pPer1_DNA1	2781	89	0	229	243
EOC863_pMes1_DNA1	0	0	725	859	367
EOC863_pOva1_DNA1	0	173	1605	652	315
EOC879_p2Ome1_DNA1	0	1085	995	629	280
EOC879_p2OvaL1_DNA1	416	1391	1469	2767	0
EOC879_p2TubL1_DNA1	303	1162	1310	2677	0
EOC914_iOme1_DNA1	12	1058	1482	790	266
EOC914_iOvaL1_DNA1	0	603	1577	948	371
EOC914_iPer1_DNA1	0	935	1309	882	267
EOC984_pOme1_DNA1	447	64	199	12	435
EOC984_pPer1_DNA1	437	129	163	0	427
