Samples	CH43A	CH43B	CH43C	CH43D	CH43E
EOC1003_p2OvaL1_TR_DNA	4.24E+00	6.83E+00	2.05E+01	1.69E+01	6.37E+00
EOC1003_p2OvaR1_DNA1	2.61E+00	1.50E+00	1.28E+01	1.09E+01	3.85E+00
EOC1022_pOme1_DNA1	2.71E+00	6.01E-01	1.21E+00	2.68E+00	2.69E+00
EOC1022_pPer1_DNA1	4.89E+00	5.25E+00	3.57E+00	3.33E+00	3.71E+00
EOC1067_pOme1_DNA3	5.11E+00	6.34E+00	7.14E+00	5.39E+00	4.66E+00
EOC1067_pOvaR1_DNA1	7.43E+00	1.39E+01	1.34E+01	9.58E+00	3.29E+00
EOC1067_pPerR1_DNA1	2.82E+00	5.37E+00	8.29E+00	6.62E+00	4.86E+00
EOC1067_pTubL1_DNA1	2.55E+00	5.35E+00	1.36E+01	1.22E+01	4.72E+00
EOC1091_pOme1_TR_DNA	6.27E+00	6.35E+00	2.26E+01	1.61E+01	4.10E+00
EOC1091_pOvaR1_TR_DNA	4.16E+00	6.52E+00	1.57E+01	1.37E+01	8.03E+00
EOC124_pOvaL1_TR_DNA1	1.54E+01	1.18E+01	1.62E+01	4.94E+00	2.60E+00
EOC124_pOvaR1_TR	1.13E+01	7.40E+00	1.28E+01	6.74E+00	2.70E+00
EOC133_pAsc1_DNA1	1.24E+01	1.58E+00	1.24E+01	5.40E+00	3.70E+00
EOC133_pOme1_TR_DNA	9.22E+00	2.27E+00	1.06E+01	6.96E+00	3.70E+00
EOC133_pOvaL1_DNA1	9.76E+00	1.87E+00	1.02E+01	5.09E+00	3.54E+00
EOC148_pAdnL1_DNA1	2.44E+01	1.11E+01	2.40E+01	1.16E+01	8.59E-01
EOC148_pAdnL3_DNA1	2.17E+01	9.48E+00	2.22E+01	1.15E+01	8.27E-01
EOC148_pOvaL4_DNA1	1.47E+01	9.82E+00	1.61E+01	9.02E+00	1.98E+00
EOC148_pOvaL5_DNA1	1.94E+01	9.95E+00	2.13E+01	1.00E+01	5.93E-01
EOC192_iOme1B_DNA2	3.82E-01	3.59E+00	6.22E-01	1.44E+00	3.13E+00
EOC192_iOme3A_DNA1	2.72E-01	4.26E+00	1.15E+00	1.59E+00	3.80E+00
EOC192_iOvaR1A_DNA1	3.74E+00	5.81E+00	6.98E+00	3.92E-01	4.23E+00
EOC192_pAsc1_DNA1	6.95E-01	4.97E+00	3.61E+00	7.75E-01	4.35E+00
EOC192_pOme1A_TR_DNA1	2.69E+00	5.50E+00	6.04E+00	2.68E-01	3.92E+00
EOC192_pOme2B_DNA2	2.85E+00	5.72E+00	5.60E+00	1.47E+00	4.34E+00
EOC192_pOvaR1A_DNA1	2.92E+00	5.21E+00	5.82E+00	8.36E-01	3.72E+00
EOC192_pOvaR1A_DNA3	3.34E+00	5.25E+00	5.61E+00	9.62E-01	3.73E+00
EOC192_pPer1A_DNA2	3.41E+00	5.15E+00	7.49E+00	2.78E-01	4.31E+00
EOC192_pPer2B_DNA1	2.63E+00	4.31E+00	5.49E+00	4.61E+00	3.96E+00
EOC293_pAdnL1_DNA1	6.85E+00	2.97E+01	3.20E+01	1.18E+01	1.52E+00
EOC293_pMes1_DNA2	6.73E-01	2.63E+01	2.92E+01	1.33E+01	1.58E+00
EOC293_pOvaR1_DNA2	3.23E+00	1.92E+01	2.12E+01	1.08E+01	1.85E+00
EOC372_iOme1_DNA1	1.21E+01	1.00E+01	1.55E+01	7.80E+00	2.73E+00
EOC372_iPer1_DNA1	1.01E+01	7.69E+00	1.48E+01	6.97E+00	3.91E+00
EOC372_pPer1_DNA1	9.92E+00	9.79E+00	1.53E+01	6.97E+00	3.13E+00
EOC523_pOme1_DNA2	2.05E+01	1.18E+00	1.93E+01	7.40E+00	4.62E+00
EOC523_pOvaR1_DNA2	1.96E+01	1.60E-01	1.94E+01	6.09E+00	4.33E+00
EOC561_pPer1_DNA1	1.38E+01	2.64E+01	3.07E+01	6.87E+00	2.76E+00
EOC561_pPer1_DNA1_bgiseq	7.80E+00	1.92E+01	2.27E+01	8.00E+00	3.14E+00
EOC63_pOme1_DNA1	9.47E+01	1.76E+01	9.91E+01	2.40E+00	0.00E+00
