MutationType	CH43A	CH43B	CH43C	CH43D	CH43E
7.40E+01	6.25E-04	5.13E-04	9.86E-04	1.04E-03	5.49E-04
1.33E+02	1.20E-04	8.90E-04	8.93E-04	4.78E-04	5.35E-04
8.30E+01	1.19E-04	1.28E-04	3.29E-04	3.70E-04	2.10E-04
2.01E+02	2.43E-04	4.48E-04	9.48E-04	5.20E-04	5.84E-04
4.80E+01	7.86E-05	5.82E-05	2.27E-04	1.81E-04	1.90E-04
3.20E+01	1.34E-05	6.28E-05	2.94E-04	1.90E-04	2.53E-04
1.10E+01	3.64E-04	1.74E-05	1.08E-04	2.39E-04	9.48E-05
7.00E+00	1.48E-04	1.59E-05	9.91E-05	1.10E-04	8.42E-05
4.00E+00	5.20E-05	1.78E-05	1.53E-04	1.49E-04	1.63E-05
1.00E+01	5.18E-05	3.44E-05	2.12E-04	2.35E-04	1.46E-04
4.00E+00	2.20E-05	2.63E-05	4.85E-05	3.92E-05	4.07E-05
3.00E+00	2.65E-05	2.38E-05	6.70E-05	4.63E-05	6.29E-05
7.00E+00	3.00E-04	5.72E-05	2.99E-04	2.99E-04	2.35E-43
4.00E+00	0.00E+00	4.42E-04	5.23E-04	1.96E-04	3.53E-04
4.00E+00	4.36E-05	1.49E-04	7.78E-05	1.28E-04	8.39E-05
2.00E+00	1.14E-05	9.69E-06	2.16E-05	2.01E-05	4.04E-06
0.00E+00	1.28E-05	1.58E-05	2.51E-05	1.12E-05	1.27E-05
0.00E+00	2.15E-05	1.18E-05	1.85E-05	1.81E-05	2.86E-05
1.00E+01	2.98E-05	1.50E-05	8.00E-05	6.95E-05	6.50E-05
3.40E+01	4.09E-05	4.18E-06	1.42E-04	8.56E-05	8.55E-05
1.13E+00	1.16E-05	1.02E-05	1.42E-05	1.67E-05	4.57E-05
1.70E+00	1.32E-05	1.14E-05	2.41E-05	2.21E-05	5.28E-05
0.00E+00	3.07E-05	2.12E-05	1.87E-05	6.52E-06	1.42E-05
1.39E+02	3.01E-04	1.36E-04	1.46E-03	5.86E-04	5.89E-04
2.10E+02	6.05E-04	5.29E-04	7.16E-04	1.02E-03	6.15E-04
3.43E+02	5.23E-04	5.71E-04	1.16E-03	5.86E-04	1.06E-03
2.90E+01	5.01E-06	2.42E-05	2.98E-05	5.69E-05	6.19E-04
7.00E+01	1.13E-04	8.80E-05	1.76E-04	1.88E-04	8.24E-04
2.80E+01	1.44E-04	1.15E-04	2.32E-04	1.61E-04	1.96E-04
3.00E+00	4.78E-05	5.99E-05	8.27E-05	7.52E-05	0.00E+00
3.00E+00	1.56E-05	2.75E-11	3.36E-05	6.66E-06	1.33E-09
4.07E+02	5.83E-04	3.26E-04	1.06E-03	1.11E-03	7.53E-04
3.40E+01	9.51E-05	8.81E-05	1.71E-04	1.63E-04	1.55E-04
4.00E+00	5.10E-05	6.33E-05	8.91E-05	0.00E+00	2.77E-05
9.00E+00	2.16E-05	2.38E-05	2.72E-05	3.87E-05	1.97E-04
1.30E+01	3.70E-06	7.98E-06	9.66E-10	2.97E-05	3.03E-04
1.80E+01	5.29E-05	4.19E-05	9.71E-05	8.95E-05	1.83E-04
6.00E+00	3.93E-05	5.93E-05	8.81E-05	7.68E-05	0.00E+00
1.72E+02	3.80E-04	2.92E-04	9.91E-04	8.10E-05	6.16E-04
3.30E+02	4.94E-04	5.26E-04	1.65E-03	4.33E-04	8.64E-04
1.06E+02	3.97E-04	6.15E-04	9.41E-04	1.17E-03	5.22E-05
6.30E+01	1.35E-05	1.23E-04	6.90E-04	4.78E-04	1.12E-04
1.70E+01	6.25E-11	0.00E+00	2.70E-04	2.64E-04	1.87E-09
