Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F
EOC1003_p2OvaL1_TR_DNA	0	0	1355	571	470	360
EOC1003_p2OvaR1_DNA1	0	0	904	631	61	365
EOC1022_pOme1_DNA1	0	0	0	457	0	428
EOC1022_pPer1_DNA1	292	297	0	371	0	399
EOC1067_pOme1_DNA3	270	204	190	103	461	377
EOC1067_pOvaR1_DNA1	327	1234	357	0	1064	251
EOC1067_pPerR1_DNA1	19	146	304	278	333	422
EOC1067_pTubL1_DNA1	0	238	905	412	235	377
EOC1091_pOme1_TR_DNA	0	304	921	1309	301	264
EOC1091_pOvaR1_TR_DNA	0	0	1472	360	377	429
EOC124_pOvaL1_TR_DNA1	1919	1668	265	77	468	20
EOC124_pOvaR1_TR	1775	507	379	1169	0	218
EOC133_pAsc1_DNA1	2078	0	706	390	74	245
EOC133_pOme1_TR_DNA	1552	0	678	541	139	281
EOC133_pOvaL1_DNA1	2006	0	408	344	161	217
EOC148_pAdnL1_DNA1	2735	1046	1505	1917	0	0
EOC148_pAdnL3_DNA1	2692	1123	1286	1668	0	0
EOC148_pOvaL4_DNA1	2043	815	340	1870	206	0
EOC148_pOvaL5_DNA1	2589	1439	833	1623	15	0
EOC192_iOme1B_DNA2	0	0	0	0	231	448
EOC192_iOme3A_DNA1	0	0	0	0	273	428
EOC192_iOvaR1A_DNA1	124	194	105	0	59	477
EOC192_pAsc1_DNA1	0	0	16	0	381	484
EOC192_pOme1A_TR_DNA1	73	262	49	0	53	481
EOC192_pOme2B_DNA2	69	287	52	0	59	497
EOC192_pOvaR1A_DNA1	96	210	52	0	71	478
EOC192_pOvaR1A_DNA3	137	258	12	0	56	454
EOC192_pPer1A_DNA2	33	167	351	4	27	537
EOC192_pPer2B_DNA1	21	210	171	568	0	420
EOC293_pAdnL1_DNA1	522	2472	0	0	2969	35
EOC293_pMes1_DNA2	0	492	531	486	4815	0
EOC293_pOvaR1_DNA2	257	912	0	0	4097	0
EOC372_iOme1_DNA1	1366	756	244	1128	363	128
EOC372_iPer1_DNA1	472	0	88	1154	564	252
EOC372_pPer1_DNA1	633	0	297	1160	916	144
EOC523_pOme1_DNA2	692	0	1274	109	0	163
EOC523_pOvaR1_DNA2	551	0	1042	262	0	177
EOC561_pPer1_DNA1	827	2268	419	33	1159	386
EOC561_pPer1_DNA1_bgiseq	682	1220	0	0	2238	254
EOC63_pOme1_DNA1	6276	1778	5030	263	0	0
EOC63_pOvaR1_DNA1	1281	0	0	2438	0	102
EOC667_pMes1_DNA1	2119	1841	530	0	258	153
EOC667_pOme1_DNA2	2029	1844	0	0	340	77
EOC77_iOme1_DNA1	34	165	127	506	82	430
EOC77_iOme2_DNA1	37	180	444	53	35	492
EOC77_iPer1_DNA2	241	381	197	0	135	442
EOC77_pAsc1_DNA1	19	349	106	29	105	485
EOC77_pOme1_DNA3	65	503	153	0	68	490
EOC779_pOme1_DNA1	1136	0	0	460	104	336
EOC779_pOvaL1_DNA1	3960	23	115	0	156	53
EOC779_pPer1_DNA1	2718	0	7	273	194	150
EOC863_pMes1_DNA1	0	0	714	789	158	290
EOC863_pOva1_DNA1	0	395	1501	550	46	253
EOC879_p2Ome1_DNA1	0	615	872	482	781	239
EOC879_p2OvaL1_DNA1	0	2862	682	2499	0	0
EOC879_p2TubL1_DNA1	0	2257	737	2458	0	0
EOC914_iOme1_DNA1	0	917	1265	601	605	220
EOC914_iOvaL1_DNA1	0	737	1397	777	280	308
EOC914_iPer1_DNA1	0	616	1166	701	718	192
EOC984_pOme1_DNA1	325	266	141	0	0	425
EOC984_pPer1_DNA1	333	272	111	0	15	425
