Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F
EOC1003_p2OvaL1_TR_DNA	5.60E+00	3.92E+01	4.34E+01	2.48E+01	2.50E+01	9.56E+00
EOC1003_p2OvaR1_DNA1	3.25E+00	2.28E+01	2.56E+01	1.56E+01	1.25E+01	4.71E+00
EOC1022_pOme1_DNA1	1.65E+00	4.45E+00	1.03E+00	3.95E+00	4.20E-01	3.25E+00
EOC1022_pPer1_DNA1	4.85E+00	1.08E+01	2.72E+00	3.99E+00	7.77E+00	4.01E+00
EOC1067_pOme1_DNA3	6.10E+00	1.46E+01	1.63E+01	8.35E+00	7.34E+00	4.65E+00
EOC1067_pOvaR1_DNA1	1.16E+01	3.59E+01	2.27E+01	1.59E+01	4.00E+01	4.61E+00
EOC1067_pPerR1_DNA1	3.37E+00	1.60E+01	1.77E+01	1.09E+01	9.17E+00	4.81E+00
EOC1067_pTubL1_DNA1	3.00E+00	2.94E+01	2.88E+01	1.90E+01	1.52E+01	6.64E+00
EOC1091_pOme1_TR_DNA	5.92E+00	3.64E+01	4.03E+01	2.54E+01	2.23E+01	7.28E+00
EOC1091_pOvaR1_TR_DNA	4.26E+00	3.09E+01	3.33E+01	1.73E+01	2.02E+01	8.88E+00
EOC124_pOvaL1_TR_DNA1	2.67E+01	3.11E+01	2.71E+01	7.60E+00	2.79E+01	2.14E+00
EOC124_pOvaR1_TR	1.64E+01	2.77E+01	1.88E+01	8.53E+00	1.23E+01	3.32E+00
EOC133_pAsc1_DNA1	1.14E+01	1.20E+01	2.09E+01	1.37E+01	1.04E+01	5.72E+00
EOC133_pOme1_TR_DNA	9.58E+00	1.39E+01	2.22E+01	1.54E+01	1.43E+01	5.94E+00
EOC133_pOvaL1_DNA1	9.76E+00	7.05E+00	1.93E+01	1.21E+01	9.11E+00	4.83E+00
EOC148_pAdnL1_DNA1	4.50E+01	9.28E+01	5.62E+01	2.32E+01	1.44E+01	8.56E-01
EOC148_pAdnL3_DNA1	4.14E+01	7.87E+01	4.40E+01	1.81E+01	1.75E+01	6.06E-01
EOC148_pOvaL4_DNA1	3.35E+01	5.51E+01	2.36E+01	1.68E+01	2.06E+01	1.86E+00
EOC148_pOvaL5_DNA1	4.80E+01	8.19E+01	4.27E+01	1.99E+01	1.82E+01	8.24E-01
EOC192_iOme1B_DNA2	4.11E-01	2.43E+00	1.08E+00	1.70E+00	4.49E+00	3.43E+00
EOC192_iOme3A_DNA1	4.43E-01	2.17E+00	1.34E+00	2.09E+00	5.51E+00	3.88E+00
EOC192_iOvaR1A_DNA1	3.77E+00	1.07E+01	6.35E+00	3.10E-01	9.30E+00	3.95E+00
EOC192_pAsc1_DNA1	8.57E-01	6.66E+00	3.82E+00	6.29E-01	6.19E+00	4.02E+00
EOC192_pOme1A_TR_DNA1	3.05E+00	1.25E+01	5.53E+00	3.21E-01	1.03E+01	4.07E+00
EOC192_pOme2B_DNA2	3.05E+00	1.23E+01	5.49E+00	1.56E+00	1.07E+01	4.33E+00
EOC192_pOvaR1A_DNA1	3.20E+00	1.14E+01	5.38E+00	7.96E-01	9.15E+00	4.19E+00
EOC192_pOvaR1A_DNA3	3.97E+00	1.27E+01	5.25E+00	1.17E+00	9.80E+00	4.31E+00
EOC192_pPer1A_DNA2	3.49E+00	8.66E+00	9.94E+00	2.44E-01	7.04E+00	5.12E+00
EOC192_pPer2B_DNA1	2.39E+00	9.59E+00	7.82E+00	4.90E+00	6.36E+00	4.44E+00
EOC293_pAdnL1_DNA1	7.14E+00	1.72E+02	1.30E+01	1.51E+01	1.61E+02	1.49E+00
EOC293_pMes1_DNA2	2.35E+00	1.22E+02	2.12E+01	2.52E+01	9.97E+01	9.77E-01
EOC293_pOvaR1_DNA2	3.72E+00	1.27E+02	1.02E+01	1.80E+01	1.13E+02	1.61E+00
EOC372_iOme1_DNA1	2.56E+01	3.48E+01	1.46E+01	1.22E+01	1.18E+01	2.94E+00
EOC372_iPer1_DNA1	1.30E+01	1.81E+01	2.07E+01	1.39E+01	2.21E+01	4.72E+00
