MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F
7.40E+01	8.65E-04	2.66E-03	7.31E-04	1.55E-03	3.01E-03	7.67E-04
1.33E+02	3.46E-04	1.46E-03	1.28E-03	1.54E-03	4.89E-03	7.32E-04
8.30E+01	2.08E-04	7.89E-04	5.98E-04	5.29E-04	4.46E-04	2.32E-04
2.01E+02	4.11E-04	1.53E-03	1.72E-03	1.26E-03	2.41E-03	8.45E-04
4.80E+01	1.14E-04	2.89E-04	4.90E-04	2.12E-04	2.00E-04	2.85E-04
3.20E+01	1.78E-05	3.07E-04	6.86E-04	2.29E-04	3.50E-04	4.26E-04
1.10E+01	4.74E-04	4.52E-04	1.25E-04	3.14E-04	6.97E-05	1.71E-04
7.00E+00	2.34E-04	1.56E-04	1.10E-04	1.29E-04	4.66E-05	1.13E-04
4.00E+00	8.02E-05	4.26E-04	2.09E-04	2.64E-04	1.04E-04	1.90E-05
1.00E+01	5.10E-05	5.66E-04	2.95E-04	3.52E-04	1.39E-04	1.48E-04
4.00E+00	3.33E-05	6.68E-05	5.53E-05	4.28E-05	5.05E-05	4.45E-05
3.00E+00	3.39E-05	1.02E-04	8.21E-05	6.30E-05	3.07E-05	7.19E-05
7.00E+00	1.14E-03	2.40E-03	2.89E-04	6.73E-04	5.93E-05	1.53E-09
4.00E+00	0.00E+00	2.50E-03	0.00E+00	2.60E-04	2.09E-03	5.49E-04
4.00E+00	6.11E-05	1.03E-03	6.98E-05	2.19E-04	5.74E-04	4.46E-05
2.00E+00	1.56E-05	2.56E-05	2.89E-05	2.24E-05	1.33E-05	3.56E-06
0.00E+00	1.54E-05	3.01E-05	2.76E-05	1.32E-05	2.31E-05	1.97E-05
0.00E+00	2.96E-05	3.46E-05	2.83E-05	1.77E-05	1.06E-05	3.43E-05
1.00E+01	4.69E-05	1.11E-04	1.11E-04	9.02E-05	5.47E-05	7.17E-05
3.40E+01	5.51E-05	3.16E-04	2.96E-04	9.82E-05	7.69E-05	7.47E-05
1.13E+00	1.60E-05	2.01E-05	1.53E-05	2.09E-05	1.71E-05	6.10E-05
1.70E+00	1.26E-05	1.92E-05	3.23E-05	2.43E-05	1.97E-05	6.11E-05
0.00E+00	3.47E-05	5.00E-05	2.09E-05	4.71E-06	3.07E-05	1.05E-05
1.39E+02	1.34E-03	1.34E-03	2.86E-03	1.26E-03	4.84E-04	7.27E-04
2.10E+02	9.83E-04	2.30E-03	1.85E-03	1.95E-03	1.36E-03	7.58E-04
3.43E+02	5.83E-04	3.02E-03	2.29E-03	1.31E-03	1.27E-03	1.21E-03
2.90E+01	9.14E-06	5.41E-05	2.52E-04	6.94E-05	3.95E-05	6.41E-04
7.00E+01	1.76E-04	3.49E-04	9.65E-04	4.12E-04	2.63E-04	1.22E-03
2.80E+01	1.99E-04	5.22E-04	3.84E-04	3.22E-04	2.08E-04	2.01E-04
3.00E+00	1.05E-04	2.40E-04	1.17E-04	1.18E-04	1.44E-04	0.00E+00
3.00E+00	1.31E-05	4.97E-05	5.51E-05	1.03E-05	4.67E-07	2.29E-09
4.07E+02	6.26E-04	3.26E-03	1.30E-03	1.06E-03	2.91E-03	9.72E-04
3.40E+01	1.60E-04	3.69E-04	1.99E-04	2.30E-04	2.22E-04	1.91E-04
4.00E+00	1.04E-04	3.54E-04	1.25E-04	0.00E+00	2.76E-04	2.33E-05
9.00E+00	3.47E-05	5.87E-05	8.58E-05	5.43E-05	4.34E-05	2.12E-04
1.30E+01	3.30E-06	2.45E-05	1.33E-04	3.78E-05	2.09E-05	3.10E-04
1.80E+01	8.93E-05	1.31E-04	2.76E-04	1.58E-04	1.58E-04	2.92E-04
6.00E+00	5.30E-05	1.18E-04	9.02E-05	9.79E-05	1.27E-04	0.00E+00
1.72E+02	5.84E-04	1.68E-03	2.06E-03	1.53E-04	8.34E-04	5.70E-04
3.30E+02	8.79E-04	3.35E-03	2.56E-03	4.94E-05	2.40E-03	9.93E-04
1.06E+02	7.14E-04	2.18E-03	1.61E-03	1.35E-03	1.45E-03	0.00E+00
6.30E+01	2.14E-05	9.47E-04	1.10E-03	7.29E-04	7.61E-04	1.42E-04
1.70E+01	9.83E-11	2.56E-04	2.79E-04	2.97E-04	1.44E-04	2.09E-09
