Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
EOC1003_p2OvaL1_TR_DNA	0	0	1374	350	333	368	331
EOC1003_p2OvaR1_DNA1	0	0	931	480	206	5	339
EOC1022_pOme1_DNA1	0	10	0	453	0	0	422
EOC1022_pPer1_DNA1	264	334	0	387	0	0	374
EOC1067_pOme1_DNA3	377	173	316	69	0	333	337
EOC1067_pOvaR1_DNA1	518	1064	724	0	0	739	188
EOC1067_pPerR1_DNA1	146	79	463	208	0	220	386
EOC1067_pTubL1_DNA1	118	119	1313	228	0	42	347
EOC1091_pOme1_TR_DNA	189	156	1196	1132	36	165	225
EOC1091_pOvaR1_TR_DNA	0	0	1581	122	318	217	400
EOC124_pOvaL1_TR_DNA1	1590	1492	270	134	572	359	0
EOC124_pOvaR1_TR	1493	460	354	1145	396	2	198
EOC133_pAsc1_DNA1	1929	0	558	353	435	32	186
EOC133_pOme1_TR_DNA	1412	0	521	485	409	130	234
EOC133_pOvaL1_DNA1	1989	0	452	331	155	58	151
EOC148_pAdnL1_DNA1	1375	1226	273	1969	2360	0	0
EOC148_pAdnL3_DNA1	1473	1213	156	1692	2040	195	0
EOC148_pOvaL4_DNA1	1380	844	0	1861	812	377	0
EOC148_pOvaL5_DNA1	1602	1376	124	1630	1493	274	0
EOC192_iOme1B_DNA2	0	0	0	0	0	242	437
EOC192_iOme3A_DNA1	0	0	0	0	0	285	416
EOC192_iOvaR1A_DNA1	42	213	0	0	185	63	456
EOC192_pAsc1_DNA1	11	10	0	0	39	355	466
EOC192_pOme1A_TR_DNA1	21	266	0	0	125	48	458
EOC192_pOme2B_DNA2	46	273	43	0	91	42	469
EOC192_pOvaR1A_DNA1	42	219	0	0	127	64	455
EOC192_pOvaR1A_DNA3	96	259	0	0	92	39	431
EOC192_pPer1A_DNA2	0	126	221	0	255	15	502
EOC192_pPer2B_DNA1	0	184	84	555	163	0	404
EOC293_pAdnL1_DNA1	383	2819	0	0	158	2638	0
EOC293_pMes1_DNA2	0	966	597	294	187	4280	0
EOC293_pOvaR1_DNA2	283	1455	0	0	0	3528	0
EOC372_iOme1_DNA1	1298	622	497	1081	112	286	89
EOC372_iPer1_DNA1	443	0	156	1090	21	575	245
EOC372_pPer1_DNA1	646	0	417	1057	48	846	136
EOC523_pOme1_DNA2	0	0	0	177	1788	0	273
EOC523_pOvaR1_DNA2	0	0	0	310	1468	0	254
EOC561_pPer1_DNA1	170	2333	0	93	1070	1055	371
EOC561_pPer1_DNA1_bgiseq	598	1490	0	0	147	1938	221
EOC63_pOme1_DNA1	3826	1571	2460	145	5345	0	0
EOC63_pOvaR1_DNA1	1047	196	0	2428	0	0	150
EOC667_pMes1_DNA1	1939	1476	793	0	508	109	76
EOC667_pOme1_DNA2	1930	1669	260	0	178	253	0
EOC77_iOme1_DNA1	0	160	95	480	97	101	411
EOC77_iOme2_DNA1	0	129	311	16	295	29	461
EOC77_iPer1_DNA2	96	403	27	0	308	141	421
EOC77_pAsc1_DNA1	0	311	95	24	123	85	455
EOC77_pOme1_DNA3	0	476	50	0	229	65	459
EOC779_pOme1_DNA1	1117	0	0	473	22	133	291
EOC779_pOvaL1_DNA1	3820	83	143	0	218	43	0
EOC779_pPer1_DNA1	2716	0	143	322	0	86	75
EOC863_pMes1_DNA1	0	0	985	607	0	79	280
EOC863_pOva1_DNA1	122	129	1688	314	309	0	183
EOC879_p2Ome1_DNA1	187	478	1145	340	104	541	194
EOC879_p2OvaL1_DNA1	0	2221	1525	2297	0	0	0
EOC879_p2TubL1_DNA1	0	1763	1428	2261	0	0	0
EOC914_iOme1_DNA1	325	571	1914	367	0	275	156
EOC914_iOvaL1_DNA1	142	478	2111	493	0	5	270
EOC914_iPer1_DNA1	140	445	1769	451	0	422	166
EOC984_pOme1_DNA1	310	198	150	0	112	0	387
EOC984_pPer1_DNA1	348	204	158	0	62	0	384
