Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
EOC1003_p2OvaL1_TR_DNA	7.90E+00	1.79E+00	3.32E+01	2.21E+01	3.07E+01	1.86E+01	5.85E+00
EOC1003_p2OvaR1_DNA1	3.89E+00	2.56E+00	1.70E+01	1.58E+01	1.62E+01	9.68E+00	4.67E+00
EOC1022_pOme1_DNA1	1.65E+00	4.51E+00	2.00E-01	4.48E+00	2.36E+00	6.70E-01	3.60E+00
EOC1022_pPer1_DNA1	6.06E+00	6.80E+00	9.57E-01	4.79E+00	5.38E+00	4.90E+00	4.53E+00
EOC1067_pOme1_DNA3	1.14E+01	8.24E+00	1.49E+01	9.28E+00	1.08E+01	7.25E+00	4.78E+00
EOC1067_pOvaR1_DNA1	1.65E+01	3.30E+01	1.84E+01	1.71E+01	9.64E+00	3.36E+01	4.45E+00
EOC1067_pPerR1_DNA1	6.43E+00	3.90E+00	1.52E+01	1.17E+01	8.58E+00	7.83E+00	4.71E+00
EOC1067_pTubL1_DNA1	6.90E+00	7.31E+00	1.97E+01	2.07E+01	1.64E+01	8.22E+00	5.25E+00
EOC1091_pOme1_TR_DNA	9.49E+00	9.41E+00	4.19E+01	2.88E+01	2.47E+01	1.63E+01	5.12E+00
EOC1091_pOvaR1_TR_DNA	8.61E+00	5.25E+00	3.16E+01	1.67E+01	3.46E+01	1.51E+01	6.56E+00
EOC124_pOvaL1_TR_DNA1	4.23E+01	2.28E+01	2.31E+01	6.88E+00	4.68E+01	1.95E+01	2.23E+00
EOC124_pOvaR1_TR	3.72E+01	2.26E+01	1.87E+01	8.42E+00	4.01E+01	8.32E+00	3.62E+00
EOC133_pAsc1_DNA1	3.11E+01	5.82E-01	2.16E+01	1.37E+01	4.02E+01	1.02E+01	4.07E+00
EOC133_pOme1_TR_DNA	2.56E+01	3.39E-01	2.11E+01	1.53E+01	3.33E+01	1.26E+01	4.15E+00
EOC133_pOvaL1_DNA1	2.81E+01	1.29E+00	1.71E+01	1.21E+01	3.36E+01	8.90E+00	4.01E+00
EOC148_pAdnL1_DNA1	9.90E+01	8.92E+01	5.29E+01	2.48E+01	1.37E+02	1.53E+01	9.69E-01
EOC148_pAdnL3_DNA1	8.13E+01	7.84E+01	4.52E+01	2.42E+01	1.10E+02	1.79E+01	6.43E-01
EOC148_pOvaL4_DNA1	5.87E+01	5.69E+01	2.48E+01	1.87E+01	8.74E+01	2.46E+01	1.81E+00
EOC148_pOvaL5_DNA1	9.31E+01	8.41E+01	3.82E+01	2.29E+01	1.35E+02	2.13E+01	6.25E-01
EOC192_iOme1B_DNA2	7.60E-01	2.87E+00	3.04E-01	2.00E+00	2.10E+00	4.29E+00	3.44E+00
EOC192_iOme3A_DNA1	9.35E-01	2.02E+00	1.65E+00	2.13E+00	1.07E+00	4.26E+00	3.07E+00
EOC192_iOvaR1A_DNA1	3.77E+00	1.05E+01	6.47E+00	3.25E-01	7.69E+00	8.27E+00	4.92E+00
EOC192_pAsc1_DNA1	1.15E+00	6.62E+00	3.02E+00	6.54E-01	3.93E+00	5.71E+00	3.98E+00
EOC192_pOme1A_TR_DNA1	3.07E+00	1.20E+01	5.37E+00	6.17E-01	7.27E+00	9.23E+00	4.68E+00
EOC192_pOme2B_DNA2	3.57E+00	1.19E+01	5.52E+00	1.73E+00	7.38E+00	9.08E+00	4.70E+00
EOC192_pOvaR1A_DNA1	3.83E+00	1.08E+01	4.96E+00	8.85E-01	6.52E+00	8.07E+00	4.80E+00
