MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
7.40E+01	1.86E-03	1.26E-03	1.23E-03	1.55E-03	4.79E-03	2.68E-03	1.08E-03
1.33E+02	5.92E-04	7.11E-04	1.37E-03	1.73E-03	4.97E-04	4.57E-03	7.76E-04
8.30E+01	5.21E-04	5.96E-04	5.09E-04	5.95E-04	7.34E-04	3.59E-04	2.86E-04
2.01E+02	9.32E-04	7.70E-04	1.86E-03	1.35E-03	1.32E-03	2.19E-03	9.79E-04
4.80E+01	3.75E-04	2.54E-04	5.18E-04	2.81E-04	1.53E-03	2.20E-04	4.04E-04
3.20E+01	2.31E-04	2.04E-04	6.40E-04	2.58E-04	2.05E-03	3.28E-04	7.21E-04
1.10E+01	1.62E-03	3.73E-04	4.50E-05	4.63E-04	2.37E-03	5.80E-05	1.70E-04
7.00E+00	6.89E-04	1.26E-04	1.35E-04	1.43E-04	7.78E-04	2.43E-05	1.26E-04
4.00E+00	2.72E-04	3.42E-04	2.99E-04	3.26E-04	3.06E-04	2.56E-05	2.20E-05
1.00E+01	9.47E-05	4.69E-04	3.10E-04	3.89E-04	2.12E-04	1.70E-05	2.02E-04
4.00E+00	3.99E-05	6.37E-05	5.58E-05	3.92E-05	8.49E-05	4.85E-05	5.00E-05
3.00E+00	4.77E-05	8.24E-05	5.34E-05	7.18E-05	9.68E-05	2.36E-05	7.96E-05
7.00E+00	9.87E-04	2.31E-03	1.78E-04	7.82E-04	2.66E-03	1.62E-05	0.00E+00
4.00E+00	0.00E+00	2.30E-03	9.22E-05	2.99E-04	1.19E-04	1.98E-03	6.16E-04
4.00E+00	7.66E-05	9.99E-04	3.23E-06	2.89E-04	9.55E-05	5.49E-04	0.00E+00
2.00E+00	1.98E-05	2.66E-05	2.51E-05	2.37E-05	2.83E-05	1.64E-05	5.53E-06
0.00E+00	2.79E-05	3.30E-05	3.12E-05	1.42E-05	3.10E-05	1.91E-05	1.74E-05
0.00E+00	4.23E-05	2.79E-05	8.33E-06	2.28E-05	5.08E-05	8.59E-06	3.18E-05
1.00E+01	7.77E-05	8.58E-05	1.52E-04	9.40E-05	1.15E-04	4.47E-05	7.89E-05
3.40E+01	6.15E-05	1.78E-04	1.96E-04	4.31E-05	2.68E-04	1.30E-05	8.60E-05
1.13E+00	2.44E-05	2.35E-05	2.21E-05	2.03E-05	1.52E-05	1.87E-05	6.69E-05
1.70E+00	1.88E-05	1.88E-05	2.99E-05	2.55E-05	3.30E-05	2.16E-05	6.70E-05
0.00E+00	7.61E-05	5.11E-05	2.13E-05	7.57E-06	4.72E-05	3.30E-05	9.93E-06
1.39E+02	1.93E-03	1.05E-03	2.74E-03	1.96E-03	3.95E-03	5.31E-04	1.06E-03
2.10E+02	8.76E-04	2.38E-03	2.09E-03	2.10E-03	2.15E-03	1.24E-03	8.78E-04
3.43E+02	1.52E-03	2.66E-03	2.58E-03	1.46E-03	2.86E-03	1.06E-03	1.57E-03
2.90E+01	3.92E-05	4.78E-05	2.03E-04	8.71E-05	1.13E-04	4.21E-05	8.66E-04
7.00E+01	5.64E-04	2.33E-04	9.29E-04	4.36E-04	3.99E-04	2.80E-04	1.44E-03
2.80E+01	5.53E-04	5.66E-04	5.75E-04	3.04E-04	3.70E-04	2.86E-04	2.66E-04
3.00E+00	1.16E-04	2.75E-04	1.22E-04	1.27E-04	3.20E-04	1.68E-04	0.00E+00
3.00E+00	6.95E-06	2.35E-05	7.05E-05	1.18E-05	7.95E-05	4.48E-10	3.08E-08
4.07E+02	1.27E-03	2.18E-03	1.60E-03	1.24E-03	4.41E-03	2.80E-03	1.47E-03
3.40E+01	2.25E-04	3.94E-04	2.35E-04	2.36E-04	3.93E-04	2.18E-04	2.08E-04
4.00E+00	1.37E-04	3.75E-04	1.05E-04	0.00E+00	1.77E-04	3.01E-04	4.66E-06
9.00E+00	5.17E-05	5.92E-05	6.48E-05	5.11E-05	9.65E-05	4.18E-05	2.30E-04
1.30E+01	3.31E-05	2.50E-05	1.23E-04	3.60E-05	1.07E-05	2.09E-05	3.60E-04
1.80E+01	2.72E-04	1.06E-04	2.78E-04	1.81E-04	2.00E-04	1.61E-04	2.82E-04
6.00E+00	6.70E-05	1.49E-04	1.23E-04	1.14E-04	1.76E-04	1.34E-04	0.00E+00
1.72E+02	1.06E-03	9.83E-04	2.52E-03	3.08E-04	4.05E-03	8.47E-04	9.32E-04
3.30E+02	1.95E-03	3.69E-03	3.02E-03	3.73E-10	2.32E-03	2.51E-03	1.31E-03
1.06E+02	7.42E-04	2.34E-03	2.75E-03	1.49E-03	2.10E-03	1.80E-03	2.75E-06
6.30E+01	4.93E-05	3.89E-04	1.63E-03	8.14E-04	4.30E-04	6.35E-04	1.34E-04
1.70E+01	1.96E-10	5.17E-05	4.37E-04	3.45E-04	1.04E-04	9.15E-05	1.80E-09
