Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA	0	0	0	277	1106	467	577	329
EOC1003_p2OvaR1_DNA1	0	0	0	411	802	98	325	325
EOC1022_pOme1_DNA1	0	0	14	455	0	0	0	416
EOC1022_pPer1_DNA1	218	69	305	404	0	0	7	356
EOC1067_pOme1_DNA3	376	0	230	72	272	267	68	320
EOC1067_pOvaR1_DNA1	493	0	1134	0	736	535	187	148
EOC1067_pPerR1_DNA1	206	0	74	168	480	186	23	365
EOC1067_pTubL1_DNA1	147	0	88	139	1196	76	190	331
EOC1091_pOme1_TR_DNA	52	0	267	1047	1036	220	256	221
EOC1091_pOvaR1_TR_DNA	0	0	0	47	1287	305	600	399
EOC124_pOvaL1_TR_DNA1	1139	1252	1064	145	114	289	414	0
EOC124_pOvaR1_TR	1033	1163	69	1045	169	143	206	220
EOC133_pAsc1_DNA1	2019	0	0	363	477	71	421	142
EOC133_pOme1_TR_DNA	1501	0	0	477	459	172	388	194
EOC133_pOvaL1_DNA1	1996	0	12	346	352	82	226	122
EOC148_pAdnL1_DNA1	616	2965	360	1789	94	174	1205	0
EOC148_pAdnL3_DNA1	812	2431	567	1573	0	295	1091	0
EOC148_pOvaL4_DNA1	804	1818	233	1694	0	456	233	36
EOC148_pOvaL5_DNA1	820	2711	471	1454	0	402	641	0
EOC192_iOme1B_DNA2	27	0	0	0	0	216	10	426
EOC192_iOme3A_DNA1	0	0	0	0	0	283	0	418
EOC192_iOvaR1A_DNA1	49	0	258	0	0	33	182	437
EOC192_pAsc1_DNA1	39	0	59	0	0	292	42	449
EOC192_pOme1A_TR_DNA1	11	0	301	0	0	18	149	439
EOC192_pOme2B_DNA2	39	0	288	9	41	12	127	448
EOC192_pOvaR1A_DNA1	40	0	254	0	0	35	142	436
EOC192_pOvaR1A_DNA3	78	0	289	0	0	10	126	414
EOC192_pPer1A_DNA2	0	47	155	0	168	10	258	481
EOC192_pPer2B_DNA1	0	0	191	546	129	0	141	383
EOC293_pAdnL1_DNA1	61	0	3370	150	0	1940	477	0
EOC293_pMes1_DNA2	0	128	1577	308	602	3478	231	0
EOC293_pOvaR1_DNA2	264	0	2125	0	0	2877	0	0
EOC372_iOme1_DNA1	667	1350	194	963	210	400	56	145
EOC372_iPer1_DNA1	184	424	0	1017	42	602	0	261
EOC372_pPer1_DNA1	254	697	0	962	185	855	25	172
EOC523_pOme1_DNA2	299	0	0	269	0	31	1390	249
EOC523_pOvaR1_DNA2	140	0	0	396	0	0	1231	265
EOC561_pPer1_DNA1	75	0	2748	299	83	596	1025	266
EOC561_pPer1_DNA1_bgiseq	396	0	1933	125	0	1420	344	176
EOC63_pOme1_DNA1	2053	6808	0	0	1351	0	3135	0
EOC63_pOvaR1_DNA1	531	640	41	2284	0	132	0	193
EOC667_pMes1_DNA1	875	2480	620	0	94	260	403	169
EOC667_pOme1_DNA2	1199	1765	951	0	0	237	100	38
EOC77_iOme1_DNA1	0	27	156	462	134	100	74	391
EOC77_iOme2_DNA1	0	29	179	18	253	23	301	438
EOC77_iPer1_DNA2	115	25	457	0	56	79	273	391
EOC77_pAsc1_DNA1	0	64	288	33	98	49	130	431
EOC77_pOme1_DNA3	0	0	521	0	64	14	250	430
EOC779_pOme1_DNA1	1092	0	0	475	0	153	54	262
EOC779_pOvaL1_DNA1	3679	280	44	0	0	48	256	0
EOC779_pPer1_DNA1	2673	0	35	369	55	91	76	43
EOC863_pMes1_DNA1	0	0	0	508	879	192	117	255
EOC863_pOva1_DNA1	160	0	158	223	1535	0	489	180
EOC879_p2Ome1_DNA1	82	0	634	313	960	461	358	181
EOC879_p2OvaL1_DNA1	0	279	1638	2059	2067	0	0	0
EOC879_p2TubL1_DNA1	0	191	1337	2048	1876	0	0	0
EOC914_iOme1_DNA1	455	14	429	227	1917	241	200	125
EOC914_iOvaL1_DNA1	106	272	240	317	1955	88	261	260
EOC914_iPer1_DNA1	244	30	355	312	1754	377	178	143
EOC984_pOme1_DNA1	232	304	59	0	89	0	90	383
EOC984_pPer1_DNA1	265	249	93	0	87	8	77	377
