Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA	6.51E+00	8.95E+00	3.25E+00	1.94E+01	2.70E+01	1.73E+01	1.74E+01	4.35E+00
EOC1003_p2OvaR1_DNA1	3.91E+00	6.58E+00	1.95E+00	1.55E+01	1.70E+01	1.23E+01	1.22E+01	3.53E+00
EOC1022_pOme1_DNA1	1.24E+00	3.15E+00	3.43E+00	4.82E+00	2.23E+00	9.37E-01	2.17E+00	3.73E+00
EOC1022_pPer1_DNA1	5.50E+00	6.13E+00	5.06E+00	4.95E+00	3.53E+00	3.74E+00	4.36E+00	4.21E+00
EOC1067_pOme1_DNA3	1.22E+01	6.59E+00	9.05E+00	9.12E+00	1.57E+01	7.98E+00	1.10E+01	4.42E+00
EOC1067_pOvaR1_DNA1	1.85E+01	1.32E+01	1.54E+01	1.49E+01	2.09E+01	1.67E+01	1.27E+01	3.39E+00
EOC1067_pPerR1_DNA1	7.30E+00	4.36E+00	5.40E+00	1.06E+01	1.58E+01	8.35E+00	8.64E+00	4.37E+00
EOC1067_pTubL1_DNA1	8.51E+00	8.30E+00	5.87E+00	1.87E+01	2.06E+01	1.26E+01	1.31E+01	4.06E+00
EOC1091_pOme1_TR_DNA	9.11E+00	8.66E+00	6.18E+00	2.36E+01	3.87E+01	1.66E+01	2.09E+01	3.55E+00
EOC1091_pOvaR1_TR_DNA	6.23E+00	1.10E+01	2.82E+00	1.40E+01	2.44E+01	1.45E+01	2.01E+01	4.74E+00
EOC124_pOvaL1_TR_DNA1	2.66E+01	2.92E+01	1.37E+01	9.23E+00	1.70E+01	1.24E+01	1.73E+01	1.84E+00
EOC124_pOvaR1_TR	2.78E+01	2.52E+01	1.24E+01	1.10E+01	1.66E+01	8.49E+00	2.37E+01	2.89E+00
EOC133_pAsc1_DNA1	3.10E+01	2.55E+01	1.23E+01	1.35E+01	1.57E+01	1.04E+01	2.25E+01	3.01E+00
EOC133_pOme1_TR_DNA	2.49E+01	2.16E+01	9.65E+00	1.48E+01	1.56E+01	1.15E+01	1.81E+01	3.33E+00
EOC133_pOvaL1_DNA1	2.87E+01	2.02E+01	1.47E+01	1.15E+01	1.27E+01	9.70E+00	2.29E+01	3.14E+00
EOC148_pAdnL1_DNA1	6.60E+01	9.84E+01	4.58E+01	2.62E+01	3.85E+01	1.69E+01	4.73E+01	1.06E+00
EOC148_pAdnL3_DNA1	5.36E+01	8.10E+01	4.25E+01	2.89E+01	3.67E+01	1.96E+01	3.58E+01	7.78E-01
EOC148_pOvaL4_DNA1	3.81E+01	5.44E+01	2.99E+01	2.28E+01	2.20E+01	1.88E+01	2.81E+01	1.68E+00
EOC148_pOvaL5_DNA1	5.78E+01	8.67E+01	4.55E+01	2.57E+01	2.93E+01	1.92E+01	3.91E+01	7.46E-01
EOC192_iOme1B_DNA2	1.36E+00	7.92E-01	3.07E+00	1.57E+00	2.75E-01	4.01E+00	1.94E+00	3.08E+00
EOC192_iOme3A_DNA1	1.31E+00	6.08E-01	2.61E+00	1.57E+00	6.94E-01	4.17E+00	9.07E-01	3.43E+00
EOC192_iOvaR1A_DNA1	4.35E+00	3.10E+00	5.83E+00	3.63E-01	3.21E+00	3.28E+00	5.52E+00	4.04E+00
EOC192_pAsc1_DNA1	2.16E+00	9.20E-01	5.45E+00	4.71E-01	2.36E+00	5.77E+00	3.13E+00	3.88E+00
EOC192_pOme1A_TR_DNA1	3.75E+00	2.56E+00	6.55E+00	5.56E-01	2.56E+00	3.43E+00	4.62E+00	3.97E+00
EOC192_pOme2B_DNA2	3.55E+00	2.23E+00	5.93E+00	1.74E+00	3.10E+00	4.18E+00	5.06E+00	3.61E+00
EOC192_pOvaR1A_DNA1	3.54E+00	2.99E+00	5.73E+00	9.21E-01	2.07E+00	4.16E+00	4.89E+00	3.96E+00
EOC192_pOvaR1A_DNA3	4.77E+00	2.63E+00	5.56E+00	1.47E+00	1.06E+00	3.12E+00	4.75E+00	3.47E+00
EOC192_pPer1A_DNA2	2.42E+00	5.66E+00	5.82E+00	2.29E-01	8.94E+00	5.01E+00	6.82E+00	4.27E+00
EOC192_pPer2B_DNA1	1.07E+00	4.92E+00	5.68E+00	5.91E+00	7.74E+00	3.80E+00	9.25E+00	4.79E+00
EOC293_pAdnL1_DNA1	1.59E+01	1.08E+01	8.21E+01	1.57E+01	3.99E+00	8.17E+01	1.63E+01	1.20E+00
EOC293_pMes1_DNA2	9.53E-01	7.65E+00	8.17E+01	2.47E+01	1.71E+01	8.35E+01	1.75E+01	6.33E-01
EOC293_pOvaR1_DNA2	1.19E+01	4.63E+00	7.54E+01	1.71E+01	1.92E+00	7.29E+01	1.08E+01	1.29E+00
EOC372_iOme1_DNA1	2.20E+01	3.52E+01	2.05E+01	1.84E+01	1.99E+01	1.42E+01	1.61E+01	2.56E+00
EOC372_iPer1_DNA1	1.25E+01	1.88E+01	7.77E+00	1.77E+01	1.60E+01	1.61E+01	1.16E+01	4.07E+00
EOC372_pPer1_DNA1	1.54E+01	2.28E+01	1.16E+01	1.81E+01	1.85E+01	1.75E+01	1.13E+01	3.17E+00
EOC523_pOme1_DNA2	1.02E+01	1.23E+01	4.01E+00	8.36E+00	1.79E+01	5.69E+00	1.84E+01	4.43E+00
EOC523_pOvaR1_DNA2	7.71E+00	9.93E+00	2.14E+00	9.61E+00	1.33E+01	4.91E+00	1.60E+01	4.01E+00
EOC561_pPer1_DNA1	2.02E+01	1.70E+01	6.18E+01	1.16E+01	1.86E+01	5.93E+01	2.60E+01	2.45E+00
EOC561_pPer1_DNA1_bgiseq	1.96E+01	7.90E+00	5.68E+01	1.03E+01	5.94E+00	5.18E+01	1.81E+01	2.59E+00
EOC63_pOme1_DNA1	2.22E+02	3.24E+02	6.11E+01	7.57E+00	1.67E+02	3.38E+01	1.86E+02	0.00E+00
EOC63_pOvaR1_DNA1	2.84E+01	3.16E+01	1.50E+01	2.02E+01	8.03E+00	1.95E+01	1.46E+01	3.43E+00
EOC667_pMes1_DNA1	4.82E+01	7.48E+01	2.75E+01	5.84E+00	3.56E+01	1.26E+01	4.22E+01	2.43E+00
EOC667_pOme1_DNA2	3.46E+01	5.02E+01	2.50E+01	9.37E+00	1.47E+01	1.06E+01	2.49E+01	2.63E+00
EOC77_iOme1_DNA1	1.37E+00	5.62E+00	6.06E+00	5.75E+00	6.44E+00	4.98E+00	3.84E+00	3.80E+00
EOC77_iOme2_DNA1	2.98E+00	8.14E+00	7.88E+00	9.82E-01	1.33E+01	6.60E+00	1.12E+01	4.52E+00
EOC77_iPer1_DNA2	6.56E+00	7.83E+00	7.61E+00	9.95E-01	7.96E+00	5.47E+00	6.39E+00	4.17E+00
EOC77_pAsc1_DNA1	1.99E+00	4.42E+00	6.66E+00	2.37E+00	5.74E+00	4.68E+00	4.33E+00	4.14E+00
EOC77_pOme1_DNA3	3.46E+00	5.41E+00	7.43E+00	6.23E-01	6.06E+00	3.99E+00	8.11E+00	5.46E+00
EOC779_pOme1_DNA1	1.83E+01	1.25E+01	7.33E+00	9.55E+00	4.76E+00	8.57E+00	1.42E+01	2.91E+00
EOC779_pOvaL1_DNA1	5.63E+01	4.01E+01	2.38E+01	5.68E+00	1.19E+01	1.01E+01	4.37E+01	1.19E+00
EOC779_pPer1_DNA1	4.04E+01	2.74E+01	1.89E+01	8.33E+00	7.17E+00	8.64E+00	3.02E+01	2.20E+00
EOC863_pMes1_DNA1	8.77E-01	2.33E+00	1.01E+00	2.00E+01	2.58E+01	1.44E+01	1.04E+01	3.55E+00
EOC863_pOva1_DNA1	9.47E+00	9.63E+00	4.78E+00	2.65E+01	3.07E+01	1.47E+01	1.82E+01	3.49E+00
EOC879_p2Ome1_DNA1	1.15E+01	8.25E+00	1.03E+01	1.91E+01	2.99E+01	1.45E+01	1.72E+01	3.98E+00
EOC879_p2OvaL1_DNA1	1.56E+00	3.81E+01	3.16E+01	5.20E+01	6.05E+01	1.94E+01	1.37E+01	1.44E+00
EOC879_p2TubL1_DNA1	1.30E+00	3.15E+01	2.68E+01	4.36E+01	4.93E+01	1.93E+01	1.05E+01	1.85E+00
EOC914_iOme1_DNA1	1.51E+01	1.81E+01	9.00E+00	3.35E+01	3.80E+01	2.37E+01	1.82E+01	3.83E+00
EOC914_iOvaL1_DNA1	1.14E+01	2.30E+01	1.10E+01	3.33E+01	3.23E+01	2.13E+01	1.97E+01	4.71E+00
EOC914_iPer1_DNA1	1.20E+01	1.46E+01	8.05E+00	3.01E+01	3.61E+01	2.02E+01	1.56E+01	3.72E+00
EOC984_pOme1_DNA1	8.93E+00	1.15E+01	6.14E+00	7.43E-01	8.72E+00	3.22E+00	8.35E+00	3.73E+00
EOC984_pPer1_DNA1	7.97E+00	1.07E+01	6.22E+00	3.99E-01	8.61E+00	4.11E+00	6.60E+00	3.89E+00
