MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
7.40E+01	1.58E-03	2.31E-03	1.40E-03	1.73E-03	1.24E-03	1.66E-03	1.72E-03	9.22E-04
1.33E+02	5.98E-04	6.98E-04	1.27E-03	1.73E-03	1.34E-03	3.43E-03	7.20E-04	1.10E-03
8.30E+01	5.75E-04	6.32E-04	5.37E-04	5.24E-04	7.67E-04	4.54E-04	8.86E-04	3.49E-04
2.01E+02	1.41E-03	1.58E-03	1.04E-03	1.45E-03	1.15E-03	1.62E-03	1.04E-03	8.75E-04
4.80E+01	2.44E-04	4.50E-04	2.73E-04	3.90E-04	4.09E-04	2.43E-04	1.30E-03	4.07E-04
3.20E+01	6.21E-05	5.83E-04	1.94E-04	2.90E-04	5.19E-04	3.33E-04	1.74E-03	7.51E-04
1.10E+01	1.73E-03	2.24E-03	1.22E-04	4.50E-04	2.94E-05	5.66E-05	1.40E-03	1.55E-04
7.00E+00	7.77E-04	1.12E-03	6.62E-05	1.77E-04	1.49E-04	3.72E-05	5.80E-04	1.23E-04
4.00E+00	3.04E-04	4.53E-04	1.33E-04	2.75E-04	2.64E-04	9.34E-05	2.10E-04	1.93E-05
1.00E+01	1.20E-04	2.56E-04	2.44E-04	3.19E-04	3.24E-04	1.19E-04	2.14E-04	1.60E-04
4.00E+00	3.29E-05	5.38E-05	5.67E-05	3.00E-05	5.62E-05	6.18E-05	7.91E-05	5.27E-05
3.00E+00	2.99E-05	8.83E-05	6.27E-05	7.81E-05	3.59E-05	1.33E-05	1.06E-04	8.00E-05
7.00E+00	1.74E-04	1.94E-03	1.04E-03	1.00E-03	3.29E-04	5.24E-06	4.02E-04	0.00E+00
4.00E+00	2.73E-06	4.57E-04	1.73E-03	4.45E-04	4.09E-04	1.22E-03	3.33E-05	5.81E-04
4.00E+00	6.59E-05	9.77E-05	7.03E-04	2.16E-04	0.00E+00	7.46E-04	5.61E-05	2.58E-05
2.00E+00	2.36E-05	2.62E-05	2.04E-05	2.35E-05	2.74E-05	1.71E-05	2.77E-05	5.12E-06
0.00E+00	2.70E-05	3.40E-05	3.17E-05	1.75E-05	3.50E-05	1.13E-05	3.99E-05	1.68E-05
0.00E+00	5.62E-05	5.54E-05	2.50E-05	3.02E-05	3.22E-06	5.83E-06	5.31E-05	3.17E-05
1.00E+01	8.56E-05	9.31E-05	4.82E-05	9.80E-05	1.52E-04	7.67E-05	8.61E-05	7.31E-05
3.40E+01	4.84E-05	1.55E-04	6.49E-05	4.17E-05	1.95E-04	7.11E-05	1.93E-04	8.07E-05
1.13E+00	2.59E-05	1.57E-05	2.09E-05	2.38E-05	2.04E-05	2.14E-05	1.92E-05	6.35E-05
1.70E+00	2.20E-05	1.66E-05	2.07E-05	2.67E-05	2.86E-05	2.69E-05	4.62E-05	7.01E-05
0.00E+00	7.59E-05	6.70E-05	4.62E-05	1.30E-05	1.90E-05	2.31E-05	2.69E-05	5.86E-06
1.39E+02	2.19E-03	2.50E-03	1.07E-03	1.98E-03	1.29E-03	8.56E-04	2.08E-03	5.56E-04
2.10E+02	8.32E-04	2.25E-03	1.44E-03	1.86E-03	1.39E-03	1.17E-03	1.90E-03	9.06E-04
3.43E+02	2.06E-03	1.81E-03	1.58E-03	1.55E-03	2.01E-03	1.35E-03	1.54E-03	1.12E-03
2.90E+01	3.75E-05	5.19E-05	4.18E-05	8.83E-05	1.13E-04	6.07E-05	9.65E-05	8.05E-04
7.00E+01	5.87E-04	1.33E-04	3.90E-04	3.95E-04	6.25E-04	3.83E-04	5.50E-04	1.21E-03
2.80E+01	6.63E-04	4.19E-04	4.28E-04	3.21E-04	4.47E-04	3.43E-04	2.63E-04	2.03E-04
3.00E+00	7.23E-05	2.04E-04	1.89E-04	1.06E-04	1.27E-04	2.29E-04	1.07E-04	0.00E+00
3.00E+00	4.09E-06	4.49E-05	3.51E-06	1.40E-05	5.34E-05	2.98E-06	7.68E-05	1.56E-09
4.07E+02	1.51E-03	2.55E-03	1.47E-03	1.43E-03	2.38E-03	2.06E-03	3.45E-03	1.34E-03
3.40E+01	2.68E-04	5.47E-04	2.71E-04	2.39E-04	2.73E-04	2.77E-04	3.69E-04	2.17E-04
4.00E+00	2.02E-04	2.02E-04	2.20E-04	0.00E+00	8.60E-05	2.02E-04	1.76E-04	0.00E+00
9.00E+00	4.73E-05	3.70E-05	5.57E-05	5.36E-05	4.07E-05	5.17E-05	1.01E-04	2.24E-04
1.30E+01	5.83E-05	2.55E-06	2.30E-05	3.96E-05	8.40E-05	3.51E-05	1.39E-05	3.62E-04
1.80E+01	2.69E-04	1.11E-04	1.84E-04	1.71E-04	2.08E-04	1.64E-04	2.31E-04	2.60E-04
6.00E+00	1.06E-04	1.42E-04	1.46E-04	1.08E-04	1.23E-04	1.96E-04	5.84E-05	0.00E+00
1.72E+02	1.24E-03	2.76E-03	6.91E-04	2.95E-04	3.37E-03	1.43E-03	3.77E-03	8.58E-04
3.30E+02	3.79E-03	3.92E-03	2.32E-03	1.14E-04	3.25E-03	3.27E-03	3.67E-03	1.16E-03
1.06E+02	6.25E-04	2.35E-03	1.11E-03	1.50E-03	3.19E-03	2.77E-03	1.24E-03	0.00E+00
6.30E+01	6.84E-05	8.34E-05	1.48E-05	9.29E-04	1.49E-03	7.12E-04	4.64E-04	1.36E-04
1.70E+01	4.34E-10	9.77E-10	2.39E-09	2.85E-04	3.82E-04	1.13E-04	1.08E-04	2.45E-09
