Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
EOC1003_p2OvaL1_TR_DNA	0	0	167	0	872	473	388	578	278
EOC1003_p2OvaR1_DNA1	0	0	332	0	679	106	216	340	288
EOC1022_pOme1_DNA1	0	32	453	0	0	0	0	0	400
EOC1022_pPer1_DNA1	202	309	397	85	0	0	7	21	338
EOC1067_pOme1_DNA3	410	57	15	0	524	183	120	0	296
EOC1067_pOvaR1_DNA1	489	976	0	25	859	456	289	0	139
EOC1067_pPerR1_DNA1	166	7	123	0	625	143	96	0	342
EOC1067_pTubL1_DNA1	54	41	47	18	1176	77	220	233	301
EOC1091_pOme1_TR_DNA	0	112	901	9	1364	148	341	9	215
EOC1091_pOvaR1_TR_DNA	0	0	0	0	937	334	406	622	339
EOC124_pOvaL1_TR_DNA1	1025	879	171	1265	194	246	537	100	0
EOC124_pOvaR1_TR	1267	330	1013	560	0	59	0	702	117
EOC133_pAsc1_DNA1	1936	0	350	0	284	44	292	513	74
EOC133_pOme1_TR_DNA	1473	0	443	0	245	154	213	533	130
EOC133_pOvaL1_DNA1	1803	0	354	64	327	27	269	212	80
EOC148_pAdnL1_DNA1	487	207	1756	2655	260	111	1239	488	0
EOC148_pAdnL3_DNA1	552	225	1543	2435	386	224	1286	118	0
EOC148_pOvaL4_DNA1	603	137	1689	1818	0	411	357	200	59
EOC148_pOvaL5_DNA1	582	226	1462	2659	196	350	858	166	0
EOC192_iOme1B_DNA2	0	0	0	13	0	204	41	11	410
EOC192_iOme3A_DNA1	0	0	0	0	0	281	9	8	403
EOC192_iOvaR1A_DNA1	46	257	0	0	0	27	164	50	415
EOC192_pAsc1_DNA1	40	67	0	0	0	261	28	66	419
EOC192_pOme1A_TR_DNA1	0	304	0	3	0	18	152	17	424
EOC192_pOme2B_DNA2	42	289	7	0	34	9	112	46	425
EOC192_pOvaR1A_DNA1	25	253	0	10	0	32	141	28	418
EOC192_pOvaR1A_DNA3	48	283	0	23	0	13	148	0	402
EOC192_pPer1A_DNA2	0	238	0	0	0	28	163	245	445
EOC192_pPer2B_DNA1	0	187	505	0	170	0	115	52	361
EOC293_pAdnL1_DNA1	167	3215	99	166	0	1844	507	0	0
EOC293_pMes1_DNA2	0	1871	262	0	190	3282	187	532	0
EOC293_pOvaR1_DNA2	391	2054	0	28	7	2686	100	0	0
EOC372_iOme1_DNA1	611	21	924	1309	400	319	151	116	134
EOC372_iPer1_DNA1	171	0	970	366	187	515	14	63	244
EOC372_pPer1_DNA1	244	0	912	598	254	762	40	188	152
EOC523_pOme1_DNA2	43	0	303	0	0	47	1440	121	284
EOC523_pOvaR1_DNA2	0	0	423	0	0	0	1212	116	281
EOC561_pPer1_DNA1	279	2672	237	0	55	583	804	220	242
EOC561_pPer1_DNA1_bgiseq	479	1875	126	0	0	1337	404	0	173
EOC63_pOme1_DNA1	3475	157	0	4125	0	0	1337	4253	0
EOC63_pOvaR1_DNA1	455	179	2208	485	0	69	0	244	181
EOC667_pMes1_DNA1	1097	579	0	2006	0	224	288	617	90
EOC667_pOme1_DNA2	976	617	0	2000	47	245	340	0	65
EOC77_iOme1_DNA1	0	232	442	0	34	100	17	151	368
EOC77_iOme2_DNA1	0	283	7	0	0	56	162	333	400
EOC77_iPer1_DNA2	105	439	0	49	28	79	246	77	373
EOC77_pAsc1_DNA1	0	318	30	40	48	51	109	89	408
EOC77_pOme1_DNA3	0	501	0	3	87	13	252	9	414
EOC779_pOme1_DNA1	1042	0	489	0	0	111	54	111	229
EOC779_pOvaL1_DNA1	3333	0	33	326	0	0	309	306	0
EOC779_pPer1_DNA1	2469	0	409	125	0	20	108	211	0
EOC863_pMes1_DNA1	0	0	423	0	826	182	58	241	221
EOC863_pOva1_DNA1	0	0	92	49	1701	0	595	141	167
EOC879_p2Ome1_DNA1	14	472	206	33	1223	397	467	0	177
EOC879_p2OvaL1_DNA1	0	1678	1839	233	1990	0	0	303	0
EOC879_p2TubL1_DNA1	0	1475	1857	65	1675	0	0	380	0
EOC914_iOme1_DNA1	240	401	96	115	1724	269	262	400	101
EOC914_iOvaL1_DNA1	97	432	187	53	1520	149	124	750	187
EOC914_iPer1_DNA1	74	363	185	81	1570	390	218	393	119
EOC984_pOme1_DNA1	266	128	0	178	0	0	40	202	343
EOC984_pPer1_DNA1	263	141	0	182	0	10	51	162	347
