Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
EOC1003_p2OvaL1_TR_DNA	5.27E+00	7.46E+00	1.51E+01	4.36E+00	2.25E+01	2.61E+01	1.44E+01	1.73E+01	4.83E+00
EOC1003_p2OvaR1_DNA1	4.18E+00	5.08E-01	1.21E+01	3.36E+00	1.71E+01	1.66E+01	8.32E+00	1.28E+01	3.54E+00
EOC1022_pOme1_DNA1	1.41E+00	4.31E+00	5.48E+00	2.26E+00	3.50E+00	5.37E+00	0.00E+00	2.36E+00	3.95E+00
EOC1022_pPer1_DNA1	6.32E+00	8.07E+00	5.94E+00	5.41E+00	2.85E+00	8.22E+00	2.85E+00	4.16E+00	3.95E+00
EOC1067_pOme1_DNA3	1.86E+01	8.36E+00	8.17E+00	7.14E+00	1.18E+01	3.07E+00	7.84E+00	1.36E+01	4.21E+00
EOC1067_pOvaR1_DNA1	2.93E+01	2.07E+01	1.06E+01	1.65E+01	1.72E+01	1.22E+01	1.82E+01	1.60E+01	3.45E+00
EOC1067_pPerR1_DNA1	1.04E+01	5.69E+00	8.92E+00	4.74E+00	1.05E+01	5.17E+00	6.10E+00	9.25E+00	4.39E+00
EOC1067_pTubL1_DNA1	8.57E+00	7.58E+00	1.34E+01	7.03E+00	1.84E+01	1.71E+01	9.87E+00	9.90E+00	4.26E+00
EOC1091_pOme1_TR_DNA	1.07E+01	1.02E+01	2.00E+01	7.31E+00	2.55E+01	9.48E+00	8.72E+00	1.75E+01	3.93E+00
EOC1091_pOvaR1_TR_DNA	3.42E+00	1.32E+01	9.57E+00	5.41E+00	2.21E+01	2.96E+01	1.37E+01	1.94E+01	6.54E+00
EOC124_pOvaL1_TR_DNA1	2.15E+01	1.41E+01	8.20E+00	2.27E+01	1.53E+01	2.93E+01	1.31E+01	2.04E+01	2.18E+00
EOC124_pOvaR1_TR	4.48E+01	1.22E+01	1.45E+01	1.62E+01	9.54E+00	3.44E+01	8.55E+00	1.55E+01	3.07E+00
EOC133_pAsc1_DNA1	4.44E+01	7.70E+00	1.15E+01	7.51E-01	1.30E+01	4.58E+01	6.71E+00	2.19E+01	2.91E+00
