MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
7.40E+01	4.15E-03	2.05E-03	2.35E-03	2.17E-03	1.14E-03	6.34E-03	1.72E-03	6.39E-04	1.09E-03
1.33E+02	6.68E-04	1.21E-03	1.72E-03	7.07E-04	1.82E-03	2.37E-03	3.43E-03	6.20E-04	1.15E-03
8.30E+01	8.34E-04	6.59E-04	5.18E-04	5.24E-04	7.02E-04	4.73E-04	3.17E-04	9.11E-04	3.99E-04
2.01E+02	1.91E-03	1.07E-03	1.49E-03	1.38E-03	1.31E-03	2.40E-03	1.67E-03	1.94E-03	1.04E-03
4.80E+01	3.73E-04	1.14E-03	3.99E-04	1.14E-04	4.25E-04	4.78E-04	2.17E-04	1.66E-03	4.59E-04
3.20E+01	7.88E-05	1.49E-03	2.53E-04	2.53E-05	4.83E-04	7.02E-04	3.74E-04	2.35E-03	8.00E-04
1.10E+01	3.18E-03	0.00E+00	7.97E-04	1.55E-03	4.54E-05	4.97E-03	6.13E-05	1.20E-04	1.64E-04
7.00E+00	1.50E-03	6.43E-05	2.65E-04	6.07E-04	1.77E-04	2.30E-03	3.92E-05	5.97E-05	1.21E-04
4.00E+00	6.05E-04	1.05E-04	2.67E-04	2.65E-04	3.47E-04	8.30E-04	3.73E-05	1.16E-04	1.92E-05
1.00E+01	1.22E-04	2.65E-04	2.83E-04	2.69E-04	4.42E-04	6.49E-04	1.01E-05	2.12E-04	2.18E-04
4.00E+00	5.58E-05	6.75E-05	3.33E-05	6.37E-05	6.96E-05	1.14E-04	6.77E-05	9.35E-05	5.28E-05
3.00E+00	4.23E-05	7.27E-05	7.34E-05	6.14E-05	2.66E-05	9.11E-05	7.87E-06	1.19E-04	8.33E-05
7.00E+00	1.23E-05	1.86E-04	1.01E-03	1.34E-03	3.02E-04	4.23E-04	2.07E-05	1.73E-05	0.00E+00
4.00E+00	0.00E+00	1.89E-03	5.36E-04	5.09E-04	7.88E-05	2.09E-03	1.10E-03	4.79E-05	6.82E-04
4.00E+00	7.88E-05	6.40E-04	1.85E-04	1.37E-04	5.42E-05	9.41E-05	8.22E-04	6.57E-05	4.57E-05
2.00E+00	3.32E-05	1.95E-05	2.37E-05	2.82E-05	2.96E-05	5.02E-05	2.01E-05	2.39E-05	4.73E-06
0.00E+00	3.62E-05	3.87E-05	1.36E-05	3.39E-05	3.67E-05	5.12E-05	2.96E-06	3.82E-05	1.35E-05
0.00E+00	7.11E-05	2.55E-05	3.99E-05	5.62E-05	0.00E+00	1.07E-04	3.75E-06	4.33E-05	2.97E-05
1.00E+01	9.42E-05	1.14E-04	1.03E-04	1.00E-04	1.11E-04	1.03E-04	3.07E-05	1.47E-04	9.95E-05
3.40E+01	6.80E-05	4.30E-05	9.31E-06	1.76E-04	2.38E-04	1.94E-04	4.24E-06	2.50E-04	9.81E-05
1.13E+00	2.89E-05	1.98E-05	2.26E-05	1.85E-05	2.56E-05	3.03E-05	2.49E-05	2.77E-05	6.09E-05
1.70E+00	3.26E-05	2.16E-05	2.91E-05	1.77E-05	2.97E-05	3.09E-05	2.95E-05	4.73E-05	7.58E-05
0.00E+00	1.17E-04	5.26E-05	1.91E-05	4.93E-05	4.87E-05	1.36E-04	3.15E-05	2.71E-05	6.39E-06
1.39E+02	2.39E-03	6.96E-04	2.41E-03	2.48E-03	8.79E-04	4.19E-03	5.76E-04	3.11E-03	2.07E-04
2.10E+02	1.01E-03	1.43E-03	2.14E-03	1.92E-03	2.11E-03	4.19E-03	1.27E-03	1.64E-03	9.03E-04
3.43E+02	2.43E-03	1.47E-03	1.74E-03	1.36E-03	2.34E-03	3.91E-03	1.98E-03	2.61E-03	1.57E-03
2.90E+01	4.25E-05	9.65E-05	1.14E-04	3.54E-05	1.36E-04	6.14E-05	5.34E-05	1.54E-04	1.06E-03
