Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA	0	0	0	288	1071	487	575	334
EOC1003_p2OvaR1_DNA1	0	0	0	417	866	0	321	356
EOC1022_pOme1_DNA1	0	0	0	456	0	0	0	428
EOC1022_pPer1_DNA1	0	258	332	412	0	0	0	356
EOC1067_pOme1_DNA3	0	580	0	0	436	266	0	322
EOC1067_pOvaR1_DNA1	0	755	1023	0	870	584	0	0
EOC1067_pPerR1_DNA1	0	273	0	165	506	189	0	368
EOC1067_pTubL1_DNA1	0	241	0	151	1272	0	148	354
EOC1091_pOme1_TR_DNA	0	0	297	1052	990	250	275	234
EOC1091_pOvaR1_TR_DNA	0	0	0	0	1299	336	597	405
EOC124_pOvaL1_TR_DNA1	1591	1037	1012	0	0	363	414	0
EOC124_pOvaR1_TR	1212	1017	73	1035	162	134	189	226
EOC133_pAsc1_DNA1	0	2030	0	366	525	0	412	159
EOC133_pOme1_TR_DNA	0	1526	0	478	585	0	369	232
EOC133_pOvaL1_DNA1	0	2024	0	349	410	0	213	139
EOC148_pAdnL1_DNA1	3646	660	0	1811	0	0	1085	0
EOC148_pAdnL3_DNA1	2530	832	686	1635	0	0	1085	0
EOC148_pOvaL4_DNA1	2158	945	0	1666	0	504	0	0
EOC148_pOvaL5_DNA1	3260	955	0	1401	0	433	449	0
EOC192_iOme1B_DNA2	0	0	0	0	0	233	0	445
EOC192_iOme3A_DNA1	0	0	0	0	0	279	0	421
EOC192_iOvaR1A_DNA1	0	0	298	0	0	0	206	455
EOC192_pAsc1_DNA1	0	0	88	0	0	279	59	454
EOC192_pOme1A_TR_DNA1	0	0	313	0	0	0	155	449
EOC192_pOme2B_DNA2	0	0	333	0	0	0	161	470
EOC192_pOvaR1A_DNA1	0	0	289	0	0	0	164	454
EOC192_pOvaR1A_DNA3	0	0	336	0	0	0	155	426
EOC192_pPer1A_DNA2	0	0	184	0	181	0	266	487
EOC192_pPer2B_DNA1	0	0	235	579	0	0	176	399
EOC293_pAdnL1_DNA1	0	0	3468	0	0	1984	545	0
EOC293_pMes1_DNA2	0	0	1714	311	551	3440	307	0
EOC293_pOvaR1_DNA2	0	0	2390	0	0	2875	0	0
EOC372_iOme1_DNA1	1439	665	176	955	183	386	27	154
EOC372_iPer1_DNA1	651	0	0	987	0	604	0	287
EOC372_pPer1_DNA1	1090	0	0	952	0	903	0	204
EOC523_pOme1_DNA2	0	324	0	281	0	0	1369	264
EOC523_pOvaR1_DNA2	0	0	0	405	0	0	1309	318
EOC561_pPer1_DNA1	0	0	2815	303	0	615	1070	288
EOC561_pPer1_DNA1_bgiseq	0	508	1991	0	0	1558	336	0
EOC63_pOme1_DNA1	9748	0	0	0	0	0	3599	0
EOC63_pOvaR1_DNA1	1296	0	0	2208	0	0	0	316
EOC667_pMes1_DNA1	2596	946	674	0	0	320	364	0
EOC667_pOme1_DNA2	2018	1301	971	0	0	0	0	0
EOC77_iOme1_DNA1	0	0	189	456	204	102	0	393
EOC77_iOme2_DNA1	0	0	198	0	290	0	304	449
EOC77_iPer1_DNA2	0	0	557	0	0	88	339	411
EOC77_pAsc1_DNA1	0	0	330	0	168	0	145	449
EOC77_pOme1_DNA3	0	0	552	0	0	0	277	450
EOC779_pOme1_DNA1	0	1136	0	476	0	168	0	255
EOC779_pOvaL1_DNA1	0	3994	0	0	0	0	312	0
EOC779_pPer1_DNA1	0	2797	0	389	0	155	0	0
EOC863_pMes1_DNA1	0	0	0	507	961	224	0	259
EOC863_pOva1_DNA1	0	312	0	229	1603	0	414	187
EOC879_p2Ome1_DNA1	0	0	696	333	873	486	403	197
EOC879_p2OvaL1_DNA1	0	0	1791	2069	2182	0	0	0
EOC879_p2TubL1_DNA1	0	0	1437	2047	1967	0	0	0
EOC914_iOme1_DNA1	0	711	305	225	2066	300	0	0
EOC914_iOvaL1_DNA1	183	147	257	343	1942	109	259	259
EOC914_iPer1_DNA1	0	486	258	311	1896	441	0	0
EOC984_pOme1_DNA1	485	162	0	0	0	0	99	410
EOC984_pPer1_DNA1	464	201	0	0	0	0	80	410
