Samples	0	1	2	3	4	5	6	7
EOC1003_p2OvaL1_TR_DNA	0	0	0	0	1429	727	599	0
EOC1003_p2OvaR1_DNA1	0	0	0	417	866	0	321	356
EOC1022_pOme1_DNA1	0	0	0	456	0	0	0	428
EOC1022_pPer1_DNA1	0	258	332	412	0	0	0	356
EOC1067_pOme1_DNA3	0	611	0	0	616	0	0	377
EOC1067_pOvaR1_DNA1	0	887	1022	0	1323	0	0	0
EOC1067_pPerR1_DNA1	0	306	0	0	781	0	0	414
EOC1067_pTubL1_DNA1	0	341	0	0	1493	0	0	332
EOC1091_pOme1_TR_DNA	0	529	0	1023	1546	0	0	0
EOC1091_pOvaR1_TR_DNA	0	0	0	0	1540	0	605	492
EOC124_pOvaL1_TR_DNA1	4417	0	0	0	0	0	0	0
EOC124_pOvaR1_TR	2992	0	0	1055	0	0	0	0
EOC133_pAsc1_DNA1	0	2401	0	0	1091	0	0	0
EOC133_pOme1_TR_DNA	0	1858	0	458	874	0	0	0
EOC133_pOvaL1_DNA1	0	2280	0	0	855	0	0	0
EOC148_pAdnL1_DNA1	4281	0	0	1740	0	0	1181	0
EOC148_pAdnL3_DNA1	4201	0	0	1497	0	0	1070	0
EOC148_pOvaL4_DNA1	3563	0	0	1710	0	0	0	0
EOC148_pOvaL5_DNA1	5059	0	0	1439	0	0	0	0
EOC192_iOme1B_DNA2	0	0	0	0	0	233	0	445
EOC192_iOme3A_DNA1	0	0	0	0	0	279	0	421
EOC192_iOvaR1A_DNA1	0	0	298	0	0	0	206	455
EOC192_pAsc1_DNA1	0	0	0	0	0	379	0	501
EOC192_pOme1A_TR_DNA1	0	0	313	0	0	0	155	449
EOC192_pOme2B_DNA2	0	0	333	0	0	0	161	470
EOC192_pOvaR1A_DNA1	0	0	289	0	0	0	164	454
EOC192_pOvaR1A_DNA3	0	0	336	0	0	0	155	426
EOC192_pPer1A_DNA2	0	0	257	0	0	0	342	519
EOC192_pPer2B_DNA1	0	0	340	634	0	0	0	415
EOC293_pAdnL1_DNA1	0	0	3771	0	0	2226	0	0
EOC293_pMes1_DNA2	0	0	2161	0	0	4162	0	0
EOC293_pOvaR1_DNA2	0	0	2390	0	0	2875	0	0
EOC372_iOme1_DNA1	2498	0	0	899	0	587	0	0
EOC372_iPer1_DNA1	747	0	0	1013	0	769	0	0
EOC372_pPer1_DNA1	1163	0	0	964	0	1022	0	0
EOC523_pOme1_DNA2	0	0	0	0	0	0	1789	449
EOC523_pOvaR1_DNA2	0	0	0	405	0	0	1309	318
EOC561_pPer1_DNA1	0	0	3046	0	0	897	1148	0
EOC561_pPer1_DNA1_bgiseq	0	0	2607	0	0	1786	0	0
EOC63_pOme1_DNA1	9748	0	0	0	0	0	3599	0
EOC63_pOvaR1_DNA1	1520	0	0	2300	0	0	0	0
EOC667_pMes1_DNA1	4900	0	0	0	0	0	0	0
EOC667_pOme1_DNA2	2833	1457	0	0	0	0	0	0
EOC77_iOme1_DNA1	0	0	0	443	430	0	0	471
EOC77_iOme2_DNA1	0	0	0	0	403	0	337	501
EOC77_iPer1_DNA2	0	0	588	0	0	0	366	441
EOC77_pAsc1_DNA1	0	0	401	0	0	0	213	478
EOC77_pOme1_DNA3	0	0	552	0	0	0	277	450
EOC779_pOme1_DNA1	0	1195	0	528	0	0	0	312
EOC779_pOvaL1_DNA1	0	4306	0	0	0	0	0	0
EOC779_pPer1_DNA1	0	2893	0	448	0	0	0	0
EOC863_pMes1_DNA1	0	0	0	512	1122	0	0	317
EOC863_pOva1_DNA1	0	638	0	0	2107	0	0	0
EOC879_p2Ome1_DNA1	0	0	978	0	2010	0	0	0
EOC879_p2OvaL1_DNA1	0	0	1791	2069	2182	0	0	0
EOC879_p2TubL1_DNA1	0	0	1437	2047	1967	0	0	0
EOC914_iOme1_DNA1	0	996	0	0	2611	0	0	0
EOC914_iOvaL1_DNA1	0	733	0	0	2765	0	0	0
EOC914_iPer1_DNA1	0	777	0	0	2615	0	0	0
EOC984_pOme1_DNA1	728	0	0	0	0	0	0	428
EOC984_pPer1_DNA1	723	0	0	0	0	0	0	432
