"EOC1003_p2Ome1_TR_DNA"	"EOC1003_p2OvaL1_TR_DNA"	"EOC1003_p2OvaR1_DNA1"	"EOC1022_pOme1_DNA1"	"EOC1022_pPer1_DNA1"	"EOC1067_pOme1_DNA3"	"EOC1067_pOvaR1_DNA1"	"EOC1067_pPerR1_DNA1"	"EOC1067_pTubL1_DNA1"	"EOC1091_pOme1_TR_DNA"	"EOC1091_pOvaR1_TR_DNA"	"EOC124_pOvaL1_TR_DNA1"	"EOC124_pOvaR1_TR"	"EOC133_pAsc1_DNA1"	"EOC133_pOme1_TR_DNA"	"EOC133_pOvaL1_DNA1"	"EOC148_pAdnL1_DNA1"	"EOC148_pAdnL3_DNA1"	"EOC148_pOvaL4_DNA1"	"EOC148_pOvaL5_DNA1"	"EOC192_iOme1B_DNA2"	"EOC192_iOme3A_DNA1"	"EOC192_iOvaR1A_DNA1"	"EOC192_pAsc1_DNA1"	"EOC192_pOme1A_TR_DNA1"	"EOC192_pOme2B_DNA2"	"EOC192_pOvaR1A_DNA1"	"EOC192_pOvaR1A_DNA3"	"EOC192_pPer1A_DNA2"	"EOC192_pPer2B_DNA1"	"EOC293_pAdnL1_DNA1"	"EOC293_pMes1_DNA2"	"EOC293_pOvaR1_DNA2"	"EOC372_iOme1_DNA1"	"EOC372_iPer1_DNA1"	"EOC372_pPer1_DNA1"	"EOC523_pOme1_DNA2"	"EOC523_pOvaR1_DNA2"	"EOC561_pPer1_DNA1"	"EOC561_pPer1_DNA1_bgiseq"	"EOC63_pOme1_DNA1"	"EOC63_pOvaR1_DNA1"	"EOC667_pMes1_DNA1"	"EOC667_pOme1_DNA2"	"EOC77_iOme1_DNA1"	"EOC77_iOme2_DNA1"	"EOC77_iPer1_DNA2"	"EOC77_pAsc1_DNA1"	"EOC77_pOme1_DNA3"	"EOC779_pOme1_DNA1"	"EOC779_pOvaL1_DNA1"	"EOC779_pPer1_DNA1"	"EOC863_pMes1_DNA1"	"EOC863_pOva1_DNA1"	"EOC879_p2Ome1_DNA1"	"EOC879_p2OvaL1_DNA1"	"EOC879_p2TubL1_DNA1"	"EOC914_iOme1_DNA1"	"EOC914_iOvaL1_DNA1"	"EOC914_iPer1_DNA1"	"EOC984_pOme1_DNA1"	"EOC984_pPer1_DNA1"
"simple"	74	76	56	50	100	67	203	57	78	105	66	402	369	282	235	250	551	498	398	512	18	15	51	29	50	56	48	52	55	66	439	324	296	309	142	182	50	37	384	279	1314	317	479	420	74	71	83	62	67	153	438	315	36	79	123	449	377	193	197	166	94	89
"complex"	133	147	85	12	27	57	121	54	64	104	111	88	73	59	75	54	136	141	174	159	52	70	16	70	13	12	16	11	21	25	350	658	508	104	145	192	46	34	98	230	158	135	61	53	56	26	30	24	20	64	51	50	99	63	127	129	139	147	125	158	18	25
"interchr"	83	72	32	19	20	48	83	46	77	86	63	43	45	69	60	62	160	150	121	143	3	6	16	6	11	14	11	11	13	18	53	52	40	98	47	54	24	22	91	63	150	57	88	81	21	18	26	13	12	34	54	49	43	81	87	125	111	93	83	80	4	7
"intrachr"	201	216	188	67	121	123	279	109	171	270	223	484	414	363	314	329	856	783	589	745	36	30	84	55	80	78	77	81	102	122	623	511	422	362	185	240	264	241	574	415	1518	348	518	457	109	111	136	101	131	183	502	362	147	251	243	596	541	328	321	299	108	110
"compact"	48	49	5	13	13	12	13	13	20	43	52	49	21	30	25	27	47	86	23	36	3	5	12	5	12	12	12	12	14	45	29	22	11	28	27	20	24	11	58	40	81	2	7	7	2	0	5	9	25	20	26	24	17	16	48	25	18	25	22	20	6	3
"sparse"	32	36	6	10	10	15	8	21	33	62	78	35	24	16	20	9	22	43	16	21	8	5	15	9	18	18	15	15	33	36	32	39	23	35	37	31	43	42	61	39	36	2	5	4	1	0	12	17	46	2	4	4	15	34	49	33	11	22	25	24	0	0
"del1"	11	12	10	4	21	8	11	6	6	19	9	108	136	126	109	112	183	166	123	171	1	2	3	1	3	3	3	4	5	6	11	6	7	95	53	67	5	4	6	4	604	113	154	132	7	3	8	6	7	71	229	154	3	7	5	12	17	12	10	12	34	32
"del2"	7	10	7	7	13	6	11	4	7	13	7	67	71	76	54	71	68	58	42	53	3	1	3	3	3	3	3	3	3	3	6	5	2	16	9	9	1	0	6	5	192	45	51	40	2	2	2	2	1	41	123	82	8	23	8	18	13	9	10	6	10	10
"del3"	4	5	5	2	4	3	20	3	5	19	13	29	21	25	33	25	32	34	25	35	0	1	1	1	0	2	0	0	3	3	4	3	5	10	3	7	6	6	6	3	115	9	20	16	1	1	0	1	1	25	42	45	6	14	10	69	42	36	37	33	17	15
"del4"	10	14	8	5	5	18	22	20	24	11	6	28	18	8	8	5	23	22	22	21	0	0	2	0	5	4	2	2	4	3	5	3	3	20	3	7	19	9	13	8	36	2	4	4	10	9	8	9	9	6	10	8	1	3	9	74	56	67	62	48	6	6
