Samples	SCN-A	SCN-B	SCN-C	SCN-D	SCN-E	SCN-F	SCN-G	SCN-H	SCN-I	SCN-J	SCN-K
EOC1003_p2Ome1_TR_DNA	112	266	208	367	50	3	406	534	344	232	156
EOC1003_p2OvaL1_TR_DNA	43	210	227	445	76	38	433	524	350	278	133
EOC1003_p2OvaR1_DNA1	89	146	283	234	22	69	176	246	418	89	189
EOC1022_pOme1_DNA1	0	0	416	0	0	176	0	0	0	0	291
EOC1022_pPer1_DNA1	220	0	372	220	0	259	0	0	0	62	225
EOC1067_pOme1_DNA3	128	195	186	470	13	78	200	11	81	52	191
EOC1067_pOvaR1_DNA1	58	451	237	795	154	782	381	115	191	5	63
EOC1067_pPerR1_DNA1	65	41	173	422	44	36	186	63	198	75	199
EOC1067_pTubL1_DNA1	0	0	266	881	0	0	120	335	296	154	114
EOC1091_pOme1_TR_DNA	0	0	1022	916	0	0	215	211	392	342	0
EOC1091_pOvaR1_TR_DNA	0	0	136	856	0	0	284	641	175	445	99
EOC124_pOvaL1_TR_DNA1	750	765	299	600	874	618	205	0	0	306	0
EOC124_pOvaR1_TR	994	254	845	290	630	272	122	423	52	137	29
EOC133_pAsc1_DNA1	1567	429	283	457	0	0	165	415	175	0	0
EOC133_pOme1_TR_DNA	1271	281	373	417	0	0	220	434	193	0	0
EOC133_pOvaL1_DNA1	1346	462	423	437	0	0	122	246	0	0	99
EOC148_pAdnL1_DNA1	1028	1759	1517	0	1991	0	0	360	546	0	0
EOC148_pAdnL3_DNA1	894	1538	1233	0	1812	0	316	0	418	558	0
EOC148_pOvaL4_DNA1	760	708	1421	47	1176	249	323	76	268	211	35
EOC148_pOvaL5_DNA1	882	1503	1278	0	2024	0	330	0	481	0	0
EOC192_iOme1B_DNA2	0	82	0	0	0	105	206	0	0	0	285
EOC192_iOme3A_DNA1	0	66	0	0	0	80	268	0	0	0	286
EOC192_iOvaR1A_DNA1	0	175	0	0	0	323	97	0	0	76	288
EOC192_pAsc1_DNA1	0	0	0	185	0	121	233	85	0	0	256
EOC192_pOme1A_TR_DNA1	0	98	0	119	0	278	70	0	0	83	268
EOC192_pOme2B_DNA2	90	0	0	218	0	208	59	49	0	90	250
EOC192_pOvaR1A_DNA1	0	151	0	0	0	310	94	0	0	68	284
EOC192_pOvaR1A_DNA3	72	155	0	0	0	291	77	0	0	51	271
EOC192_pPer1A_DNA2	96	0	0	230	0	176	62	184	0	132	238
EOC192_pPer2B_DNA1	0	0	387	125	0	262	0	0	96	263	257
EOC293_pAdnL1_DNA1	0	739	620	659	0	2791	1188	0	0	0	0
EOC293_pMes1_DNA2	0	598	827	0	0	2086	2210	602	0	0	0
EOC293_pOvaR1_DNA2	0	513	546	551	0	1850	1805	0	0	0	0
EOC372_iOme1_DNA1	334	589	835	241	1136	91	299	36	196	148	80
EOC372_iPer1_DNA1	225	116	690	0	415	0	463	0	313	152	155
EOC372_pPer1_DNA1	0	353	749	0	832	0	618	0	308	168	120
EOC523_pOme1_DNA2	301	906	170	0	0	0	0	327	0	316	218
EOC523_pOvaR1_DNA2	237	720	273	0	0	0	0	309	0	278	215
EOC561_pPer1_DNA1	433	428	310	710	0	2074	402	397	0	337	0
EOC561_pPer1_DNA1_bgiseq	0	758	407	0	0	2145	1083	0	0	0	0
EOC63_pOme1_DNA1	3179	3514	0	0	3911	0	0	2743	0	0	0
EOC63_pOvaR1_DNA1	807	0	1701	0	601	0	192	0	519	0	0
EOC667_pMes1_DNA1	625	1036	0	521	1671	501	161	385	0	0	0
EOC667_pOme1_DNA2	556	990	0	633	1496	447	168	0	0	0	0
EOC77_iOme1_DNA1	8	55	419	56	38	269	113	112	37	13	223
EOC77_iOme2_DNA1	0	210	0	0	0	425	84	278	0	0	244
EOC77_iPer1_DNA2	118	217	0	214	0	394	85	139	0	0	228
EOC77_pAsc1_DNA1	0	0	54	260	0	294	74	84	0	92	234
EOC77_pOme1_DNA3	0	0	0	383	0	349	69	0	0	249	228
EOC779_pOme1_DNA1	849	259	434	0	0	0	213	82	0	0	198
EOC779_pOvaL1_DNA1	2697	750	0	508	0	0	169	182	0	0	0
EOC779_pPer1_DNA1	1816	440	374	379	0	0	133	114	0	0	86
EOC863_pMes1_DNA1	16	140	259	85	37	62	320	98	630	100	203
EOC863_pOva1_DNA1	0	383	291	909	0	0	0	285	606	161	109
EOC879_p2Ome1_DNA1	0	233	384	749	0	422	376	187	361	276	0
EOC879_p2OvaL1_DNA1	0	0	2005	1053	0	1844	0	0	1141	0	0
EOC879_p2TubL1_DNA1	0	0	1962	884	0	1498	0	312	795	0	0
EOC914_iOme1_DNA1	0	0	438	1281	0	456	249	471	499	213	0
EOC914_iOvaL1_DNA1	0	0	434	1041	244	329	173	646	463	167	0
EOC914_iPer1_DNA1	0	0	461	1079	0	382	335	426	529	179	0
EOC984_pOme1_DNA1	323	0	0	373	0	102	0	165	0	0	193
EOC984_pPer1_DNA1	319	0	0	387	0	102	0	150	0	0	196
