Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
EOC1003_p2OvaL1_TR_DNA	193	0	661	243	0	376	0	695	207	381
EOC1003_p2OvaR1_DNA1	161	0	714	297	0	110	0	363	316	0
EOC1022_pOme1_DNA1	0	68	0	396	0	0	46	0	375	0
EOC1022_pPer1_DNA1	81	312	0	329	104	4	133	0	317	79
EOC1067_pOme1_DNA3	271	0	285	72	188	217	9	0	290	273
EOC1067_pOvaR1_DNA1	513	844	572	0	253	565	0	0	174	312
EOC1067_pPerR1_DNA1	97	0	466	136	13	146	50	42	290	262
EOC1067_pTubL1_DNA1	147	0	947	67	54	64	0	303	236	349
EOC1091_pOme1_TR_DNA	113	7	1157	843	76	105	0	128	117	553
EOC1091_pOvaR1_TR_DNA	156	0	616	62	0	194	0	780	176	654
EOC124_pOvaL1_TR_DNA1	1133	845	192	84	1053	372	602	0	25	111
EOC124_pOvaR1_TR	439	395	0	847	556	138	1018	382	80	193
EOC133_pAsc1_DNA1	979	0	265	264	0	167	1327	197	117	177
EOC133_pOme1_TR_DNA	686	0	200	379	0	215	1058	292	128	233
EOC133_pOvaL1_DNA1	937	0	262	257	88	175	1146	0	146	125
EOC148_pAdnL1_DNA1	1577	280	631	1524	2130	77	525	459	0	0
EOC148_pAdnL3_DNA1	1614	238	715	1335	1925	222	510	150	0	60
EOC148_pOvaL4_DNA1	711	266	87	1501	1626	442	431	114	75	21
EOC148_pOvaL5_DNA1	1332	295	491	1255	2156	371	483	116	0	0
EOC192_iOme1B_DNA2	31	0	0	10	0	212	0	36	390	0
EOC192_iOme3A_DNA1	0	0	0	0	0	285	0	35	381	0
EOC192_iOvaR1A_DNA1	152	201	0	0	0	25	26	66	364	125
EOC192_pAsc1_DNA1	32	49	0	0	0	268	26	82	389	35
EOC192_pOme1A_TR_DNA1	126	237	0	0	0	18	0	36	367	134
EOC192_pOme2B_DNA2	101	241	0	13	0	8	18	54	362	167
EOC192_pOvaR1A_DNA1	129	203	0	0	3	34	16	43	369	110
EOC192_pOvaR1A_DNA3	155	231	0	0	18	23	15	6	357	112
EOC192_pPer1A_DNA2	92	167	0	0	0	0	37	255	351	217
EOC192_pPer2B_DNA1	7	227	139	466	0	0	0	61	298	192
EOC293_pAdnL1_DNA1	651	2829	0	81	184	1901	0	0	4	348
EOC293_pMes1_DNA2	76	1907	62	397	6	3277	0	521	0	78
EOC293_pOvaR1_DNA2	298	1754	0	48	179	2682	0	0	30	275
EOC372_iOme1_DNA1	438	5	185	864	1323	300	265	107	67	431
EOC372_iPer1_DNA1	0	0	158	899	347	469	186	61	177	233
EOC372_pPer1_DNA1	66	0	179	865	610	717	196	194	107	216
EOC523_pOme1_DNA2	1189	0	6	372	0	0	0	375	296	0
EOC523_pOvaR1_DNA2	953	0	0	470	0	0	0	332	277	0
EOC561_pPer1_DNA1	745	2319	0	239	0	493	127	162	69	938
EOC561_pPer1_DNA1_bgiseq	500	1563	0	153	0	1226	131	0	89	732
EOC63_pOme1_DNA1	3219	829	0	0	2953	0	3135	3211	0	0
EOC63_pOvaR1_DNA1	0	213	286	1848	315	137	903	13	106	0
EOC667_pMes1_DNA1	1075	542	0	0	1823	264	566	379	103	149
EOC667_pOme1_DNA2	1082	463	0	0	1882	284	291	0	116	172
EOC77_iOme1_DNA1	0	280	42	400	30	116	0	121	355	0
EOC77_iOme2_DNA1	138	303	0	14	0	47	19	321	372	27
EOC77_iPer1_DNA2	269	383	0	0	71	89	18	91	335	140
EOC77_pAsc1_DNA1	92	280	18	32	43	55	0	96	356	121
EOC77_pOme1_DNA3	185	389	23	0	0	1	0	56	314	311
EOC779_pOme1_DNA1	420	0	0	396	0	203	733	0	253	31
EOC779_pOvaL1_DNA1	1679	0	0	0	218	187	2176	0	47	0
EOC779_pPer1_DNA1	1059	0	0	213	165	194	1540	0	106	65
EOC863_pMes1_DNA1	0	0	822	378	0	207	0	284	260	0
EOC863_pOva1_DNA1	527	0	1677	48	0	0	0	237	225	31
EOC879_p2Ome1_DNA1	326	331	1036	220	10	370	0	116	104	476
EOC879_p2OvaL1_DNA1	0	1877	2338	1448	340	0	0	40	0	0
EOC879_p2TubL1_DNA1	0	1614	1868	1519	253	48	0	150	0	0
EOC914_iOme1_DNA1	369	376	1692	18	27	353	230	331	146	66
EOC914_iOvaL1_DNA1	127	419	1395	127	89	181	153	663	173	172
EOC914_iPer1_DNA1	221	324	1496	132	49	435	107	370	139	120
EOC984_pOme1_DNA1	196	162	0	0	128	15	194	128	334	0
EOC984_pPer1_DNA1	206	162	0	0	132	51	179	92	334	0
