MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
7.40E+01	1.63E-03	1.77E-03	1.65E-03	2.39E-03	3.05E-03	1.60E-03	6.03E-03	3.43E-03	1.13E-03	3.96E-03
1.33E+02	4.79E-04	5.19E-04	1.64E-03	1.73E-03	7.24E-04	3.65E-03	1.17E-03	4.03E-03	1.31E-03	1.87E-03
8.30E+01	6.88E-04	3.92E-04	7.71E-04	5.53E-04	4.61E-04	3.72E-04	7.72E-04	9.19E-04	4.00E-04	1.74E-03
2.01E+02	2.22E-03	1.64E-03	1.87E-03	2.59E-03	1.94E-03	1.92E-03	4.76E-03	3.76E-03	1.04E-03	4.23E-03
4.80E+01	2.08E-03	1.77E-04	5.29E-04	2.91E-04	1.65E-04	2.36E-04	4.96E-04	1.35E-03	5.45E-04	4.92E-03
3.20E+01	2.93E-03	2.41E-04	6.54E-04	1.42E-04	3.02E-05	3.64E-04	3.11E-05	1.77E-03	9.18E-04	6.76E-03
1.10E+01	6.34E-04	0.00E+00	0.00E+00	6.97E-04	1.76E-03	7.38E-05	3.52E-03	1.29E-03	1.80E-04	8.13E-04
7.00E+00	4.22E-04	7.20E-05	1.77E-04	3.10E-04	7.83E-04	3.79E-05	1.78E-03	5.49E-04	1.41E-04	4.03E-04
4.00E+00	3.09E-04	5.26E-04	3.66E-04	1.64E-04	2.91E-04	3.10E-05	7.83E-04	3.46E-04	3.13E-05	2.02E-04
1.00E+01	1.96E-04	8.32E-04	4.86E-04	1.33E-04	2.01E-04	5.83E-06	1.36E-04	4.97E-04	3.00E-04	4.15E-04
4.00E+00	7.45E-05	7.60E-05	6.52E-05	2.45E-05	7.27E-05	6.80E-05	6.05E-05	1.28E-04	5.64E-05	1.31E-04
3.00E+00	1.65E-04	8.19E-05	4.70E-05	7.39E-05	8.72E-05	9.82E-06	2.88E-05	9.26E-05	9.98E-05	2.04E-04
7.00E+00	8.20E-06	4.63E-04	3.49E-04	5.88E-04	1.09E-03	4.45E-05	0.00E+00	1.99E-04	5.54E-06	2.69E-04
4.00E+00	5.52E-04	1.37E-03	5.26E-04	2.38E-04	9.83E-05	8.81E-04	0.00E+00	1.36E-03	6.78E-04	2.10E-03
4.00E+00	3.03E-04	1.12E-03	0.00E+00	2.37E-04	1.47E-04	9.73E-04	1.06E-04	5.77E-05	6.34E-05	1.29E-03
2.00E+00	3.07E-05	2.74E-05	2.78E-05	2.58E-05	2.76E-05	1.96E-05	5.84E-05	3.93E-05	5.94E-06	2.66E-05
0.00E+00	6.06E-05	3.76E-05	2.98E-05	1.07E-05	3.46E-05	5.48E-06	4.55E-05	3.14E-05	1.33E-05	6.15E-05
0.00E+00	7.57E-05	4.29E-05	6.17E-06	3.46E-05	5.96E-05	1.32E-06	9.56E-05	4.15E-05	2.89E-05	5.70E-05
1.00E+01	7.21E-05	3.69E-05	1.44E-04	1.42E-04	1.63E-04	2.31E-05	2.45E-04	1.19E-04	1.25E-04	3.87E-04
3.40E+01	2.32E-04	1.69E-05	2.70E-04	0.00E+00	2.12E-04	5.52E-06	8.01E-05	2.25E-04	1.19E-04	2.59E-04
1.13E+00	3.35E-05	2.33E-05	2.22E-05	2.34E-05	2.47E-05	2.46E-05	4.23E-05	2.45E-05	7.28E-05	7.37E-05
1.70E+00	4.62E-05	1.99E-05	3.37E-05	3.18E-05	2.05E-05	2.96E-05	4.53E-05	3.84E-05	8.99E-05	9.24E-05
0.00E+00	1.57E-04	4.74E-05	2.24E-05	1.37E-05	5.20E-05	3.63E-05	2.10E-04	2.54E-05	1.28E-06	1.72E-04
1.39E+02	3.15E-03	3.47E-04	1.30E-03	3.01E-03	2.57E-03	7.36E-04	6.05E-03	5.63E-03	1.84E-04	3.29E-03
2.10E+02	1.81E-03	2.32E-03	1.62E-03	1.66E-03	1.65E-03	1.37E-03	1.77E-03	2.80E-03	7.72E-04	4.01E-03
3.43E+02	3.40E-03	2.55E-03	2.61E-03	3.75E-03	2.29E-03	1.73E-03	6.40E-03	3.48E-03	1.40E-03	5.44E-03
2.90E+01	1.95E-04	7.98E-05	1.19E-04	1.17E-04	3.59E-05	6.02E-05	3.52E-05	6.11E-05	1.58E-03	3.98E-04
7.00E+01	8.92E-04	2.54E-04	7.42E-04	5.51E-04	1.99E-04	3.62E-04	1.38E-03	4.71E-04	1.37E-03	2.34E-03
2.80E+01	1.19E-03	4.94E-04	5.81E-04	8.18E-04	6.71E-04	4.31E-04	1.96E-03	2.23E-04	2.49E-04	1.96E-03
3.00E+00	2.11E-04	2.48E-04	1.77E-04	7.93E-05	2.09E-04	2.88E-04	1.57E-04	1.15E-04	0.00E+00	2.63E-04
3.00E+00	5.49E-05	9.27E-06	3.78E-05	2.01E-05	3.98E-05	8.45E-10	1.74E-05	1.06E-04	4.58E-10	2.24E-05
4.07E+02	4.68E-03	2.61E-03	2.72E-03	2.61E-03	1.68E-03	3.63E-03	2.96E-03	6.09E-03	1.96E-03	4.67E-03
3.40E+01	4.22E-04	3.94E-04	3.19E-04	3.48E-04	4.36E-04	3.90E-04	4.95E-04	6.13E-04	2.59E-04	8.28E-04
4.00E+00	5.59E-04	3.14E-04	1.04E-04	0.00E+00	2.18E-04	2.84E-04	4.88E-04	2.46E-04	0.00E+00	5.26E-04
9.00E+00	1.13E-04	5.60E-05	5.23E-05	6.80E-05	4.61E-05	6.79E-05	6.58E-05	4.61E-05	3.80E-04	1.65E-04
1.30E+01	3.32E-05	3.60E-05	9.95E-05	3.68E-05	1.53E-05	2.70E-05	9.13E-05	3.79E-05	6.78E-04	2.44E-04
1.80E+01	4.44E-04	1.05E-04	2.64E-04	2.93E-04	1.91E-04	1.81E-04	7.28E-04	1.59E-04	2.99E-04	1.02E-03
6.00E+00	1.46E-04	2.03E-04	1.34E-04	1.21E-04	1.37E-04	2.43E-04	1.75E-04	5.23E-05	0.00E+00	2.34E-04
1.72E+02	3.06E-03	2.30E-03	1.31E-03	3.90E-04	1.10E-03	2.87E-03	2.37E-03	5.72E-03	1.54E-03	3.25E-03
3.30E+02	6.86E-03	5.03E-03	3.86E-03	0.00E+00	4.74E-03	5.02E-03	9.65E-03	7.93E-03	2.74E-03	9.10E-03
1.06E+02	9.51E-04	1.31E-03	2.29E-03	1.98E-03	1.47E-03	1.88E-03	1.78E-03	5.83E-04	0.00E+00	1.99E-03
6.30E+01	3.16E-04	1.59E-04	1.25E-03	8.03E-04	1.81E-05	3.74E-04	1.79E-04	6.26E-04	1.66E-04	8.44E-04
1.70E+01	4.67E-06	7.66E-05	2.74E-04	1.41E-04	1.40E-09	5.26E-06	1.83E-09	1.73E-04	4.17E-09	2.16E-04
