MutationType	CH43A
7.40E+01	5.93E-05
1.33E+02	4.36E-05
8.30E+01	3.12E-05
2.01E+02	5.99E-05
4.80E+01	2.02E-05
3.20E+01	2.23E-05
1.10E+01	3.00E-05
7.00E+00	2.08E-05
4.00E+00	1.47E-05
1.00E+01	1.49E-05
4.00E+00	7.32E-06
3.00E+00	7.90E-06
7.00E+00	2.37E-05
4.00E+00	2.57E-05
4.00E+00	1.43E-05
2.00E+00	3.48E-06
0.00E+00	4.54E-06
0.00E+00	6.05E-06
1.00E+01	1.02E-05
3.40E+01	1.00E-05
1.13E+00	4.36E-06
1.70E+00	5.28E-06
0.00E+00	7.05E-06
1.39E+02	4.88E-05
2.10E+02	6.19E-05
3.43E+02	7.16E-05
2.90E+01	2.14E-05
7.00E+01	2.93E-05
2.80E+01	2.44E-05
3.00E+00	1.51E-05
3.00E+00	3.82E-06
4.07E+02	7.18E-05
3.40E+01	2.71E-05
4.00E+00	1.55E-05
9.00E+00	1.24E-05
1.30E+01	1.34E-05
1.80E+01	1.74E-05
6.00E+00	1.27E-05
1.72E+02	4.03E-05
3.30E+02	8.49E-05
1.06E+02	4.87E-05
6.30E+01	2.41E-05
1.70E+01	1.10E-05
