Samples	CH43A	CH43B	CH43C
EOC1003_p2OvaL1_TR_DNA	1.70E+01	1.66E+01	2.25E+01
EOC1003_p2OvaR1_DNA1	8.09E+00	1.28E+01	1.72E+01
EOC1022_pOme1_DNA1	2.74E+00	9.79E+00	1.02E+01
EOC1022_pPer1_DNA1	5.92E+00	9.49E+00	9.97E+00
EOC1067_pOme1_DNA3	1.14E+01	1.40E+01	1.58E+01
EOC1067_pOvaR1_DNA1	5.57E+01	1.02E+01	4.94E+01
EOC1067_pPerR1_DNA1	9.29E+00	1.44E+01	1.71E+01
EOC1067_pTubL1_DNA1	1.29E+01	1.60E+01	1.99E+01
EOC1091_pOme1_TR_DNA	1.15E+01	9.35E+00	1.38E+01
EOC1091_pOvaR1_TR_DNA	2.11E+01	1.97E+01	2.68E+01
EOC124_pOvaL1_TR_DNA1	3.61E+01	1.90E+01	3.16E+01
EOC124_pOvaR1_TR	1.24E+01	1.37E+01	9.43E+00
EOC133_pAsc1_DNA1	1.04E+01	8.67E+00	8.96E+00
EOC133_pOme1_TR_DNA	1.01E+01	7.94E+00	9.39E+00
EOC133_pOvaL1_DNA1	9.61E+00	7.33E+00	8.00E+00
EOC148_pAdnL1_DNA1	2.26E+01	2.97E+01	1.01E+01
EOC148_pAdnL3_DNA1	1.97E+01	2.58E+01	1.02E+01
EOC148_pOvaL4_DNA1	1.67E+01	2.11E+01	1.00E+01
EOC148_pOvaL5_DNA1	2.07E+01	2.79E+01	1.43E+01
EOC192_iOme1B_DNA2	1.92E+00	1.11E+01	1.10E+01
EOC192_iOme3A_DNA1	2.22E+00	1.09E+01	1.05E+01
EOC192_iOvaR1A_DNA1	1.12E+00	1.52E+01	1.51E+01
EOC192_pAsc1_DNA1	3.26E+00	1.27E+01	1.23E+01
EOC192_pOme1A_TR_DNA1	1.96E+00	1.51E+01	1.50E+01
EOC192_pOme2B_DNA2	3.38E+00	1.49E+01	1.43E+01
EOC192_pOvaR1A_DNA1	1.93E+00	1.46E+01	1.44E+01
EOC192_pOvaR1A_DNA3	2.32E+00	1.42E+01	1.39E+01
EOC192_pPer1A_DNA2	2.61E+00	1.67E+01	1.67E+01
EOC192_pPer2B_DNA1	5.56E+00	1.18E+01	1.23E+01
EOC293_pAdnL1_DNA1	2.04E+02	1.70E+01	1.99E+02
EOC293_pMes1_DNA2	2.01E+02	3.73E+00	2.04E+02
EOC293_pOvaR1_DNA2	1.83E+02	5.02E+00	1.83E+02
EOC372_iOme1_DNA1	1.60E+01	1.35E+01	1.01E+01
EOC372_iPer1_DNA1	9.61E+00	6.06E+00	1.05E+01
EOC372_pPer1_DNA1	1.65E+01	7.26E+00	1.31E+01
EOC523_pOme1_DNA2	8.18E+00	1.55E+01	1.94E+01
EOC523_pOvaR1_DNA2	7.19E+00	1.44E+01	1.77E+01
EOC561_pPer1_DNA1	1.39E+02	1.76E+01	1.34E+02
EOC561_pPer1_DNA1_bgiseq	1.36E+02	1.13E+01	1.34E+02
EOC63_pOme1_DNA1	6.24E+01	6.16E+01	5.16E+01
EOC63_pOvaR1_DNA1	8.49E+00	1.14E+01	6.97E+00
EOC667_pMes1_DNA1	3.37E+01	2.39E+01	3.05E+01
EOC667_pOme1_DNA2	3.08E+01	2.22E+01	2.76E+01
EOC77_iOme1_DNA1	8.02E+00	1.06E+01	1.13E+01
EOC77_iOme2_DNA1	6.29E+00	1.63E+01	1.56E+01
EOC77_iPer1_DNA2	8.04E+00	1.36E+01	1.39E+01
EOC77_pAsc1_DNA1	5.61E+00	1.49E+01	1.38E+01
EOC77_pOme1_DNA3	5.24E+00	1.59E+01	1.53E+01
EOC779_pOme1_DNA1	7.70E+00	8.39E+00	1.16E+01
EOC779_pOvaL1_DNA1	6.13E+00	8.76E+00	4.75E+00
EOC779_pPer1_DNA1	1.06E+01	8.78E+00	5.80E+00
EOC863_pMes1_DNA1	6.98E+00	1.07E+01	1.42E+01
EOC863_pOva1_DNA1	1.48E+01	1.50E+01	1.84E+01
EOC879_p2Ome1_DNA1	3.52E+01	1.04E+01	3.11E+01
EOC879_p2OvaL1_DNA1	4.00E+01	1.73E+01	4.09E+01
EOC879_p2TubL1_DNA1	3.56E+01	1.42E+01	3.76E+01
EOC914_iOme1_DNA1	3.41E+01	1.06E+01	2.75E+01
EOC914_iOvaL1_DNA1	2.91E+01	1.08E+01	2.33E+01
EOC914_iPer1_DNA1	3.46E+01	8.46E+00	2.99E+01
EOC984_pOme1_DNA1	3.41E-01	1.34E+01	1.35E+01
EOC984_pPer1_DNA1	2.37E-01	1.27E+01	1.28E+01
