MutationType	CH43A	CH43B	CH43C
7.40E+01	2.84E-04	4.90E-04	9.61E-04
1.33E+02	5.50E-04	1.24E-04	1.34E-03
8.30E+01	3.92E-04	1.09E-04	2.35E-04
2.01E+02	1.70E-04	3.19E-04	5.00E-04
4.80E+01	7.53E-05	7.75E-05	3.03E-04
3.20E+01	7.05E-05	1.39E-04	4.60E-04
1.10E+01	1.08E-04	2.67E-04	4.27E-05
7.00E+00	6.18E-05	1.07E-04	8.49E-05
4.00E+00	1.14E-04	7.19E-05	4.13E-05
1.00E+01	1.48E-04	3.61E-05	1.70E-04
4.00E+00	2.14E-05	1.93E-05	2.69E-05
3.00E+00	1.83E-05	2.01E-05	4.74E-05
7.00E+00	2.56E-04	2.49E-04	4.01E-05
4.00E+00	6.09E-04	8.66E-05	7.94E-04
4.00E+00	4.08E-04	6.45E-05	6.42E-04
2.00E+00	9.52E-06	1.01E-05	8.55E-06
0.00E+00	1.17E-05	1.19E-05	1.71E-05
0.00E+00	6.72E-06	1.90E-05	1.59E-05
1.00E+01	7.72E-05	3.38E-05	8.06E-05
3.40E+01	9.90E-05	3.76E-05	1.29E-04
1.13E+00	8.21E-06	1.51E-05	4.48E-05
1.70E+00	1.07E-05	1.81E-05	5.05E-05
0.00E+00	1.52E-05	2.41E-05	2.23E-05
1.39E+02	4.57E-04	4.82E-04	6.81E-04
2.10E+02	7.20E-04	3.16E-04	1.01E-03
3.43E+02	1.20E-03	4.91E-04	6.50E-04
2.90E+01	3.89E-05	6.07E-04	1.96E-03
7.00E+01	1.34E-04	6.84E-04	2.53E-03
2.80E+01	5.86E-05	8.43E-05	1.51E-04
3.00E+00	5.30E-05	5.25E-05	1.52E-04
3.00E+00	1.36E-05	9.29E-06	1.42E-05
4.07E+02	1.39E-03	2.87E-04	5.67E-04
3.40E+01	7.50E-05	8.73E-05	2.08E-04
4.00E+00	1.62E-04	4.81E-05	2.16E-04
9.00E+00	2.19E-05	1.42E-04	4.51E-04
1.30E+01	2.00E-05	2.40E-04	7.95E-04
1.80E+01	4.52E-05	8.06E-05	3.37E-04
6.00E+00	5.98E-05	4.76E-05	1.10E-04
1.72E+02	3.58E-04	3.28E-04	1.01E-03
3.30E+02	3.10E-03	6.20E-04	2.97E-03
1.06E+02	2.04E-03	6.60E-04	7.13E-04
6.30E+01	6.23E-04	6.00E-05	1.68E-04
1.70E+01	8.86E-05	4.24E-10	4.60E-07
