Samples	CH43A	CH43B	CH43C	CH43D
EOC1003_p2OvaL1_TR_DNA	153	1211	438	954
EOC1003_p2OvaR1_DNA1	132	1100	0	729
EOC1022_pOme1_DNA1	0	472	0	413
EOC1022_pPer1_DNA1	349	440	61	509
EOC1067_pOme1_DNA3	250	202	563	590
EOC1067_pOvaR1_DNA1	597	215	2101	320
EOC1067_pPerR1_DNA1	15	472	342	673
EOC1067_pTubL1_DNA1	96	851	490	730
EOC1091_pOme1_TR_DNA	187	1968	405	539
EOC1091_pOvaR1_TR_DNA	108	957	532	1041
EOC124_pOvaL1_TR_DNA1	2678	167	1572	0
EOC124_pOvaR1_TR	2207	1456	45	340
EOC133_pAsc1_DNA1	2465	518	0	510
EOC133_pOme1_TR_DNA	1855	754	0	582
EOC133_pOvaL1_DNA1	2267	386	71	412
EOC148_pAdnL1_DNA1	4228	2910	65	0
EOC148_pAdnL3_DNA1	3902	2445	422	0
EOC148_pOvaL4_DNA1	2546	2377	351	0
EOC148_pOvaL5_DNA1	3625	2236	638	0
EOC192_iOme1B_DNA2	0	10	6	663
EOC192_iOme3A_DNA1	0	8	36	657
EOC192_iOvaR1A_DNA1	146	0	129	684
EOC192_pAsc1_DNA1	0	0	152	729
EOC192_pOme1A_TR_DNA1	87	0	160	671
EOC192_pOme2B_DNA2	93	0	180	691
EOC192_pOvaR1A_DNA1	98	0	135	674
EOC192_pOvaR1A_DNA3	149	0	146	622
EOC192_pPer1A_DNA2	139	103	66	811
EOC192_pPer2B_DNA1	36	774	0	580
EOC293_pAdnL1_DNA1	516	0	5482	0
EOC293_pMes1_DNA2	0	1051	5012	261
EOC293_pOvaR1_DNA2	0	0	5253	13
EOC372_iOme1_DNA1	1719	1469	616	181
EOC372_iPer1_DNA1	339	1497	200	494
EOC372_pPer1_DNA1	534	1563	643	410
EOC523_pOme1_DNA2	1248	492	0	498
EOC523_pOvaR1_DNA2	984	598	0	450
EOC561_pPer1_DNA1	1422	221	3116	333
EOC561_pPer1_DNA1_bgiseq	493	0	3569	332
EOC63_pOme1_DNA1	10604	1971	361	411
EOC63_pOvaR1_DNA1	980	2841	0	0
EOC667_pMes1_DNA1	3198	73	1528	102
EOC667_pOme1_DNA2	2796	0	1494	0
EOC77_iOme1_DNA1	11	681	28	624
EOC77_iOme2_DNA1	183	194	115	749
EOC77_iPer1_DNA2	357	0	410	629
EOC77_pAsc1_DNA1	78	82	263	670
EOC77_pOme1_DNA3	184	0	421	674
EOC779_pOme1_DNA1	1112	439	0	485
EOC779_pOvaL1_DNA1	4205	0	0	102
EOC779_pPer1_DNA1	2932	93	65	252
EOC863_pMes1_DNA1	0	1296	0	655
EOC863_pOva1_DNA1	482	1215	466	582
EOC879_p2Ome1_DNA1	222	969	1314	484
EOC879_p2OvaL1_DNA1	745	3694	1604	0
EOC879_p2TubL1_DNA1	580	3551	1321	0
EOC914_iOme1_DNA1	485	1288	1340	495
EOC914_iOvaL1_DNA1	360	1517	940	682
EOC914_iPer1_DNA1	190	1371	1315	517
EOC984_pOme1_DNA1	479	21	49	608
EOC984_pPer1_DNA1	454	0	108	594
