Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F
EOC1003_p2OvaL1_TR_DNA	6.42E+00	3.47E+01	4.05E+01	2.40E+01	2.47E+01	8.63E+00
EOC1003_p2OvaR1_DNA1	3.98E+00	2.05E+01	2.48E+01	1.62E+01	1.23E+01	5.07E+00
EOC1022_pOme1_DNA1	1.88E+00	4.55E+00	7.51E-01	3.67E+00	6.50E-01	3.41E+00
EOC1022_pPer1_DNA1	5.56E+00	1.08E+01	1.42E+00	4.41E+00	9.02E+00	4.25E+00
EOC1067_pOme1_DNA3	7.31E+00	1.37E+01	1.61E+01	8.94E+00	8.37E+00	4.81E+00
EOC1067_pOvaR1_DNA1	1.20E+01	3.88E+01	2.22E+01	1.60E+01	4.00E+01	4.54E+00
EOC1067_pPerR1_DNA1	3.55E+00	1.64E+01	1.72E+01	1.06E+01	9.67E+00	5.21E+00
EOC1067_pTubL1_DNA1	4.50E+00	2.85E+01	2.71E+01	1.84E+01	1.28E+01	5.82E+00
EOC1091_pOme1_TR_DNA	7.01E+00	3.85E+01	4.02E+01	2.52E+01	2.19E+01	6.23E+00
EOC1091_pOvaR1_TR_DNA	5.47E+00	2.98E+01	3.00E+01	1.76E+01	1.94E+01	7.92E+00
EOC124_pOvaL1_TR_DNA1	3.13E+01	3.35E+01	2.46E+01	7.32E+00	2.75E+01	2.72E+00
EOC124_pOvaR1_TR	2.49E+01	3.27E+01	1.87E+01	8.64E+00	1.31E+01	2.90E+00
EOC133_pAsc1_DNA1	1.66E+01	1.86E+01	1.92E+01	1.46E+01	1.08E+01	5.80E+00
EOC133_pOme1_TR_DNA	1.16E+01	1.75E+01	2.20E+01	1.66E+01	1.49E+01	5.74E+00
EOC133_pOvaL1_DNA1	1.38E+01	1.55E+01	1.87E+01	1.36E+01	9.37E+00	5.22E+00
EOC148_pAdnL1_DNA1	6.59E+01	1.07E+02	4.90E+01	2.35E+01	1.27E+01	7.56E-01
EOC148_pAdnL3_DNA1	5.85E+01	8.95E+01	3.99E+01	1.87E+01	1.48E+01	6.31E-01
EOC148_pOvaL4_DNA1	4.18E+01	6.01E+01	2.02E+01	1.54E+01	1.87E+01	2.01E+00
EOC148_pOvaL5_DNA1	6.33E+01	9.07E+01	3.73E+01	1.79E+01	1.68E+01	6.00E-01
EOC192_iOme1B_DNA2	3.47E-01	2.97E+00	6.65E-01	1.77E+00	3.98E+00	3.51E+00
EOC192_iOme3A_DNA1	4.16E-01	1.80E+00	9.62E-01	2.33E+00	5.14E+00	3.79E+00
EOC192_iOvaR1A_DNA1	3.86E+00	1.07E+01	7.24E+00	3.35E-01	9.65E+00	4.76E+00
EOC192_pAsc1_DNA1	1.24E+00	7.23E+00	3.55E+00	6.74E-01	6.14E+00	4.53E+00
EOC192_pOme1A_TR_DNA1	3.12E+00	1.27E+01	5.78E+00	3.84E-01	1.05E+01	4.57E+00
EOC192_pOme2B_DNA2	3.51E+00	1.20E+01	6.09E+00	1.54E+00	1.10E+01	4.94E+00
EOC192_pOvaR1A_DNA1	3.40E+00	1.11E+01	5.44E+00	8.15E-01	9.56E+00	4.51E+00
EOC192_pOvaR1A_DNA3	4.09E+00	1.26E+01	4.84E+00	1.08E+00	1.04E+01	4.38E+00
EOC192_pPer1A_DNA2	4.04E+00	9.12E+00	1.09E+01	1.65E-01	7.83E+00	5.51E+00
EOC192_pPer2B_DNA1	2.48E+00	9.02E+00	7.26E+00	5.73E+00	6.70E+00	4.61E+00
EOC293_pAdnL1_DNA1	7.88E+00	1.67E+02	1.22E+01	1.61E+01	1.56E+02	1.55E+00
EOC293_pMes1_DNA2	1.71E+00	1.19E+02	2.12E+01	2.80E+01	9.74E+01	1.11E+00
EOC293_pOvaR1_DNA2	3.74E+00	1.25E+02	8.45E+00	1.89E+01	1.09E+02	1.65E+00
EOC372_iOme1_DNA1	3.06E+01	3.81E+01	1.53E+01	1.30E+01	1.26E+01	2.74E+00
EOC372_iPer1_DNA1	1.21E+01	1.93E+01	1.93E+01	1.26E+01	2.16E+01	4.58E+00
EOC372_pPer1_DNA1	1.85E+01	2.41E+01	2.24E+01	1.30E+01	2.39E+01	3.97E+00
EOC523_pOme1_DNA2	2.72E+01	1.25E+01	2.19E+01	9.95E+00	4.19E+00	5.94E+00
EOC523_pOvaR1_DNA2	2.55E+01	1.07E+01	2.42E+01	1.02E+01	3.46E+00	5.33E+00
EOC561_pPer1_DNA1	1.99E+01	1.27E+02	2.57E+01	8.46E+00	1.30E+02	3.81E+00
EOC561_pPer1_DNA1_bgiseq	1.02E+01	1.12E+02	1.66E+01	1.14E+01	1.01E+02	3.33E+00
EOC63_pOme1_DNA1	1.80E+02	2.83E+02	1.91E+02	4.92E+00	4.43E+01	0.00E+00
EOC63_pOvaR1_DNA1	1.89E+01	2.78E+01	0.00E+00	1.91E+01	1.57E+01	3.41E+00
EOC667_pMes1_DNA1	6.07E+01	7.26E+01	3.63E+01	3.81E+00	2.77E+01	2.60E+00
EOC667_pOme1_DNA2	5.17E+01	5.20E+01	1.10E+01	5.46E+00	2.55E+01	2.82E+00
EOC77_iOme1_DNA1	3.11E+00	8.15E+00	5.59E+00	4.55E+00	7.29E+00	5.00E+00
EOC77_iOme2_DNA1	5.17E+00	1.29E+01	1.35E+01	6.66E-01	1.16E+01	5.30E+00
EOC77_iPer1_DNA2	6.22E+00	1.60E+01	1.18E+01	5.23E-01	1.51E+01	4.70E+00
EOC77_pAsc1_DNA1	3.25E+00	9.86E+00	7.02E+00	2.29E+00	1.03E+01	5.26E+00
EOC77_pOme1_DNA3	4.14E+00	1.48E+01	1.05E+01	4.95E-01	1.42E+01	6.06E+00
EOC779_pOme1_DNA1	8.54E+00	5.95E+00	6.51E+00	1.01E+01	1.04E+01	4.50E+00
EOC779_pOvaL1_DNA1	2.65E+01	2.82E+01	1.57E+01	7.63E+00	6.58E+00	2.25E+00
EOC779_pPer1_DNA1	1.84E+01	1.69E+01	1.29E+01	1.06E+01	8.63E+00	3.67E+00
EOC863_pMes1_DNA1	1.75E+00	2.36E+01	2.97E+01	2.02E+01	1.78E+01	4.88E+00
EOC863_pOva1_DNA1	7.31E+00	3.83E+01	3.53E+01	2.73E+01	1.13E+01	6.40E+00
EOC879_p2Ome1_DNA1	7.09E+00	3.28E+01	3.16E+01	2.12E+01	1.67E+01	5.57E+00
EOC879_p2OvaL1_DNA1	5.05E+00	5.25E+01	5.00E+01	5.03E+01	5.50E+01	2.37E+00
EOC879_p2TubL1_DNA1	4.73E+00	4.10E+01	4.03E+01	3.97E+01	5.20E+01	2.16E+00
EOC914_iOme1_DNA1	8.68E+00	4.75E+01	4.75E+01	3.43E+01	1.64E+01	6.90E+00
EOC914_iOvaL1_DNA1	5.44E+00	4.17E+01	4.10E+01	3.06E+01	1.51E+01	7.74E+00
EOC914_iPer1_DNA1	6.88E+00	4.31E+01	4.31E+01	2.90E+01	1.37E+01	6.27E+00
EOC984_pOme1_DNA1	8.36E+00	1.03E+01	8.94E+00	6.20E-01	2.84E+00	4.28E+00
EOC984_pPer1_DNA1	6.89E+00	9.73E+00	8.59E+00	3.55E-01	4.48E+00	4.57E+00
