Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
EOC1003_p2OvaL1_TR_DNA	0	0	1424	326	344	333	329
EOC1003_p2OvaR1_DNA1	0	0	943	466	216	0	336
EOC1022_pOme1_DNA1	0	7	0	453	0	0	425
EOC1022_pPer1_DNA1	262	331	0	385	0	0	381
EOC1067_pOme1_DNA3	368	168	317	64	0	346	342
EOC1067_pOvaR1_DNA1	500	1060	712	0	0	765	196
EOC1067_pPerR1_DNA1	143	76	474	200	0	220	389
EOC1067_pTubL1_DNA1	111	137	1337	215	0	21	346
EOC1091_pOme1_TR_DNA	137	199	1154	1117	80	177	235
EOC1091_pOvaR1_TR_DNA	0	0	1634	102	326	178	398
EOC124_pOvaL1_TR_DNA1	1555	1525	174	126	609	428	0
EOC124_pOvaR1_TR	1601	423	449	1117	271	0	187
EOC133_pAsc1_DNA1	1907	0	518	340	489	45	194
EOC133_pOme1_TR_DNA	1417	0	525	468	419	124	238
EOC133_pOvaL1_DNA1	1914	0	351	324	278	102	167
EOC148_pAdnL1_DNA1	1505	1321	248	1937	2192	0	0
EOC148_pAdnL3_DNA1	1502	1318	18	1669	1996	266	0
EOC148_pOvaL4_DNA1	1423	883	0	1829	735	403	1
EOC148_pOvaL5_DNA1	1628	1464	25	1606	1441	335	0
EOC192_iOme1B_DNA2	0	0	0	0	0	241	438
EOC192_iOme3A_DNA1	0	0	0	0	0	284	417
EOC192_iOvaR1A_DNA1	47	207	0	0	182	62	461
EOC192_pAsc1_DNA1	5	0	0	0	54	354	468
EOC192_pOme1A_TR_DNA1	24	260	0	0	123	48	463
EOC192_pOme2B_DNA2	39	269	30	0	102	48	476
EOC192_pOvaR1A_DNA1	45	213	0	0	127	64	458
EOC192_pOvaR1A_DNA3	95	252	0	0	94	41	435
EOC192_pPer1A_DNA2	0	131	223	0	253	5	507
EOC192_pPer2B_DNA1	0	195	70	554	160	0	411
EOC293_pAdnL1_DNA1	363	2744	0	0	169	2716	6
EOC293_pMes1_DNA2	0	873	715	218	205	4313	0
EOC293_pOvaR1_DNA2	285	1370	0	0	0	3611	0
EOC372_iOme1_DNA1	1268	653	467	1061	123	311	102
EOC372_iPer1_DNA1	454	0	187	1069	0	574	246
EOC372_pPer1_DNA1	661	0	467	1030	19	840	133
EOC523_pOme1_DNA2	0	0	0	155	1800	0	283
EOC523_pOvaR1_DNA2	0	0	0	293	1479	0	260
EOC561_pPer1_DNA1	209	2298	0	69	1018	1113	385
EOC561_pPer1_DNA1_bgiseq	560	1419	0	0	195	1986	234
EOC63_pOme1_DNA1	4328	1560	2626	31	4802	0	0
EOC63_pOvaR1_DNA1	1058	199	0	2402	0	0	162
EOC667_pMes1_DNA1	1959	1498	783	0	466	111	84
EOC667_pOme1_DNA2	1817	1727	98	0	289	337	22
EOC77_iOme1_DNA1	0	163	97	475	94	100	415
EOC77_iOme2_DNA1	0	133	317	11	296	21	463
EOC77_iPer1_DNA2	86	407	0	0	322	151	430
EOC77_pAsc1_DNA1	0	309	92	23	123	87	459
EOC77_pOme1_DNA3	0	480	31	0	229	72	467
EOC779_pOme1_DNA1	1089	0	0	465	51	132	299
EOC779_pOvaL1_DNA1	3728	70	0	0	388	121	0
EOC779_pPer1_DNA1	2622	0	29	319	136	142	94
EOC863_pMes1_DNA1	0	0	1025	593	0	54	279
EOC863_pOva1_DNA1	49	199	1612	304	390	0	191
EOC879_p2Ome1_DNA1	110	514	1080	326	185	569	205
EOC879_p2OvaL1_DNA1	0	2287	1477	2279	0	0	0
EOC879_p2TubL1_DNA1	0	1816	1397	2239	0	0	0
EOC914_iOme1_DNA1	313	598	1947	342	0	253	155
EOC914_iOvaL1_DNA1	134	503	2140	464	0	0	258
EOC914_iPer1_DNA1	132	465	1808	425	0	400	163
EOC984_pOme1_DNA1	324	192	152	0	102	0	387
EOC984_pPer1_DNA1	351	200	156	0	64	0	385
