Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
EOC1003_p2OvaL1_TR_DNA	4.54E+00	2.72E+00	3.42E+01	2.14E+01	3.55E+01	1.82E+01	5.99E+00
EOC1003_p2OvaR1_DNA1	3.54E+00	1.80E+00	2.06E+01	1.65E+01	1.90E+01	9.62E+00	3.99E+00
EOC1022_pOme1_DNA1	1.73E+00	4.04E+00	1.37E+00	4.19E+00	2.30E+00	1.32E+00	3.23E+00
EOC1022_pPer1_DNA1	4.80E+00	6.25E+00	1.62E+00	3.99E+00	5.04E+00	5.58E+00	4.13E+00
EOC1067_pOme1_DNA3	9.60E+00	8.35E+00	1.73E+01	9.30E+00	1.39E+01	7.00E+00	4.03E+00
EOC1067_pOvaR1_DNA1	1.65E+01	3.76E+01	2.45E+01	1.79E+01	1.88E+01	3.66E+01	4.02E+00
EOC1067_pPerR1_DNA1	5.36E+00	4.32E+00	2.02E+01	1.26E+01	1.26E+01	7.87E+00	4.42E+00
EOC1067_pTubL1_DNA1	3.96E+00	6.95E+00	2.44E+01	2.09E+01	2.04E+01	7.24E+00	4.72E+00
EOC1091_pOme1_TR_DNA	6.72E+00	7.21E+00	4.54E+01	2.96E+01	3.12E+01	1.54E+01	3.79E+00
EOC1091_pOvaR1_TR_DNA	4.57E+00	4.86E+00	3.26E+01	1.53E+01	3.66E+01	1.39E+01	6.35E+00
EOC124_pOvaL1_TR_DNA1	4.05E+01	1.96E+01	2.41E+01	7.03E+00	4.15E+01	2.07E+01	2.33E+00
EOC124_pOvaR1_TR	3.15E+01	2.53E+01	2.04E+01	8.97E+00	3.21E+01	8.83E+00	3.10E+00
EOC133_pAsc1_DNA1	2.00E+01	7.46E-01	2.23E+01	1.48E+01	2.95E+01	9.98E+00	4.46E+00
EOC133_pOme1_TR_DNA	1.57E+01	6.60E-01	2.10E+01	1.55E+01	2.55E+01	1.29E+01	4.29E+00
EOC133_pOvaL1_DNA1	1.77E+01	1.15E+00	1.84E+01	1.30E+01	2.26E+01	9.33E+00	4.21E+00
EOC148_pAdnL1_DNA1	9.93E+01	9.77E+01	5.23E+01	3.20E+01	1.33E+02	2.16E+01	9.21E-01
EOC148_pAdnL3_DNA1	8.49E+01	8.48E+01	4.59E+01	3.06E+01	1.05E+02	2.17E+01	6.56E-01
EOC148_pOvaL4_DNA1	5.93E+01	6.33E+01	2.70E+01	2.72E+01	8.73E+01	2.73E+01	1.84E+00
EOC148_pOvaL5_DNA1	9.46E+01	8.95E+01	3.88E+01	2.75E+01	1.31E+02	2.47E+01	5.89E-01
EOC192_iOme1B_DNA2	7.91E-01	3.25E+00	1.51E+00	1.90E+00	1.75E+00	4.09E+00	3.02E+00
EOC192_iOme3A_DNA1	7.84E-01	2.38E+00	2.76E+00	2.26E+00	7.59E-01	5.80E+00	3.33E+00
EOC192_iOvaR1A_DNA1	3.45E+00	1.10E+01	7.12E+00	5.40E-01	7.66E+00	8.74E+00	4.47E+00
EOC192_pAsc1_DNA1	1.37E+00	7.49E+00	3.66E+00	6.96E-01	3.72E+00	6.10E+00	3.89E+00
EOC192_pOme1A_TR_DNA1	3.21E+00	1.31E+01	5.63E+00	6.98E-01	6.30E+00	9.27E+00	4.25E+00
EOC192_pOme2B_DNA2	3.45E+00	1.26E+01	6.34E+00	1.80E+00	6.21E+00	8.98E+00	4.62E+00
EOC192_pOvaR1A_DNA1	3.03E+00	1.13E+01	4.53E+00	1.04E+00	6.20E+00	8.78E+00	3.47E+00
EOC192_pOvaR1A_DNA3	3.94E+00	1.22E+01	4.12E+00	1.29E+00	5.53E+00	8.45E+00	3.98E+00
EOC192_pPer1A_DNA2	3.08E+00	8.71E+00	1.35E+01	2.16E-01	1.26E+01	7.47E+00	5.32E+00
EOC192_pPer2B_DNA1	1.77E+00	8.39E+00	9.84E+00	6.25E+00	1.13E+01	5.47E+00	4.77E+00
EOC293_pAdnL1_DNA1	1.24E+01	1.55E+02	3.98E+00	1.56E+01	1.64E+01	1.44E+02	1.43E+00
EOC293_pMes1_DNA2	1.89E+00	1.15E+02	2.42E+01	3.03E+01	1.63E+01	9.10E+01	1.13E+00
EOC293_pOvaR1_DNA2	8.47E+00	1.19E+02	8.10E+00	2.14E+01	8.70E+00	1.01E+02	1.58E+00
EOC372_iOme1_DNA1	4.13E+01	4.04E+01	2.42E+01	2.03E+01	5.86E+01	1.59E+01	2.82E+00
EOC372_iPer1_DNA1	1.37E+01	1.79E+01	2.62E+01	2.03E+01	2.44E+01	2.41E+01	3.67E+00
EOC372_pPer1_DNA1	2.17E+01	2.28E+01	2.92E+01	2.09E+01	3.37E+01	2.65E+01	3.31E+00
EOC523_pOme1_DNA2	2.19E+01	3.55E+00	5.19E+01	9.55E+00	6.29E+01	4.94E+00	5.13E+00
EOC523_pOvaR1_DNA2	2.16E+01	1.18E+00	4.44E+01	1.02E+01	5.55E+01	3.87E+00	4.89E+00
EOC561_pPer1_DNA1	1.60E+01	1.20E+02	4.52E+01	1.08E+01	4.49E+01	1.24E+02	3.22E+00
EOC561_pPer1_DNA1_bgiseq	1.50E+01	1.08E+02	1.56E+01	1.24E+01	2.42E+01	9.66E+01	3.05E+00
EOC63_pOme1_DNA1	2.45E+02	1.31E+02	2.16E+02	9.94E+00	3.30E+02	3.02E+01	0.00E+00
EOC63_pOvaR1_DNA1	1.92E+01	2.65E+01	1.13E+01	2.10E+01	2.10E+01	2.05E+01	4.26E+00
EOC667_pMes1_DNA1	8.19E+01	5.55E+01	4.21E+01	4.46E+00	1.02E+02	1.74E+01	2.43E+00
EOC667_pOme1_DNA2	7.00E+01	3.94E+01	1.79E+01	6.41E+00	9.07E+01	1.90E+01	2.69E+00
EOC77_iOme1_DNA1	2.70E+00	5.77E+00	6.15E+00	4.65E+00	4.83E+00	5.57E+00	4.75E+00
EOC77_iOme2_DNA1	3.96E+00	1.06E+01	1.70E+01	9.17E-01	1.44E+01	1.01E+01	5.08E+00
EOC77_iPer1_DNA2	6.23E+00	1.39E+01	1.26E+01	6.62E-01	8.96E+00	1.37E+01	4.54E+00
EOC77_pAsc1_DNA1	3.13E+00	8.50E+00	8.01E+00	2.32E+00	4.51E+00	7.98E+00	4.65E+00
EOC77_pOme1_DNA3	3.61E+00	1.29E+01	1.22E+01	6.03E-01	9.83E+00	1.13E+01	5.79E+00
EOC779_pOme1_DNA1	1.23E+01	0.00E+00	7.08E+00	1.07E+01	1.05E+01	1.18E+01	4.17E+00
EOC779_pOvaL1_DNA1	3.49E+01	5.96E+00	1.57E+01	7.12E+00	3.53E+01	8.94E+00	2.17E+00
EOC779_pPer1_DNA1	2.22E+01	2.16E+00	1.13E+01	9.90E+00	2.29E+01	9.93E+00	3.54E+00
EOC863_pMes1_DNA1	2.26E-01	4.51E-01	3.23E+01	2.20E+01	1.68E+01	1.37E+01	3.69E+00
EOC863_pOva1_DNA1	7.00E+00	7.92E+00	3.48E+01	2.96E+01	3.69E+01	4.89E+00	5.05E+00
EOC879_p2Ome1_DNA1	7.23E+00	1.98E+01	3.57E+01	2.41E+01	2.92E+01	1.66E+01	4.47E+00
EOC879_p2OvaL1_DNA1	3.81E-01	4.04E+01	6.06E+01	6.26E+01	2.93E+01	3.03E+01	2.06E+00
EOC879_p2TubL1_DNA1	1.42E+00	2.92E+01	4.50E+01	4.97E+01	2.31E+01	3.28E+01	2.32E+00
EOC914_iOme1_DNA1	1.05E+01	1.74E+01	4.75E+01	3.88E+01	3.17E+01	1.55E+01	6.18E+00
EOC914_iOvaL1_DNA1	7.81E+00	1.93E+01	3.92E+01	3.88E+01	2.82E+01	1.21E+01	6.77E+00
EOC914_iPer1_DNA1	8.15E+00	1.43E+01	4.48E+01	3.55E+01	2.60E+01	1.32E+01	5.54E+00
EOC984_pOme1_DNA1	8.28E+00	7.36E+00	1.01E+01	5.45E-01	8.75E+00	1.21E+00	3.88E+00
EOC984_pPer1_DNA1	8.53E+00	6.84E+00	9.15E+00	5.73E-01	9.12E+00	2.94E+00	4.03E+00
