Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA	0	0	0	288	1072	487	575	334
EOC1003_p2OvaR1_DNA1	0	0	0	414	791	112	317	327
EOC1022_pOme1_DNA1	0	0	17	450	0	0	0	418
EOC1022_pPer1_DNA1	76	216	302	400	0	0	5	360
EOC1067_pOme1_DNA3	0	400	216	78	260	268	61	322
EOC1067_pOvaR1_DNA1	0	537	1103	0	722	542	178	151
EOC1067_pPerR1_DNA1	0	217	66	173	465	192	20	369
EOC1067_pTubL1_DNA1	0	150	81	158	1154	98	189	337
EOC1091_pOme1_TR_DNA	0	72	247	1044	1029	243	238	226
EOC1091_pOvaR1_TR_DNA	0	0	0	68	1239	327	599	405
EOC124_pOvaL1_TR_DNA1	1304	1175	1040	152	90	271	385	0
EOC124_pOvaR1_TR	1212	1017	73	1035	162	134	189	226
EOC133_pAsc1_DNA1	0	2020	0	364	466	83	419	141
EOC133_pOme1_TR_DNA	0	1501	0	474	454	183	385	194
EOC133_pOvaL1_DNA1	0	2013	0	347	346	89	220	121
EOC148_pAdnL1_DNA1	3127	620	346	1774	77	141	1118	0
EOC148_pAdnL3_DNA1	2557	846	538	1559	0	262	1007	0
EOC148_pOvaL4_DNA1	1892	814	230	1675	0	429	193	41
EOC148_pOvaL5_DNA1	2832	855	448	1441	0	358	565	0
EOC192_iOme1B_DNA2	0	33	0	0	0	208	10	428
EOC192_iOme3A_DNA1	0	0	0	0	0	279	0	422
EOC192_iOvaR1A_DNA1	0	53	258	0	0	29	179	440
EOC192_pAsc1_DNA1	0	42	64	0	0	282	43	450
EOC192_pOme1A_TR_DNA1	0	16	299	0	0	14	145	444
EOC192_pOme2B_DNA2	0	44	286	11	39	9	124	451
EOC192_pOvaR1A_DNA1	0	45	253	0	0	30	139	440
EOC192_pOvaR1A_DNA3	0	85	286	0	0	7	123	416
EOC192_pPer1A_DNA2	37	0	163	0	170	7	256	486
EOC192_pPer2B_DNA1	0	0	190	539	141	0	133	387
EOC293_pAdnL1_DNA1	0	122	3355	135	0	1913	473	0
EOC293_pMes1_DNA2	83	0	1666	305	540	3444	286	0
EOC293_pOvaR1_DNA2	0	332	2116	0	0	2818	0	0
EOC372_iOme1_DNA1	1439	665	176	955	183	386	27	154
EOC372_iPer1_DNA1	484	154	0	1001	25	599	0	267
EOC372_pPer1_DNA1	762	237	0	949	163	848	16	175
EOC523_pOme1_DNA2	0	319	0	272	0	32	1362	253
EOC523_pOvaR1_DNA2	0	153	0	398	0	0	1211	270
EOC561_pPer1_DNA1	0	121	2716	281	114	588	996	276
EOC561_pPer1_DNA1_bgiseq	0	443	1917	116	0	1399	340	179
EOC63_pOme1_DNA1	7147	1962	0	0	1192	0	3046	0
EOC63_pOvaR1_DNA1	702	468	58	2248	0	146	0	199
EOC667_pMes1_DNA1	2624	862	604	0	34	224	368	185
EOC667_pOme1_DNA2	1846	1255	896	0	0	197	50	46
EOC77_iOme1_DNA1	27	0	157	455	143	99	69	394
EOC77_iOme2_DNA1	21	0	186	20	251	23	298	442
EOC77_iPer1_DNA2	30	126	448	0	59	74	264	395
EOC77_pAsc1_DNA1	68	0	288	35	92	46	127	437
EOC77_pOme1_DNA3	0	0	520	0	64	11	248	436
EOC779_pOme1_DNA1	0	1094	0	469	0	155	55	263
EOC779_pOvaL1_DNA1	306	3715	0	0	0	42	244	0
EOC779_pPer1_DNA1	4	2708	0	362	70	93	65	40
EOC863_pMes1_DNA1	0	0	0	511	855	214	115	256
EOC863_pOva1_DNA1	0	188	137	245	1514	0	470	191
EOC879_p2Ome1_DNA1	0	102	624	323	929	475	350	186
EOC879_p2OvaL1_DNA1	207	0	1664	2051	2121	0	0	0
EOC879_p2TubL1_DNA1	131	0	1357	2036	1928	0	0	0
EOC914_iOme1_DNA1	0	472	416	250	1871	272	199	128
EOC914_iOvaL1_DNA1	183	147	257	343	1942	109	259	259
EOC914_iPer1_DNA1	0	267	352	332	1718	402	178	144
EOC984_pOme1_DNA1	329	223	57	0	75	0	86	387
EOC984_pPer1_DNA1	269	262	90	0	80	1	72	382
