Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA	2.08E+01	5.10E+00	1.83E+00	1.78E+01	2.53E+01	1.62E+01	1.59E+01	4.42E+00
EOC1003_p2OvaR1_DNA1	1.46E+01	3.88E+00	1.17E+00	1.38E+01	1.68E+01	1.12E+01	1.13E+01	3.29E+00
EOC1022_pOme1_DNA1	2.25E+00	1.44E+00	3.67E+00	3.58E+00	1.15E+00	1.88E+00	1.56E+00	3.34E+00
EOC1022_pPer1_DNA1	7.01E+00	5.66E+00	5.29E+00	3.83E+00	1.12E+00	2.78E+00	4.21E+00	3.78E+00
EOC1067_pOme1_DNA3	1.34E+01	1.14E+01	7.27E+00	8.15E+00	1.48E+01	8.42E+00	1.03E+01	4.15E+00
EOC1067_pOvaR1_DNA1	2.13E+01	1.83E+01	1.60E+01	1.31E+01	2.21E+01	1.69E+01	1.24E+01	3.08E+00
EOC1067_pPerR1_DNA1	1.19E+01	7.66E+00	2.89E+00	9.34E+00	1.57E+01	8.96E+00	9.05E+00	4.40E+00
EOC1067_pTubL1_DNA1	1.92E+01	8.01E+00	4.11E+00	1.68E+01	2.29E+01	1.20E+01	1.30E+01	3.79E+00
EOC1091_pOme1_TR_DNA	2.23E+01	7.62E+00	4.79E+00	2.17E+01	3.70E+01	1.71E+01	2.15E+01	3.63E+00
EOC1091_pOvaR1_TR_DNA	1.28E+01	5.51E+00	2.99E+00	1.28E+01	2.11E+01	1.54E+01	1.72E+01	5.23E+00
EOC124_pOvaL1_TR_DNA1	3.24E+01	2.54E+01	1.41E+01	6.76E+00	1.64E+01	1.04E+01	1.38E+01	2.06E+00
EOC124_pOvaR1_TR	3.01E+01	3.03E+01	1.42E+01	8.24E+00	1.74E+01	9.50E+00	2.19E+01	2.89E+00
EOC133_pAsc1_DNA1	2.95E+01	3.16E+01	8.40E-01	1.26E+01	1.35E+01	9.95E+00	2.37E+01	3.52E+00
EOC133_pOme1_TR_DNA	2.54E+01	2.46E+01	8.09E-01	1.42E+01	1.40E+01	1.07E+01	1.81E+01	3.06E+00
EOC133_pOvaL1_DNA1	2.43E+01	2.82E+01	8.82E-01	1.22E+01	1.41E+01	8.57E+00	2.24E+01	3.28E+00
EOC148_pAdnL1_DNA1	8.79E+01	6.99E+01	4.77E+01	2.46E+01	3.26E+01	1.97E+01	3.49E+01	9.35E-01
EOC148_pAdnL3_DNA1	7.67E+01	5.87E+01	4.16E+01	2.36E+01	3.20E+01	2.06E+01	2.83E+01	7.07E-01
EOC148_pOvaL4_DNA1	5.11E+01	4.21E+01	3.06E+01	1.94E+01	1.91E+01	2.09E+01	2.31E+01	1.87E+00
