Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
EOC1003_p2OvaL1_TR_DNA	0	0	161	0	883	545	479	419	269
EOC1003_p2OvaR1_DNA1	0	0	324	0	697	318	107	233	282
EOC1022_pOme1_DNA1	0	35	448	0	0	0	0	0	402
EOC1022_pPer1_DNA1	191	313	397	86	0	31	0	0	341
EOC1067_pOme1_DNA3	470	45	23	0	539	0	167	71	290
EOC1067_pOvaR1_DNA1	567	954	0	22	911	0	432	221	126
EOC1067_pPerR1_DNA1	195	5	121	0	627	0	133	80	341
EOC1067_pTubL1_DNA1	34	49	46	28	1184	194	71	258	303
EOC1091_pOme1_TR_DNA	0	139	905	25	1323	0	143	351	213
EOC1091_pOvaR1_TR_DNA	0	0	0	0	937	585	341	446	329
EOC124_pOvaL1_TR_DNA1	1114	848	192	1257	176	200	226	404	0
EOC124_pOvaR1_TR	1129	321	1000	572	0	803	72	0	151
EOC133_pAsc1_DNA1	1926	0	362	0	280	649	40	144	92
EOC133_pOme1_TR_DNA	1446	0	448	0	241	638	160	112	146
EOC133_pOvaL1_DNA1	1858	0	373	39	339	328	5	104	90
EOC148_pAdnL1_DNA1	657	136	1763	2574	254	607	94	1118	0
EOC148_pAdnL3_DNA1	724	176	1569	2387	350	201	199	1163	0
EOC148_pOvaL4_DNA1	729	103	1695	1755	0	293	403	239	57
EOC148_pOvaL5_DNA1	767	165	1478	2597	175	270	328	719	0
EOC192_iOme1B_DNA2	0	0	0	18	0	0	204	47	410
EOC192_iOme3A_DNA1	1	0	0	0	0	0	281	16	403
EOC192_iOvaR1A_DNA1	45	257	0	1	0	44	30	166	416
EOC192_pAsc1_DNA1	41	67	0	0	0	49	267	38	419
EOC192_pOme1A_TR_DNA1	0	305	0	6	0	9	20	155	423
EOC192_pOme2B_DNA2	38	293	7	0	33	41	11	115	426
EOC192_pOvaR1A_DNA1	25	253	0	14	0	20	34	143	418
EOC192_pOvaR1A_DNA3	59	281	0	24	0	0	13	140	400
EOC192_pPer1A_DNA2	0	223	0	0	0	245	39	171	441
EOC192_pPer2B_DNA1	0	196	507	0	162	46	0	118	361
EOC293_pAdnL1_DNA1	219	3218	143	155	0	0	1824	439	0
EOC293_pMes1_DNA2	0	1841	274	0	189	494	3310	216	0
EOC293_pOvaR1_DNA2	468	2036	13	35	3	0	2686	25	0
EOC372_iOme1_DNA1	668	0	933	1313	372	167	315	75	142
EOC372_iPer1_DNA1	172	0	971	379	165	66	528	0	249
EOC372_pPer1_DNA1	252	0	913	598	232	199	776	24	156
EOC523_pOme1_DNA2	69	0	320	0	0	92	35	1442	280
EOC523_pOvaR1_DNA2	0	0	437	0	0	83	0	1230	282
EOC561_pPer1_DNA1	221	2721	272	0	2	260	597	782	237
EOC561_pPer1_DNA1_bgiseq	521	1884	159	0	0	0	1335	337	158
EOC63_pOme1_DNA1	3482	147	0	3724	0	4853	0	1141	0
EOC63_pOvaR1_DNA1	341	189	2181	509	0	305	89	0	207
EOC667_pMes1_DNA1	1180	516	0	1968	0	756	218	165	98
EOC667_pOme1_DNA2	1126	540	0	2004	97	45	211	202	65
EOC77_iOme1_DNA1	0	220	435	0	46	152	109	17	365
EOC77_iOme2_DNA1	0	256	0	0	8	342	71	168	396
EOC77_iPer1_DNA2	115	433	0	46	38	77	79	238	370
EOC77_pAsc1_DNA1	0	315	28	40	52	85	55	113	405
EOC77_pOme1_DNA3	0	512	0	1	83	0	14	258	411
EOC779_pOme1_DNA1	1030	0	498	0	0	159	105	0	244
EOC779_pOvaL1_DNA1	3449	0	57	257	0	544	0	0	0
EOC779_pPer1_DNA1	2421	0	431	132	0	329	0	0	29
EOC863_pMes1_DNA1	0	0	418	0	862	192	179	82	218
EOC863_pOva1_DNA1	0	0	98	75	1691	82	0	635	164
EOC879_p2Ome1_DNA1	42	483	212	37	1199	0	382	463	171
EOC879_p2OvaL1_DNA1	0	1652	1836	254	1978	323	0	0	0
EOC879_p2TubL1_DNA1	0	1445	1848	71	1691	397	0	0	0
EOC914_iOme1_DNA1	235	402	92	110	1754	383	253	279	100
EOC914_iOvaL1_DNA1	25	443	171	43	1538	749	157	183	190
EOC914_iPer1_DNA1	61	362	179	83	1593	365	382	251	117
EOC984_pOme1_DNA1	268	122	0	169	0	229	0	22	347
EOC984_pPer1_DNA1	271	133	0	175	0	185	12	31	349
