NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	311.365	12.196	80.573	10.464	0.024	0.992	40000.0
2	297.209	12.004	75.103	10.279	0.024	0.992	40000.0
3	295.231	11.938	73.804	10.103	0.024	0.992	40000.0
4	290.348	11.684	73.123	9.879	0.024	0.992	60000.0
5	286.123	11.498	71.823	9.766	0.023	0.992	70000.0
6	313.036	12.335	78.584	10.425	0.025	0.992	80000.0
7	297.437	12.03	73.422	10.035	0.025	0.992	60000.0
8	288.943	11.536	72.846	9.797	0.024	0.993	90000.0
9	299.214	12.02	76.134	10.23	0.023	0.992	70000.0
10	301.867	11.934	76.162	10.123	0.024	0.992	30000.0
11	291.817	11.6	73.199	9.776	0.023	0.993	70000.0
12	291.47	11.804	73.462	9.986	0.023	0.992	40000.0
13	290.888	11.289	71.986	9.358	0.022	0.994	50000.0
14	320.575	12.524	82.428	10.719	0.025	0.991	70000.0
15	304.939	11.828	78.044	10.086	0.025	0.992	90000.0
16	289.814	11.444	73.099	9.754	0.022	0.993	50000.0
17	296.286	11.774	74.896	9.908	0.023	0.993	50000.0
18	293.024	11.695	72.876	9.867	0.023	0.992	50000.0
19	289.034	11.626	72.212	9.714	0.024	0.993	120000.0
20	306.133	11.982	77.5	10.252	0.023	0.992	50000.0
21	297.169	11.891	75.175	10.036	0.023	0.992	30000.0
22	298.037	11.956	76.495	10.132	0.023	0.992	40000.0
23	281.482	11.382	69.956	9.572	0.024	0.993	150000.0
24	292.07	11.756	73.216	9.871	0.024	0.993	40000.0
25	292.511	11.809	73.283	9.873	0.024	0.993	80000.0
26	294.12	11.765	74.316	9.917	0.024	0.993	70000.0
27	306.529	12.132	78.177	10.286	0.024	0.992	80000.0
28	293.044	11.603	74.193	9.911	0.023	0.993	70000.0
29	297.898	11.973	75.503	10.15	0.024	0.992	90000.0
30	294.478	11.609	73.134	9.686	0.023	0.993	40000.0
31	291.862	11.931	71.899	9.981	0.024	0.992	50000.0
32	298.2	11.977	74.098	9.995	0.024	0.992	40000.0
33	301.114	11.86	76.256	10.055	0.023	0.992	60000.0
34	306.616	12.081	77.311	10.314	0.023	0.992	40000.0
35	282.587	11.255	69.876	9.507	0.022	0.993	70000.0
36	287.367	11.516	72.511	9.832	0.023	0.992	50000.0
37	288.854	11.604	71.596	9.631	0.024	0.993	60000.0
38	287.895	11.55	71.558	9.648	0.024	0.993	50000.0
39	293.092	11.72	73.723	9.957	0.024	0.992	120000.0
40	292.581	11.682	73.544	9.873	0.023	0.993	50000.0
41	309.848	12.151	78.675	10.224	0.024	0.992	100000.0
42	290.835	11.728	71.699	9.78	0.024	0.992	60000.0
43	296.313	11.63	75.327	9.91	0.023	0.992	40000.0
44	292.441	11.847	73.958	10.161	0.023	0.992	60000.0
45	296.948	11.834	74.838	9.978	0.023	0.993	100000.0
46	288.108	11.695	71.125	9.721	0.025	0.992	30000.0
47	293.798	11.82	72.798	9.942	0.024	0.992	100000.0
48	298.893	11.917	75.001	10.018	0.024	0.992	60000.0
49	299.147	11.861	76.643	10.088	0.024	0.992	60000.0
50	305.284	12.06	77.027	10.198	0.024	0.992	50000.0
51	321.53	12.342	84.358	10.767	0.023	0.991	50000.0
52	284.11	11.452	70.881	9.543	0.023	0.993	60000.0
