Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,28.18%,34.79%,71.2%,30.95%,63.4,0.1479,0.5112,0.054,0.194,0.927,0.726
2,0.91,0.9,NO,N/A,22.87%,29.35%,61.42%,25.79%,61.14,0.1153,0.3702,0.042,0.176,0.943,0.755
3,0.89,0.8,NO,N/A,19.67%,18.81%,51.28%,16.78%,55.57,0.0663,0.2372,0.022,0.149,0.97,0.789
4,0.99,0.99,NO,N/A,15.18%,16.46%,45.12%,14.21%,44.95,16.441,1000.0,0.016,0.102,0.978,0.853
5,0.97,0.91,YES,5.58e-07,12.61%,14.12%,35.08%,11.84%,32.95,0.0386,0.1255,0.01,0.056,0.987,0.925
6,0.79,0.4,NO,N/A,11.11%,12.91%,33.23%,9.99%,30.23,0.0332,0.1198,0.007,0.047,0.99,0.938
7,0.67,0.16,NO,N/A,10.44%,12.17%,23.1%,9.22%,20.74,0.0286,0.0766,0.006,0.021,0.992,0.97
8*,0.8,0.44,YES,Most Stab Sigs,9.16%,9.63%,20.58%,7.69%,17.82,0.0229,0.0713,0.004,0.016,0.994,0.978
9,0.66,0.19,NO,N/A,6.29%,8.73%,21.6%,6.7%,18.14,0.0199,0.0537,0.003,0.016,0.996,0.977
10,0.58,-0.0,NO,N/A,6.23%,8.4%,22.67%,6.7%,19.24,0.0176,0.0626,0.003,0.018,0.996,0.974
