MutationType	EOC1003_p2OvaL1_TR_DNA	EOC1003_p2OvaR1_DNA1	EOC1022_pOme1_DNA1	EOC1022_pPer1_DNA1	EOC1067_pOme1_DNA3	EOC1067_pOvaR1_DNA1	EOC1067_pPerR1_DNA1	EOC1067_pTubL1_DNA1	EOC1091_pOme1_TR_DNA	EOC1091_pOvaR1_TR_DNA	EOC124_pOvaL1_TR_DNA1	EOC124_pOvaR1_TR	EOC133_pAsc1_DNA1	EOC133_pOme1_TR_DNA	EOC133_pOvaL1_DNA1	EOC148_pAdnL1_DNA1	EOC148_pAdnL3_DNA1	EOC148_pOvaL4_DNA1	EOC148_pOvaL5_DNA1	EOC192_iOme1B_DNA2	EOC192_iOme3A_DNA1	EOC192_iOvaR1A_DNA1	EOC192_pAsc1_DNA1	EOC192_pOme1A_TR_DNA1	EOC192_pOme2B_DNA2	EOC192_pOvaR1A_DNA1	EOC192_pOvaR1A_DNA3	EOC192_pPer1A_DNA2	EOC192_pPer2B_DNA1	EOC293_pAdnL1_DNA1	EOC293_pMes1_DNA2	EOC293_pOvaR1_DNA2	EOC372_iOme1_DNA1	EOC372_iPer1_DNA1	EOC372_pPer1_DNA1	EOC523_pOme1_DNA2	EOC523_pOvaR1_DNA2	EOC561_pPer1_DNA1	EOC561_pPer1_DNA1_bgiseq	EOC63_pOme1_DNA1	EOC63_pOvaR1_DNA1	EOC667_pMes1_DNA1	EOC667_pOme1_DNA2	EOC77_iOme1_DNA1	EOC77_iOme2_DNA1	EOC77_iPer1_DNA2	EOC77_pAsc1_DNA1	EOC77_pOme1_DNA3	EOC779_pOme1_DNA1	EOC779_pOvaL1_DNA1	EOC779_pPer1_DNA1	EOC863_pMes1_DNA1	EOC863_pOva1_DNA1	EOC879_p2Ome1_DNA1	EOC879_p2OvaL1_DNA1	EOC879_p2TubL1_DNA1	EOC914_iOme1_DNA1	EOC914_iOvaL1_DNA1	EOC914_iPer1_DNA1	EOC984_pOme1_DNA1	EOC984_pPer1_DNA1
74.0	76.0	56.0	50.0	100.0	67.0	203.0	57.0	78.0	105.0	66.0	402.0	369.0	282.0	235.0	250.0	551.0	498.0	398.0	512.0	18.0	15.0	51.0	29.0	50.0	56.0	48.0	52.0	55.0	66.0	439.0	324.0	296.0	309.0	142.0	182.0	50.0	37.0	384.0	279.0	1314.0	317.0	479.0	420.0	74.0	71.0	83.0	62.0	67.0	153.0	438.0	315.0	36.0	79.0	123.0	449.0	377.0	193.0	197.0	166.0	94.0	89.0
133.0	147.0	85.0	12.0	27.0	57.0	121.0	54.0	64.0	104.0	111.0	88.0	73.0	59.0	75.0	54.0	136.0	141.0	174.0	159.0	52.0	70.0	16.0	70.0	13.0	12.0	16.0	11.0	21.0	25.0	350.0	658.0	508.0	104.0	145.0	192.0	46.0	34.0	98.0	230.0	158.0	135.0	61.0	53.0	56.0	26.0	30.0	24.0	20.0	64.0	51.0	50.0	99.0	63.0	127.0	129.0	139.0	147.0	125.0	158.0	18.0	25.0
83.0	72.0	32.0	19.0	20.0	48.0	83.0	46.0	77.0	86.0	63.0	43.0	45.0	69.0	60.0	62.0	160.0	150.0	121.0	143.0	3.0	6.0	16.0	6.0	11.0	14.0	11.0	11.0	13.0	18.0	53.0	52.0	40.0	98.0	47.0	54.0	24.0	22.0	91.0	63.0	150.0	57.0	88.0	81.0	21.0	18.0	26.0	13.0	12.0	34.0	54.0	49.0	43.0	81.0	87.0	125.0	111.0	93.0	83.0	80.0	4.0	7.0
201.0	216.0	188.0	67.0	121.0	123.0	279.0	109.0	171.0	270.0	223.0	484.0	414.0	363.0	314.0	329.0	856.0	783.0	589.0	745.0	36.0	30.0	84.0	55.0	80.0	78.0	77.0	81.0	102.0	122.0	623.0	511.0	422.0	362.0	185.0	240.0	264.0	241.0	574.0	415.0	1518.0	348.0	518.0	457.0	109.0	111.0	136.0	101.0	131.0	183.0	502.0	362.0	147.0	251.0	243.0	596.0	541.0	328.0	321.0	299.0	108.0	110.0
48.0	49.0	5.0	13.0	13.0	12.0	13.0	13.0	20.0	43.0	52.0	49.0	21.0	30.0	25.0	27.0	47.0	86.0	23.0	36.0	3.0	5.0	12.0	5.0	12.0	12.0	12.0	12.0	14.0	45.0	29.0	22.0	11.0	28.0	27.0	20.0	24.0	11.0	58.0	40.0	81.0	2.0	7.0	7.0	2.0	0.0	5.0	9.0	25.0	20.0	26.0	24.0	17.0	16.0	48.0	25.0	18.0	25.0	22.0	20.0	6.0	3.0
32.0	36.0	6.0	10.0	10.0	15.0	8.0	21.0	33.0	62.0	78.0	35.0	24.0	16.0	20.0	9.0	22.0	43.0	16.0	21.0	8.0	5.0	15.0	9.0	18.0	18.0	15.0	15.0	33.0	36.0	32.0	39.0	23.0	35.0	37.0	31.0	43.0	42.0	61.0	39.0	36.0	2.0	5.0	4.0	1.0	0.0	12.0	17.0	46.0	2.0	4.0	4.0	15.0	34.0	49.0	33.0	11.0	22.0	25.0	24.0	0.0	0.0
11.0	12.0	10.0	4.0	21.0	8.0	11.0	6.0	6.0	19.0	9.0	108.0	136.0	126.0	109.0	112.0	183.0	166.0	123.0	171.0	1.0	2.0	3.0	1.0	3.0	3.0	3.0	4.0	5.0	6.0	11.0	6.0	7.0	95.0	53.0	67.0	5.0	4.0	6.0	4.0	604.0	113.0	154.0	132.0	7.0	3.0	8.0	6.0	7.0	71.0	229.0	154.0	3.0	7.0	5.0	12.0	17.0	12.0	10.0	12.0	34.0	32.0
7.0	10.0	7.0	7.0	13.0	6.0	11.0	4.0	7.0	13.0	7.0	67.0	71.0	76.0	54.0	71.0	68.0	58.0	42.0	53.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	5.0	2.0	16.0	9.0	9.0	1.0	0.0	6.0	5.0	192.0	45.0	51.0	40.0	2.0	2.0	2.0	2.0	1.0	41.0	123.0	82.0	8.0	23.0	8.0	18.0	13.0	9.0	10.0	6.0	10.0	10.0
4.0	5.0	5.0	2.0	4.0	3.0	20.0	3.0	5.0	19.0	13.0	29.0	21.0	25.0	33.0	25.0	32.0	34.0	25.0	35.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	3.0	3.0	4.0	3.0	5.0	10.0	3.0	7.0	6.0	6.0	6.0	3.0	115.0	9.0	20.0	16.0	1.0	1.0	0.0	1.0	1.0	25.0	42.0	45.0	6.0	14.0	10.0	69.0	42.0	36.0	37.0	33.0	17.0	15.0
10.0	14.0	8.0	5.0	5.0	18.0	22.0	20.0	24.0	11.0	6.0	28.0	18.0	8.0	8.0	5.0	23.0	22.0	22.0	21.0	0.0	0.0	2.0	0.0	5.0	4.0	2.0	2.0	4.0	3.0	5.0	3.0	3.0	20.0	3.0	7.0	19.0	9.0	13.0	8.0	36.0	2.0	4.0	4.0	10.0	9.0	8.0	9.0	9.0	6.0	10.0	8.0	1.0	3.0	9.0	74.0	56.0	67.0	62.0	48.0	6.0	6.0
