MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
7.40E+01	2.06E-03	1.32E-03	1.46E-03	1.59E-03	1.38E-03	1.48E-03	1.53E-03	9.11E-04
1.33E+02	9.80E-04	5.72E-04	1.55E-03	1.71E-03	1.38E-03	3.30E-03	6.58E-04	1.16E-03
8.30E+01	7.42E-04	5.10E-04	4.04E-04	5.00E-04	9.77E-04	4.81E-04	7.06E-04	2.72E-04
2.01E+02	1.21E-03	1.19E-03	9.21E-04	1.20E-03	1.15E-03	1.47E-03	1.08E-03	8.23E-04
4.80E+01	2.29E-04	2.61E-04	2.25E-04	3.83E-04	3.59E-04	2.77E-04	1.12E-03	3.66E-04
3.20E+01	1.76E-04	8.39E-05	2.17E-04	2.88E-04	4.37E-04	3.23E-04	1.39E-03	5.31E-04
1.10E+01	1.91E-03	1.53E-03	6.58E-05	3.90E-04	4.43E-05	6.50E-05	1.19E-03	1.64E-04
7.00E+00	8.86E-04	6.60E-04	3.96E-05	1.75E-04	1.49E-04	5.37E-05	4.51E-04	1.14E-04
4.00E+00	3.91E-04	2.80E-04	9.39E-05	2.39E-04	2.33E-04	1.16E-04	1.76E-04	2.38E-05
1.00E+01	3.29E-04	1.07E-04	2.04E-04	3.05E-04	3.41E-04	1.49E-04	2.19E-04	2.02E-04
4.00E+00	5.83E-05	3.74E-05	6.10E-05	2.64E-05	6.22E-05	7.11E-05	8.26E-05	4.91E-05
3.00E+00	7.68E-05	3.14E-05	5.91E-05	7.56E-05	3.00E-05	7.44E-06	1.04E-04	7.29E-05
7.00E+00	1.96E-03	3.66E-04	1.08E-03	8.27E-04	3.37E-04	1.32E-05	0.00E+00	2.63E-09
4.00E+00	4.27E-04	0.00E+00	1.51E-03	4.31E-04	2.57E-04	1.03E-03	3.34E-05	5.78E-04
4.00E+00	1.07E-04	6.24E-05	6.15E-04	2.08E-04	1.86E-05	7.60E-04	4.82E-05	4.39E-05
2.00E+00	2.37E-05	2.20E-05	2.18E-05	2.28E-05	2.55E-05	1.96E-05	2.58E-05	7.42E-06
0.00E+00	2.59E-05	2.97E-05	3.06E-05	1.48E-05	3.26E-05	9.08E-06	3.62E-05	1.35E-05
0.00E+00	5.60E-05	4.61E-05	2.61E-05	3.25E-05	1.67E-06	3.79E-06	4.42E-05	2.81E-05
1.00E+01	7.85E-05	7.07E-05	5.68E-05	9.98E-05	1.48E-04	7.30E-05	6.93E-05	7.79E-05
3.40E+01	1.68E-04	4.47E-05	7.89E-05	0.00E+00	2.34E-04	8.82E-05	1.77E-04	8.25E-05
1.13E+00	1.51E-05	2.13E-05	1.64E-05	2.18E-05	2.07E-05	2.28E-05	2.18E-05	5.41E-05
1.70E+00	1.67E-05	2.40E-05	2.13E-05	2.83E-05	2.88E-05	2.97E-05	4.21E-05	6.70E-05
0.00E+00	5.75E-05	8.79E-05	4.49E-05	1.54E-05	2.42E-05	3.05E-05	2.60E-05	8.11E-06
1.39E+02	2.18E-03	1.94E-03	7.55E-04	1.53E-03	1.20E-03	8.75E-04	1.75E-03	5.23E-04
2.10E+02	2.24E-03	8.47E-04	1.19E-03	1.82E-03	1.34E-03	1.20E-03	1.56E-03	8.77E-04
3.43E+02	1.30E-03	1.68E-03	1.55E-03	1.28E-03	2.08E-03	1.65E-03	1.29E-03	9.98E-04
2.90E+01	2.85E-05	4.22E-05	4.04E-05	1.01E-04	9.62E-05	7.13E-05	7.74E-05	7.51E-04
7.00E+01	2.48E-04	5.90E-04	2.23E-04	3.66E-04	5.66E-04	3.75E-04	3.01E-04	1.03E-03
2.80E+01	3.32E-04	5.02E-04	3.22E-04	2.83E-04	4.28E-04	3.96E-04	1.76E-04	2.01E-04
3.00E+00	1.84E-04	7.51E-05	1.82E-04	1.05E-04	1.27E-04	2.29E-04	8.38E-05	0.00E+00
3.00E+00	4.25E-05	4.34E-06	9.07E-06	9.97E-06	5.48E-05	3.20E-09	7.56E-05	1.61E-09
4.07E+02	2.32E-03	1.55E-03	1.32E-03	1.12E-03	2.83E-03	2.71E-03	2.50E-03	1.27E-03
3.40E+01	4.40E-04	2.46E-04	2.72E-04	2.40E-04	2.79E-04	2.47E-04	3.07E-04	1.95E-04
4.00E+00	2.03E-04	1.21E-04	2.07E-04	0.00E+00	8.28E-05	1.99E-04	1.54E-04	1.42E-09
9.00E+00	3.57E-05	4.44E-05	4.98E-05	6.06E-05	3.78E-05	5.58E-05	9.77E-05	2.27E-04
1.30E+01	7.13E-06	5.30E-05	1.56E-05	4.22E-05	7.36E-05	5.22E-05	3.76E-06	3.76E-04
1.80E+01	1.16E-04	2.63E-04	1.04E-04	1.66E-04	1.92E-04	1.81E-04	1.65E-04	2.21E-04
6.00E+00	1.05E-04	1.13E-04	1.34E-04	1.04E-04	1.26E-04	2.00E-04	7.17E-05	0.00E+00
1.72E+02	2.46E-03	1.18E-03	6.51E-04	2.35E-04	4.15E-03	2.81E-03	2.95E-03	8.22E-04
3.30E+02	2.60E-03	2.69E-03	1.96E-03	0.00E+00	3.17E-03	3.77E-03	2.32E-03	1.23E-03
1.06E+02	1.82E-03	6.69E-04	1.03E-03	1.35E-03	2.98E-03	2.75E-03	1.02E-03	0.00E+00
6.30E+01	8.05E-04	6.29E-05	5.85E-05	7.64E-04	1.43E-03	7.37E-04	5.17E-04	1.23E-04
1.70E+01	2.04E-04	1.30E-09	4.57E-09	2.50E-04	4.02E-04	1.20E-04	1.20E-04	2.83E-09
