MutationType	0	1	2	3	4	5	6	7
74.00000000	0.11075149	0.10854687	0.12204093	0.05325064	0.03685678	0.01081655	0.00807336	0.02617894
133.00000000	0.01090449	0.00583212	0.00414688	0.03113881	0.03818649	0.17102996	0.00509870	0.02271656
83.00000000	0.02106145	0.01450972	0.01373432	0.02242307	0.03653735	0.00521195	0.01348258	0.00899862
201.00000000	0.11604746	0.11203458	0.12450023	0.09191494	0.08018325	0.04397309	0.14078581	0.04539518
48.00000000	0.00102880	0.00647540	0.00218702	0.00830068	0.00411194	0.00255944	0.03162106	0.01035843
32.00000000	0.00040287	0.00017898	0.00136294	0.00488489	0.00639255	0.00746915	0.03465600	0.01861556
11.00000000	0.04301954	0.05432155	0.00009348	0.00735496	0.00005734	0.00029353	0.00276389	0.00133592
7.00000000	0.00900014	0.02993910	0.00029071	0.00458470	0.00227047	0.00032152	0.00129682	0.00238783
4.00000000	0.00516441	0.01175669	0.00072933	0.00260790	0.01229977	0.00032215	0.00182883	0.00009527
10.00000000	0.00288370	0.00160688	0.00194664	0.00304059	0.01771244	0.00015609	0.00462399	0.00426437
4.00000000	0.00199658	0.00085014	0.00137515	0.00013392	0.00174065	0.00111345	0.00060977	0.00078674
3.00000000	0.00150855	0.00038345	0.00140698	0.00125865	0.00017814	0.00001769	0.00212561	0.00270092
7.00000000	0.04748242	0.00072856	0.00562055	0.01055421	0.00421473	0.00002730	0.00000000	0.00000000
4.00000000	0.00121571	0.00000000	0.07471715	0.00205776	0.00061543	0.00249386	0.00005925	0.01536451
4.00000000	0.00109254	0.00042177	0.02336669	0.00129613	0.00001865	0.02058986	0.00015432	0.00006484
2.00000000	0.00035097	0.00044788	0.00026769	0.00026564	0.00054819	0.00013630	0.00012932	0.00002766
0.00000000	0.00047847	0.00073587	0.00080782	0.00005607	0.00060289	0.00001786	0.00031680	0.00006479
0.00000000	0.00099713	0.00194246	0.00038047	0.00031951	0.00000183	0.00000379	0.00066971	0.00022941
10.00000000	0.00194508	0.00275502	0.00047009	0.00568597	0.00308339	0.00030119	0.00025154	0.00312422
34.00000000	0.00413906	0.00063299	0.00017380	0.00000000	0.00840375	0.00013654	0.00055077	0.00308589
1.13282576	0.00016520	0.00048272	0.00020130	0.00025942	0.00020357	0.00026132	0.00010116	0.00266952
1.70029802	0.00014301	0.00035781	0.00022918	0.00033817	0.00031895	0.00032161	0.00034777	0.00298041
0.00000000	0.00047999	0.00420365	0.00099903	0.00005288	0.00017201	0.00017460	0.00011883	0.00001889
139.00000000	0.05643228	0.10887523	0.00490919	0.05957240	0.00720778	0.00762912	0.15418252	0.00179892
210.00000000	0.08968516	0.02027908	0.09853495	0.06840119	0.15232948	0.06266791	0.05303989	0.01263995
343.00000000	0.10939095	0.13608608	0.16052435	0.11811220	0.11210447	0.18979128	0.04823515	0.21221549
29.00000000	0.00017212	0.00021376	0.00021071	0.00161790	0.00052353	0.00060329	0.00067911	0.12752472
70.00000000	0.00046879	0.01400481	0.00334038	0.00767203	0.01137483	0.00528866	0.00105478	0.14881778
28.00000000	0.00544002	0.02266146	0.01555372	0.01847191	0.00872733	0.01051868	0.00060364	0.00519746
3.00000000	0.00769696	0.00176843	0.00453179	0.00105072	0.00427493	0.00703222	0.00103056	0.00000000
3.00000000	0.00058949	0.00000731	0.00001666	0.00002709	0.00095374	0.00000001	0.00105758	0.00000001
407.00000000	0.08644026	0.04255396	0.04986251	0.16371877	0.17044016	0.15382456	0.16731992	0.05470752
34.00000000	0.02050421	0.01226465	0.01743763	0.01141754	0.01513837	0.01534480	0.01546976	0.00465124
4.00000000	0.00372546	0.01079147	0.01000634	0.00000000	0.00108989	0.00256891	0.00578018	0.00000000
9.00000000	0.00034074	0.00096468	0.00084140	0.00098400	0.00023371	0.00068739	0.00083562	0.02910395
13.00000000	0.00001244	0.00036263	0.00007920	0.00043099	0.00079148	0.00020169	0.00000376	0.05041206
18.00000000	0.00037135	0.00805878	0.00166316	0.00534854	0.00351354	0.00336835	0.00099512	0.01971802
6.00000000	0.00442722	0.00368287	0.00441315	0.00311967	0.00402481	0.00433591	0.00046599	0.00000000
172.00000000	0.02740363	0.02790920	0.00389811	0.00084909	0.04912402	0.03635280	0.09180735	0.05801939
330.00000000	0.17516476	0.21299255	0.21704270	0.00000000	0.12624645	0.17792304	0.20104717	0.10206286
106.00000000	0.02771126	0.01712281	0.02599360	0.22928646	0.03516635	0.04702755	0.00340599	0.00000000
63.00000000	0.00140874	0.00025603	0.00009206	0.05485786	0.03232864	0.00694420	0.00314111	0.00166615
17.00000000	0.00035512	0.00000000	0.00000001	0.00328215	0.00969594	0.00014085	0.00017891	0.00000001
