"EOC1003_p2Ome1_TR_DNA"	"EOC1003_p2OvaL1_TR_DNA"	"EOC1003_p2OvaR1_DNA1"	"EOC1022_pOme1_DNA1"	"EOC1022_pPer1_DNA1"	"EOC1067_pOme1_DNA3"	"EOC1067_pOvaR1_DNA1"	"EOC1067_pPerR1_DNA1"	"EOC1067_pTubL1_DNA1"	"EOC1091_pOme1_TR_DNA"	"EOC1091_pOvaR1_TR_DNA"	"EOC124_pOvaL1_TR_DNA1"	"EOC124_pOvaR1_TR"	"EOC133_pAsc1_DNA1"	"EOC133_pOme1_TR_DNA"	"EOC133_pOvaL1_DNA1"	"EOC148_pAdnL1_DNA1"	"EOC148_pAdnL3_DNA1"	"EOC148_pOvaL4_DNA1"	"EOC148_pOvaL5_DNA1"	"EOC192_iOme1B_DNA2"	"EOC192_iOme3A_DNA1"	"EOC192_iOvaR1A_DNA1"	"EOC192_pAsc1_DNA1"	"EOC192_pOme1A_TR_DNA1"	"EOC192_pOme2B_DNA2"	"EOC192_pOvaR1A_DNA1"	"EOC192_pOvaR1A_DNA3"	"EOC192_pPer1A_DNA2"	"EOC192_pPer2B_DNA1"	"EOC293_pAdnL1_DNA1"	"EOC293_pMes1_DNA2"	"EOC293_pOvaR1_DNA2"	"EOC372_iOme1_DNA1"	"EOC372_iPer1_DNA1"	"EOC372_pPer1_DNA1"	"EOC523_pOme1_DNA2"	"EOC523_pOvaR1_DNA2"	"EOC561_pPer1_DNA1"	"EOC561_pPer1_DNA1_bgiseq"	"EOC63_pOme1_DNA1"	"EOC63_pOvaR1_DNA1"	"EOC667_pMes1_DNA1"	"EOC667_pOme1_DNA2"	"EOC77_iOme1_DNA1"	"EOC77_iOme2_DNA1"	"EOC77_iPer1_DNA2"	"EOC77_pAsc1_DNA1"	"EOC77_pOme1_DNA3"	"EOC779_pOme1_DNA1"	"EOC779_pOvaL1_DNA1"	"EOC779_pPer1_DNA1"	"EOC863_pMes1_DNA1"	"EOC863_pOva1_DNA1"	"EOC879_p2Ome1_DNA1"	"EOC879_p2OvaL1_DNA1"	"EOC879_p2TubL1_DNA1"	"EOC914_iOme1_DNA1"	"EOC914_iOvaL1_DNA1"	"EOC914_iPer1_DNA1"	"EOC984_pOme1_DNA1"	"EOC984_pPer1_DNA1"
"simple"	74	76	56	50	100	67	203	57	78	105	66	402	369	282	235	250	551	498	398	512	18	15	51	29	50	56	48	52	55	66	439	324	296	309	142	182	50	37	384	279	1314	317	479	420	74	71	83	62	67	153	438	315	36	79	123	449	377	193	197	166	94	89
"complex"	133	147	85	12	27	57	121	54	64	104	111	88	73	59	75	54	136	141	174	159	52	70	16	70	13	12	16	11	21	25	350	658	508	104	145	192	46	34	98	230	158	135	61	53	56	26	30	24	20	64	51	50	99	63	127	129	139	147	125	158	18	25
"interchr"	83	72	32	19	20	48	83	46	77	86	63	43	45	69	60	62	160	150	121	143	3	6	16	6	11	14	11	11	13	18	53	52	40	98	47	54	24	22	91	63	150	57	88	81	21	18	26	13	12	34	54	49	43	81	87	125	111	93	83	80	4	7
"intrachr"	201	216	188	67	121	123	279	109	171	270	223	484	414	363	314	329	856	783	589	745	36	30	84	55	80	78	77	81	102	122	623	511	422	362	185	240	264	241	574	415	1518	348	518	457	109	111	136	101	131	183	502	362	147	251	243	596	541	328	321	299	108	110
"compact"	29	29	4	11	11	7	11	10	14	32	43	39	16	27	22	25	38	54	20	31	3	5	5	2	5	5	5	5	5	23	26	20	10	25	23	16	17	4	54	37	67	1	6	6	1	0	3	7	18	19	26	24	11	8	38	18	13	20	18	14	4	3
"sparse"	51	56	7	12	12	20	10	24	39	73	87	45	29	19	23	11	31	75	19	26	8	5	22	12	25	25	22	22	42	58	35	41	24	38	41	35	50	49	65	42	50	3	6	5	2	0	14	19	53	3	4	4	21	42	59	40	16	27	29	30	2	0
"del1"	11	12	10	4	20	7	10	6	6	18	9	105	135	125	109	111	181	166	122	171	1	2	3	1	3	3	3	4	5	6	11	6	7	94	51	66	5	4	6	4	601	113	151	130	7	3	8	6	7	71	226	149	3	7	5	12	17	12	10	12	34	32
"del2"	7	10	7	7	14	7	11	4	7	14	7	67	70	76	53	71	68	56	43	53	3	1	3	3	3	3	3	3	3	3	5	4	2	17	11	10	1	0	6	5	194	43	52	40	2	2	2	2	1	41	124	84	8	23	8	18	13	9	10	6	8	8
"del3"	2	4	3	2	4	3	21	3	5	19	13	29	23	26	34	26	33	35	25	35	0	1	1	1	0	2	0	0	3	3	5	4	5	10	3	7	6	6	6	3	113	11	22	18	1	1	0	1	1	25	44	48	5	14	10	68	42	35	36	32	19	17
"del4"	12	15	10	5	5	18	23	20	24	11	6	31	18	8	8	5	24	23	22	21	0	0	2	0	5	4	2	2	4	3	5	3	3	20	3	7	19	9	14	8	39	2	4	4	10	9	8	9	9	6	10	8	2	3	9	75	56	68	63	49	6	6
