"sample"	"simple"	"complex"	"interchr"	"intrachr"	"compact"	"sparse"	"del1"	"del2"	"del3"	"del4"	"del5"	"dup1"	"dup2"	"dup3"	"dup4"	"ins"	"recip_inv"	"recip_trans"	"unbal_trans"	"LINE"	"del_magnitude"	"dup_magnitude"	"chrtps"	"segsize1"	"segsize2"	"segsize3"	"fiveMB1"	"fiveMB2"	"fiveMB3"	"fiveMB4"	"fiveMB5"	"osc1"	"osc2"	"osc3"	"osc4"	"bpArm1"	"bpArm2"	"bpArm3"	"bpArm4"	"chg1"	"chg2"	"chg3"	"chg4"	"chg5"
"EOC1003_p2Ome1_TR_DNA"	74	133	83	201	29	51	11	7	2	12	4	3	7	4	4	2	0	0	10	34	1.13282575928935	1.70029802282402	0	133	209	350	2	28	27	2	74	407	31	5	2	15	14	14	3	176	321	107	66	18
"EOC1003_p2OvaL1_TR_DNA"	76	147	72	216	29	56	12	10	4	15	5	3	7	6	4	0	1	0	6	29	1.11649976848693	1.69464605668368	0	117	231	363	4	29	28	1	72	425	29	8	0	16	10	17	3	174	335	116	61	17
"EOC1003_p2OvaR1_DNA1"	56	85	32	188	4	7	10	7	3	10	7	2	5	3	2	0	1	0	0	16	1.14839594787163	1.80066854684541	0	82	179	250	4	44	11	1	73	308	18	5	0	25	11	7	3	92	197	118	76	16
"EOC1022_pOme1_DNA1"	50	12	19	67	11	12	4	7	2	5	0	3	2	21	1	1	0	1	3	0	1.46973289666634	1.41404359208816	0	27	38	145	0	63	5	0	64	75	9	0	0	37	7	2	0	32	30	114	12	0
"EOC1022_pPer1_DNA1"	100	27	20	121	11	12	20	14	4	5	0	3	8	38	2	1	0	1	3	0	1.44482333071544	1.38200454872844	0	57	79	204	1	44	12	0	76	107	16	4	2	26	15	4	1	37	159	110	12	0
"EOC1067_pOme1_DNA3"	67	57	48	123	7	20	7	7	3	18	1	4	4	10	1	0	1	0	6	13	1.50603320420679	1.37538989804124	0	68	107	255	2	41	20	0	70	144	30	7	2	18	16	12	0	29	286	69	27	2
"EOC1067_pOvaR1_DNA1"	203	121	83	279	11	10	10	11	21	23	5	3	20	92	12	0	3	1	6	14	1.18368915820126	1.47568192163041	3	112	278	482	10	13	37	0	72	317	45	18	10	8	12	16	10	67	627	106	36	22
"EOC1067_pPerR1_DNA1"	57	54	46	109	10	24	6	4	3	20	2	1	5	5	2	0	1	0	8	3	1.333790039843	1.44132901479562	0	40	109	243	2	47	17	0	67	177	15	4	1	22	14	10	0	42	211	70	43	5
"EOC1067_pTubL1_DNA1"	78	64	77	171	14	39	6	7	5	24	1	3	7	6	2	0	1	0	11	6	1.2288134560434	1.5752405918829	0	60	216	298	6	39	19	1	68	296	32	4	1	16	13	14	3	106	292	98	51	9
"EOC1091_pOme1_TR_DNA"	105	104	86	270	32	73	18	14	19	11	3	3	11	6	3	1	2	0	10	1	1.2236608394248	1.66530436571942	0	109	295	421	8	24	33	0	68	444	37	11	4	17	12	8	9	67	326	314	95	22
"EOC1091_pOvaR1_TR_DNA"	66	111	63	223	43	87	9	7	13	6	2	2	10	5	3	0	0	1	8	0	1.21591016009561	1.74672440325802	1	84	248	349	7	31	22	1	71	395	37	7	3	23	10	6	7	207	351	86	16	13
"EOC124_pOvaL1_TR_DNA1"	402	88	43	484	39	45	105	67	29	31	3	6	75	66	6	0	1	0	10	4	1.59484242618017	1.51661296844505	7	264	321	553	11	9	70	0	43	339	70	28	16	7	8	16	15	105	844	168	14	2
"EOC124_pOvaR1_TR"	369	73	45	414	16	29	135	70	23	18	4	7	54	39	10	1	1	2	11	2	1.42256502737593	1.33690504337975	5	250	226	533	5	8	66	0	54	460	59	11	1	8	6	22	10	165	515	285	29	4
"EOC133_pAsc1_DNA1"	282	59	69	363	27	19	125	76	26	8	3	3	2	1	6	3	0	4	17	11	1.33443226813077	1.53767566919768	11	306	147	449	4	12	52	1	63	343	35	19	13	8	13	17	8	142	574	123	38	7
"EOC133_pOme1_TR_DNA"	235	75	60	314	22	23	109	53	34	8	3	1	1	2	5	2	0	5	10	6	1.38094348279069	1.52738150458643	10	254	139	424	2	13	50	1	66	356	36	14	6	8	14	19	5	138	475	139	42	8
"EOC133_pOvaL1_DNA1"	250	54	62	329	25	11	111	71	26	5	3	3	2	1	5	4	0	5	13	7	1.33995623989492	1.5804271335245	11	275	133	412	5	13	46	0	69	263	42	14	14	10	12	17	7	94	528	138	37	6
"EOC148_pAdnL1_DNA1"	551	136	160	856	38	31	181	68	33	24	9	9	155	16	19	4	2	5	21	30	1.29703972872968	1.54225688039694	3	513	530	798	34	5	64	1	28	842	100	33	6	6	1	19	20	176	1011	538	117	6
"EOC148_pAdnL3_DNA1"	498	141	150	783	54	75	166	56	35	23	10	8	139	15	17	1	3	3	23	32	1.32797412620594	1.52025793434161	2	478	491	766	26	5	72	2	29	737	109	32	6	5	2	20	19	121	1008	498	105	2
"EOC148_pOvaL4_DNA1"	398	174	121	589	20	19	122	43	25	22	9	7	120	15	18	2	1	5	18	20	1.45252313835005	1.42417029389527	4	317	356	661	18	7	71	0	37	551	84	25	5	5	8	16	17	115	636	473	112	5
"EOC148_pOvaL5_DNA1"	512	159	143	745	31	26	171	53	35	21	11	10	157	18	20	2	3	6	14	27	1.42769883305512	1.45565101782082	4	422	478	773	31	6	68	0	28	670	96	31	10	5	6	13	22	122	955	473	108	11
"EOC192_iOme1B_DNA2"	18	52	3	36	3	8	1	3	0	0	1	0	0	7	5	0	0	0	1	0	1.36662331797059	1.48489192383534	0	9	14	133	0	70	2	0	61	58	7	1	0	35	11	0	0	28	96	10	3	0
"EOC192_iOme3A_DNA1"	15	70	6	30	5	5	2	1	1	0	0	0	0	6	3	0	0	0	2	1	1.34094830714203	1.46966051641694	0	6	18	138	0	72	4	0	57	58	6	1	0	37	9	0	0	34	95	13	3	0
"EOC192_iOvaR1A_DNA1"	51	16	16	84	5	22	3	3	1	2	1	5	2	24	9	0	0	0	3	4	1.5282953429875	1.53218176250346	1	33	37	160	0	64	8	0	61	75	6	2	3	30	14	2	0	45	156	5	3	0
"EOC192_pAsc1_DNA1"	29	70	6	55	2	12	1	3	1	0	0	2	0	16	6	0	0	0	3	1	1.22292555182201	1.48170811948701	0	14	33	165	0	48	5	0	80	71	11	4	1	31	14	1	0	55	129	5	4	0
"EOC192_pOme1A_TR_DNA1"	50	13	11	80	5	25	3	3	0	5	2	2	0	27	7	0	0	0	3	2	1.42364065073391	1.48147873088825	0	23	40	157	0	62	6	0	64	68	8	2	2	30	14	2	0	37	152	6	3	0
"EOC192_pOme2B_DNA2"	56	12	14	78	5	25	3	3	2	4	3	2	0	28	7	0	0	0	4	2	1.53041036256728	1.47376104674439	0	25	43	165	0	57	7	0	69	73	10	4	2	29	15	2	0	43	148	17	4	0
"EOC192_pOvaR1A_DNA1"	48	16	11	77	5	22	3	3	0	2	1	4	2	24	9	0	0	0	3	3	1.51825774630073	1.53109999374082	0	27	36	155	0	64	7	0	62	67	7	2	2	32	11	3	0	39	146	8	3	0
