chromosome	start	end	copyNumber	bafCount	observedBAF	baf	segmentStartSupport	segmentEndSupport	method	depthWindowCount	gcContent	minStart	maxStart	minorAlleleCopyNumber	majorAlleleCopyNumber
chr1	1	1324879	5.0980	267	0.5610	0.5969	TELOMERE	DUP	BAF_WEIGHTED	150	0.6125	1	1	2.0550	3.0430
chr1	1324880	1545383	5.8652	12	0.5731	0.6106	DUP	DUP	BAF_WEIGHTED	77	0.5899	1324880	1324880	2.2841	3.5811
chr1	1545384	2231499	4.9988	441	0.5629	0.6015	DUP	DEL	BAF_WEIGHTED	425	0.5468	1545384	1545384	1.9919	3.0070
chr1	2231500	2236667	4.1052	5	0.6747	0.8024	DEL	DEL	BAF_WEIGHTED	3	0.5865	2231500	2231500	0.8113	3.2939
chr1	2236668	23326446	5.1248	13894	0.5601	0.5951	DEL	BND	BAF_WEIGHTED	17950	0.4850	2236668	2236668	2.0748	3.0500
chr1	23326447	23327706	6.9966	0	0.0000	0.7035	BND	BND	STRUCTURAL_VARIANT	0	0.0000	23326447	23326447	2.0748	4.9218
chr1	23327707	23407675	5.9802	4	0.6040	0.6562	BND	BND	BAF_WEIGHTED	76	0.4625	23327707	23327707	2.0557	3.9245
chr1	23407676	27474801	4.9335	1542	0.5616	0.5992	BND	DUP	BAF_WEIGHTED	3686	0.4788	23407676	23407676	1.9773	2.9563
chr1	27474802	27536009	5.9617	6	0.6475	0.7218	DUP	DUP	BAF_WEIGHTED	56	0.4979	27474802	27474802	1.6586	4.3032
chr1	27536010	40531000	4.5431	5153	0.5497	0.5684	DUP	NONE	BAF_WEIGHTED	12266	0.4616	27536010	27536010	1.9607	2.5825
chr1	40531001	41725000	5.4538	764	0.5784	0.6218	NONE	NONE	BAF_WEIGHTED	1120	0.4692	40531001	40531001	2.0626	3.3913
chr1	41725001	54881966	4.4344	6046	0.5427	0.5499	NONE	DUP	BAF_WEIGHTED	12114	0.4388	41725001	41725001	1.9960	2.4384
chr1	54881967	54890836	5.0821	7	0.6168	0.6857	DUP	DUP	BAF_WEIGHTED	7	0.4865	54881967	54881967	1.5971	3.4850
chr1	54890837	56191401	4.6323	736	0.5435	0.5703	DUP	DEL	BAF_WEIGHTED	1221	0.4137	54890837	54890837	1.9907	2.6416
chr1	56191402	56567878	4.0916	337	0.5422	0.5112	DEL	DEL	BAF_WEIGHTED	360	0.4174	56191402	56191402	1.9998	2.0918
chr1	56567879	58603023	4.5444	1068	0.5424	0.5614	DEL	DUP	BAF_WEIGHTED	1942	0.4066	56567879	56567879	1.9931	2.5513
