clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
382	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
383	SIMPLE	false	DUP	1	DUP
384	SIMPLE	false	DUP	1	DUP
385	SIMPLE	false	DUP	1	DUP
386	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
387	INCOMPLETE	false	INF	1	INF
389	COMPLEX	false	COMPLEX	3	INF=3
392	INCOMPLETE	false	INF	1	INF
393	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
394	SIMPLE	false	DUP	1	DUP
396	COMPLEX	false	COMPLEX	3	BND=3
397	SIMPLE	false	DUP	1	DUP
398	COMPLEX	false	COMPLEX	3	BND=2_INF=1
399	SIMPLE	false	DUP	1	DUP
402	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
404	INCOMPLETE	false	INF	1	INF
405	SIMPLE	false	DUP	1	DUP
406	SIMPLE	false	DUP	1	DUP
407	INCOMPLETE	false	INF	1	INF
408	SIMPLE	false	DUP	1	DUP
409	SIMPLE	false	DUP	1	DUP
410	SIMPLE	false	DUP	1	DUP
411	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
413	SIMPLE	false	DUP	1	DUP
414	SIMPLE	false	DUP	1	DUP
415	SIMPLE	false	DUP	1	DUP
416	SIMPLE	false	DUP	1	DUP
417	SIMPLE	false	DUP	1	DUP
418	SIMPLE	false	DUP	1	DUP
420	INCOMPLETE	false	INF	1	INF
421	INCOMPLETE	false	PAIR_OTHER	2	INF=2
422	COMPLEX	false	COMPLEX	3	BND=1_INF=1_INV=1
424	INCOMPLETE	false	INV	1	INV
425	INCOMPLETE	false	PAIR_OTHER	2	INF=2
426	SIMPLE	false	DEL	1	DEL
427	SIMPLE	false	DUP	1	DUP
428	SIMPLE	false	DEL	1	DEL
429	INCOMPLETE	false	INF	1	INF
430	SIMPLE	false	DUP	1	DUP
431	SIMPLE	false	DUP	1	DUP
432	COMPLEX	false	COMPLEX	6	BND=2_DEL=1_DUP=2_INF=1
434	COMPLEX	false	COMPLEX	3	BND=1_INF=2
435	SIMPLE	false	DEL	1	DEL
436	SIMPLE	false	DUP	1	DUP
438	SIMPLE	false	DUP	1	DUP
439	SIMPLE	false	DUP	1	DUP
440	INCOMPLETE	false	PAIR_OTHER	2	INF=2
441	SIMPLE	false	DUP	1	DUP
443	INCOMPLETE	false	INF	1	INF
444	COMPLEX	false	COMPLEX	3	BND=2_DUP=1
445	SIMPLE	false	DUP	1	DUP
446	SIMPLE	false	DUP	1	DUP
447	COMPLEX	false	COMPLEX	3	DEL=1_INF=2
449	SIMPLE	false	DUP	1	DUP
450	INCOMPLETE	false	INF	1	INF
451	SIMPLE	false	DUP	1	DUP
452	SIMPLE	false	DUP	1	DUP
453	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
454	SIMPLE	false	DUP	1	DUP
455	INCOMPLETE	false	PAIR_OTHER	2	INF=1_INV=1
456	SIMPLE	false	DUP	1	DUP
457	INCOMPLETE	false	INF	1	INF
459	SIMPLE	true	DUP	2	DEL=1_DUP=1
460	INCOMPLETE	false	INF	1	INF
461	SIMPLE	false	DUP	1	DUP
462	SIMPLE	false	DUP	1	DUP
463	SIMPLE	false	DUP	1	DUP
465	INCOMPLETE	false	INF	1	INF
466	SIMPLE	false	DUP	1	DUP
467	INCOMPLETE	false	INF	1	INF
468	SIMPLE	false	DUP	1	DUP
469	SIMPLE	false	DUP	1	DUP
470	INCOMPLETE	false	PAIR_OTHER	2	BND=2
471	SIMPLE	false	DUP	1	DUP
472	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
474	SIMPLE	false	DUP	1	DUP
475	SIMPLE	false	DUP	1	DUP
476	SIMPLE	false	UNBAL_TRANS	1	BND
477	SIMPLE	false	DUP	1	DUP
478	SIMPLE	false	DEL	1	DEL
479	COMPLEX	false	COMPLEX	3	BND=2_INV=1
480	SIMPLE	true	DUP	2	DEL=1_DUP=1
482	INCOMPLETE	false	INF	1	INF
483	SIMPLE	false	DUP	1	DUP
484	SIMPLE	false	DUP	1	DUP
485	SIMPLE	false	DUP	1	DUP
486	SIMPLE	false	DEL	1	DEL
487	SIMPLE	false	DUP	1	DUP
488	INCOMPLETE	false	PAIR_OTHER	2	INF=1_INV=1
489	SIMPLE	false	DUP	1	DUP
490	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
491	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
493	COMPLEX	false	COMPLEX	4	BND=4
495	SIMPLE	true	DUP	2	BND=2
496	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
497	SIMPLE	false	DUP	1	DUP
498	SIMPLE	false	DEL	1	DEL
499	SIMPLE	false	DUP	1	DUP
500	COMPLEX	false	COMPLEX	3	BND=2_INF=1
502	INCOMPLETE	false	INF	1	INF
503	SIMPLE	false	DUP	1	DUP
504	SIMPLE	false	DUP	1	DUP
505	INCOMPLETE	false	INF	1	INF
506	INCOMPLETE	false	INF	1	INF
509	SIMPLE	false	DUP	1	DUP
510	COMPLEX	false	COMPLEX	6	BND=2_INF=4
511	INCOMPLETE	false	INF	1	INF
512	INCOMPLETE	false	INF	1	INF
513	SIMPLE	false	DUP	1	DUP
514	SIMPLE	false	DUP	1	DUP
515	INCOMPLETE	false	PAIR_OTHER	2	INF=2
516	SIMPLE	false	DUP	1	DUP
518	INCOMPLETE	false	INF	1	INF
519	SIMPLE	false	DUP	1	DUP
520	SIMPLE	false	DUP	1	DUP
521	INCOMPLETE	false	INF	1	INF
522	INCOMPLETE	false	INF	1	INF
523	SIMPLE	false	DEL	1	DEL
524	INCOMPLETE	false	INF	1	INF
525	SIMPLE	false	DUP	1	DUP
526	SIMPLE	false	DUP	1	DUP
527	SIMPLE	false	DUP	1	DUP
528	INCOMPLETE	false	PAIR_OTHER	2	INF=2
529	SIMPLE	false	DUP	1	DUP
531	SIMPLE	false	DUP	1	DUP
532	INCOMPLETE	false	INF	1	INF
533	SIMPLE	false	DUP	1	DUP
534	SIMPLE	false	DUP	1	DUP
535	SIMPLE	true	DEL	3	DEL=1_INV=2
536	SIMPLE	false	DUP	1	DUP
537	SIMPLE	false	DUP	1	DUP
538	INCOMPLETE	false	INF	1	INF
539	INCOMPLETE	false	INF	1	INF
540	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
541	SIMPLE	false	DUP	1	DUP
542	SIMPLE	false	DUP	1	DUP
543	INCOMPLETE	false	INF	1	INF
544	SIMPLE	false	UNBAL_TRANS	1	BND
545	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
546	INCOMPLETE	false	INF	1	INF
548	SIMPLE	false	DUP	1	DUP
549	COMPLEX	false	COMPLEX	5	BND=1_DEL=1_DUP=1_INF=2
551	SIMPLE	false	DUP	1	DUP
552	SIMPLE	false	DUP	1	DUP
554	COMPLEX	false	COMPLEX	4	DUP=1_INF=1_INV=2
557	INCOMPLETE	false	INF	1	INF
