clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
43	COMPLEX	false	COMPLEX	4	BND=1_INV=2_SGL=1
44	SIMPLE	false	DUP	1	DUP
47	SIMPLE	false	DEL	1	DEL
48	SIMPLE	true	DUP	4	BND=3_DUP=1
49	SIMPLE	false	DUP	1	DUP
50	SIMPLE	false	DEL	1	DEL
51	SIMPLE	false	DEL	1	DEL
52	SIMPLE	false	DEL	1	DEL
53	SIMPLE	false	DUP	1	DUP
54	RECIPROCAL	false	RECIP_TRANS_DEL_DUP	2	BND=2
55	SIMPLE	false	UNBAL_TRANS	1	BND
56	SIMPLE	false	DEL	1	DEL
57	INCOMPLETE	true	INV	2	BND=2
59	COMPLEX	false	COMPLEX	7	BND=5_INF=1_INV=1
60	INSERTION	false	LINE	2	SGL=2
62	SIMPLE	false	DUP	1	DUP
64	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
65	SIMPLE	false	DUP	1	DUP
66	INCOMPLETE	false	INF	1	INF
67	SIMPLE	true	DUP	2	DUP=2
68	SIMPLE	false	DEL	1	DEL
69	INSERTION	false	LINE	2	SGL=2
70	SIMPLE	false	DEL	1	DEL
71	SIMPLE	false	DUP	1	DUP
72	SIMPLE	false	DUP	1	DUP
73	SIMPLE	false	DUP	1	DUP
74	SIMPLE	false	DUP	1	DUP
75	SIMPLE	false	SGL_PAIR_DUP	2	INF=1_SGL=1
77	INSERTION	false	LINE	2	SGL=2
78	SIMPLE	false	DEL	1	DEL
79	SIMPLE	false	DEL	1	DEL
128	COMPLEX	false	COMPLEX	7	BND=5_DUP=1_INV=1
82	INCOMPLETE	false	INF	1	INF
228	COMPLEX	false	COMPLEX	3	BND=1_INV=1_SGL=1
383	COMPLEX	false	COMPLEX	8	BND=3_INV=5
87	RECIPROCAL	false	RECIP_INV	2	INV=2
89	SIMPLE	false	DUP	1	DUP
90	SIMPLE	false	DUP	1	DUP
91	SIMPLE	false	UNBAL_TRANS	1	BND
92	SIMPLE	false	DUP	1	DUP
93	SIMPLE	false	DUP	1	DUP
94	INSERTION	false	LINE	2	INF=1_SGL=1
95	SIMPLE	false	DUP	1	DUP
96	SIMPLE	false	DEL	1	DEL
97	SIMPLE	false	DEL	1	DEL
98	SIMPLE	false	DUP	1	DUP
99	SIMPLE	false	DEL	1	DEL
100	SIMPLE	false	DEL	1	DEL
101	INSERTION	false	LINE	2	SGL=2
102	SIMPLE	false	DUP	1	DUP
103	SIMPLE	false	DEL	1	DEL
104	SIMPLE	false	DUP	1	DUP
105	SIMPLE	true	DUP	2	BND=2
106	INCOMPLETE	false	SGL	1	SGL
107	SIMPLE	false	DUP	1	DUP
108	SIMPLE	false	DEL	1	DEL
110	COMPLEX	false	COMPLEX	6	BND=4_DEL=1_INF=1
114	SIMPLE	false	DUP	1	DUP
115	SIMPLE	false	DEL	1	DEL
116	SIMPLE	false	DUP	1	DUP
117	SIMPLE	false	DUP	1	DUP
118	COMPLEX	false	COMPLEX	7	DEL=3_INV=4
121	RECIPROCAL	false	RECIP_INV	2	INV=2
122	INSERTION	false	LINE	2	INF=1_SGL=1
123	SIMPLE	false	DUP	1	DUP
125	SIMPLE	false	DUP	1	DUP
126	SIMPLE	false	DEL	1	DEL
127	INCOMPLETE	false	SGL	1	SGL
129	INCOMPLETE	false	INF	1	INF
130	SIMPLE	false	DUP	1	DUP
131	TEMPLATED_INSERTION	false	UNBAL_TRANS_TI	2	BND=2
132	INSERTION	false	LINE	1	SGL
136	SIMPLE	false	DUP	1	DUP
137	SIMPLE	false	DEL	1	DEL
138	SIMPLE	false	DUP	1	DUP
139	SIMPLE	false	DEL	1	DEL
140	SIMPLE	false	DUP	1	DUP
133	COMPLEX	false	COMPLEX	16	BND=7_DEL=2_DUP=3_INV=4
143	SIMPLE	false	DEL	1	DEL
145	SIMPLE	false	DEL	1	DEL
148	SIMPLE	false	UNBAL_TRANS	1	BND
149	SIMPLE	false	DUP	1	DUP
150	INCOMPLETE	false	PAIR_OTHER	2	BND=1_SGL=1
154	SIMPLE	false	DUP	1	DUP
155	INCOMPLETE	false	INF	1	INF
156	SIMPLE	false	DEL	1	DEL
157	SIMPLE	false	DUP	1	DUP
158	SIMPLE	false	DUP	1	DUP
146	COMPLEX	false	COMPLEX	4	BND=1_DUP=2_INF=1
160	SIMPLE	false	DUP	1	DUP
161	SIMPLE	false	DUP	1	DUP
162	SIMPLE	false	DUP	1	DUP
163	SIMPLE	false	DEL	1	DEL
164	SIMPLE	false	DUP	1	DUP
165	SIMPLE	false	DUP	1	DUP
166	SIMPLE	false	DUP	1	DUP
167	SIMPLE	false	DEL	1	DEL
168	SIMPLE	false	DUP	1	DUP
169	SIMPLE	false	DUP	1	DUP
170	SIMPLE	false	DUP	1	DUP
171	SIMPLE	false	DUP	1	DUP
172	SIMPLE	false	DUP	1	DUP
173	SIMPLE	false	DUP	1	DUP
174	COMPLEX	false	COMPLEX	3	BND=2_INF=1
175	SIMPLE	false	DUP	1	DUP
177	SIMPLE	false	DUP	1	DUP
178	INCOMPLETE	false	INF	1	INF
180	SIMPLE	false	DEL	1	DEL
182	SIMPLE	false	DEL	1	DEL
183	INCOMPLETE	false	INF	1	INF
184	SIMPLE	true	DEL	2	DEL=2
185	SIMPLE	false	DUP	1	DUP
186	SIMPLE	false	DEL	1	DEL
187	SIMPLE	false	UNBAL_TRANS	1	BND
188	INCOMPLETE	false	PAIR_OTHER	2	BND=1_DUP=1
189	SIMPLE	false	DEL	1	DEL
190	SIMPLE	false	DEL	1	DEL
191	SIMPLE	false	DEL	1	DEL
192	INCOMPLETE	false	INF	1	INF
193	SIMPLE	false	DEL	1	DEL
194	SIMPLE	false	DUP	1	DUP
