clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
115	RECIPROCAL	false	FB_INV_PAIR	2	INV=2
117	SIMPLE	false	DUP	1	DUP
119	TEMPLATED_INSERTION	false	UNBAL_TRANS_TI	2	BND=1_DUP=1
120	SIMPLE	false	DUP	1	DUP
121	INCOMPLETE	false	INF	1	INF
122	SIMPLE	false	DUP	1	DUP
123	SIMPLE	false	DUP	1	DUP
125	SIMPLE	false	DUP	1	DUP
128	SIMPLE	false	DUP	1	DUP
130	SIMPLE	false	DUP	1	DUP
131	SIMPLE	false	DUP	1	DUP
132	SIMPLE	false	DUP	1	DUP
133	SIMPLE	false	DUP	1	DUP
134	COMPLEX	false	COMPLEX	8	BND=3_DEL=1_DUP=1_INV=3
135	SIMPLE	false	DUP	1	DUP
136	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
139	INCOMPLETE	false	INF	1	INF
140	SIMPLE	false	DUP	1	DUP
141	INCOMPLETE	false	INF	1	INF
142	SIMPLE	false	DUP	1	DUP
143	SIMPLE	false	DUP	1	DUP
144	SIMPLE	false	DUP	1	DUP
145	INCOMPLETE	false	INF	1	INF
146	SIMPLE	false	DEL	1	DEL
147	INCOMPLETE	false	INF	1	INF
148	INCOMPLETE	false	PAIR_OTHER	2	INF=2
149	SIMPLE	false	DUP	1	DUP
151	SIMPLE	false	DUP	1	DUP
152	SIMPLE	false	DUP	1	DUP
153	SIMPLE	false	DUP	1	DUP
154	SIMPLE	false	DEL	1	DEL
155	SIMPLE	false	DUP	1	DUP
156	SIMPLE	false	DUP	1	DUP
157	INCOMPLETE	false	INF	1	INF
158	INCOMPLETE	true	INV	4	DUP=1_INV=3
159	SIMPLE	false	DUP	1	DUP
161	SIMPLE	false	DUP	1	DUP
162	SIMPLE	false	DUP	1	DUP
164	SIMPLE	false	DUP	1	DUP
166	COMPLEX	false	COMPLEX	5	DUP=2_INF=2_INS=1
169	SIMPLE	false	DUP	1	DUP
170	SIMPLE	false	DUP	1	DUP
171	SIMPLE	true	DUP	3	DUP=1_INV=2
172	SIMPLE	false	UNBAL_TRANS	1	BND
173	SIMPLE	false	DUP	1	DUP
174	SIMPLE	true	UNBAL_TRANS	2	BND=1_DUP=1
175	SIMPLE	false	DEL	1	DEL
177	SIMPLE	false	DUP	1	DUP
178	RECIPROCAL	false	RECIP_INV_DUPS	2	INV=2
181	COMPLEX	false	COMPLEX	3	INF=2_INV=1
183	SIMPLE	false	DUP	1	DUP
184	SIMPLE	false	DUP	1	DUP
186	SIMPLE	false	DUP	1	DUP
187	SIMPLE	false	DUP	1	DUP
188	COMPLEX	false	COMPLEX	7	DEL=1_DUP=3_INF=2_INV=1
189	SIMPLE	false	DUP	1	DUP
190	INCOMPLETE	false	PAIR_OTHER	2	BND=2
267	COMPLEX	false	COMPLEX	10	BND=2_DEL=2_DUP=2_INV=4
194	SIMPLE	false	DUP	1	DUP
195	SIMPLE	false	DEL	1	DEL
199	SIMPLE	false	DUP	1	DUP
200	SIMPLE	false	DUP	1	DUP
201	SIMPLE	false	DUP	1	DUP
202	SIMPLE	false	DUP	1	DUP
203	RECIPROCAL	false	RECIP_TRANS_DUPS	2	BND=2
205	SIMPLE	false	DEL	1	DEL
206	SIMPLE	false	DEL	1	DEL
207	SIMPLE	false	DUP	1	DUP
197	COMPLEX	false	COMPLEX	8	BND=4_DUP=3_INS=1
209	INCOMPLETE	false	INF	1	INF
210	SIMPLE	false	DUP	1	DUP
211	SIMPLE	false	DUP	1	DUP
212	SIMPLE	false	DUP	1	DUP
213	SIMPLE	false	SGL_PAIR_INS	2	SGL=2
214	SIMPLE	false	DUP	1	DUP
215	SIMPLE	true	DUP	2	DEL=1_DUP=1
216	INCOMPLETE	false	PAIR_OTHER	2	BND=1_INF=1
217	SIMPLE	false	DUP	1	DUP
218	SIMPLE	false	DUP	1	DUP
220	SIMPLE	true	DUP	2	DEL=1_DUP=1
221	SIMPLE	false	DUP	1	DUP
222	SIMPLE	false	DUP	1	DUP
224	SIMPLE	false	DEL	1	DEL
225	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
226	INCOMPLETE	false	PAIR_OTHER	2	INV=1_SGL=1
228	INCOMPLETE	false	INV	1	INV
229	SIMPLE	false	DUP	1	DUP
230	SIMPLE	false	DUP	1	DUP
231	SIMPLE	false	DUP	1	DUP
232	SIMPLE	false	DUP	1	DUP
233	SIMPLE	false	DUP	1	DUP
235	SIMPLE	false	DUP	1	DUP
236	INCOMPLETE	false	INF	1	INF
237	INCOMPLETE	false	PAIR_OTHER	2	DUP=1_INF=1
238	INCOMPLETE	false	INF	1	INF
240	SIMPLE	false	DUP	1	DUP
241	SIMPLE	false	DUP	1	DUP
242	SIMPLE	false	DUP	1	DUP
329	COMPLEX	false	COMPLEX	6	BND=2_DEL=1_DUP=1_INF=1_INV=1
244	SIMPLE	false	DUP	1	DUP
245	INCOMPLETE	false	INF	1	INF
246	COMPLEX	false	COMPLEX	3	BND=2_DUP=1
247	SIMPLE	false	DUP	1	DUP
248	SIMPLE	false	DUP	1	DUP
249	COMPLEX	false	COMPLEX	9	DEL=1_DUP=3_INV=5
252	SIMPLE	false	DUP	1	DUP
253	SIMPLE	false	DUP	1	DUP
254	SIMPLE	false	DUP	1	DUP
255	SIMPLE	false	DUP	1	DUP
256	SIMPLE	false	DUP	1	DUP
258	SIMPLE	true	DUP	2	DEL=1_DUP=1
259	SIMPLE	false	DUP	1	DUP
261	SIMPLE	false	DUP	1	DUP
262	SIMPLE	false	DUP	1	DUP
263	SIMPLE	false	DUP	1	DUP
264	SIMPLE	false	DUP	1	DUP
266	SIMPLE	true	DUP	2	DEL=1_DUP=1
270	SIMPLE	false	DUP	1	DUP
272	SIMPLE	false	DUP	1	DUP
273	SIMPLE	false	UNBAL_TRANS	1	BND
274	SIMPLE	false	DUP	1	DUP
275	SIMPLE	false	UNBAL_TRANS	1	BND
276	SIMPLE	false	DUP	1	DUP
277	SIMPLE	false	DUP	1	DUP
278	COMPLEX	false	COMPLEX	3	DEL=1_DUP=2
279	SIMPLE	false	DUP	1	DUP
281	COMPLEX	false	COMPLEX	4	BND=1_DEL=2_INF=1
283	SIMPLE	true	DUP	2	DEL=1_DUP=1
284	COMPLEX	false	COMPLEX	3	BND=1_INF=2
285	SIMPLE	false	DUP	1	DUP
287	SIMPLE	false	DUP	1	DUP
288	SIMPLE	false	DUP	1	DUP
289	SIMPLE	false	DUP	1	DUP
290	SIMPLE	false	DUP	1	DUP
291	SIMPLE	false	DUP	1	DUP
292	SIMPLE	false	DUP	1	DUP
293	SIMPLE	true	DUP	2	BND=2
294	SIMPLE	false	DUP	1	DUP
295	SIMPLE	false	DUP	1	DUP
296	COMPLEX	false	COMPLEX	7	BND=4_DUP=1_INF=2
297	SIMPLE	false	DUP	1	DUP
298	SIMPLE	false	DUP	1	DUP
301	COMPLEX	false	COMPLEX	3	INF=2_INV=1
303	SIMPLE	false	DUP	1	DUP
306	SIMPLE	false	DUP	1	DUP
