clusterId	category	synthetic	resolvedType	clusterCount	clusterDesc
46	INCOMPLETE	false	INF	1	INF
47	INCOMPLETE	false	INF	1	INF
48	SIMPLE	false	UNBAL_TRANS	1	BND
49	SIMPLE	false	DUP	1	DUP
50	SIMPLE	false	UNBAL_TRANS	1	BND
51	SIMPLE	false	DUP	1	DUP
52	COMPLEX	false	COMPLEX	3	DUP=1_INF=1_INV=1
53	SIMPLE	false	DUP	1	DUP
54	COMPLEX	false	COMPLEX	3	INF=2_INV=1
56	INCOMPLETE	false	INF	1	INF
58	SIMPLE	false	DUP	1	DUP
59	SIMPLE	false	DUP	1	DUP
60	INCOMPLETE	false	INF	1	INF
62	COMPLEX	false	COMPLEX	3	BND=2_DUP=1
63	INCOMPLETE	false	INF	1	INF
64	SIMPLE	false	DUP	1	DUP
65	SIMPLE	false	DEL	1	DEL
66	SIMPLE	false	DUP	1	DUP
67	INCOMPLETE	false	PAIR_OTHER	2	INF=2
69	SIMPLE	false	DEL	1	DEL
70	INCOMPLETE	false	INF	1	INF
71	SIMPLE	false	DUP	1	DUP
72	SIMPLE	false	DUP	1	DUP
74	INCOMPLETE	false	INF	1	INF
75	INCOMPLETE	false	INF	1	INF
76	INCOMPLETE	false	INF	1	INF
78	INCOMPLETE	false	INF	1	INF
77	COMPLEX	false	COMPLEX	3	INF=2_INV=1
81	INCOMPLETE	false	INF	1	INF
82	INCOMPLETE	false	INF	1	INF
83	INCOMPLETE	false	INF	1	INF
84	INCOMPLETE	false	INF	1	INF
85	SIMPLE	false	DEL	1	DEL
86	COMPLEX	false	COMPLEX	5	DEL=1_DUP=1_INF=2_INS=1
88	SIMPLE	false	DEL	1	DEL
89	INSERTION	false	LINE	2	INF=1_SGL=1
90	INCOMPLETE	false	INF	1	INF
91	INCOMPLETE	false	INF	1	INF
92	INCOMPLETE	false	INF	1	INF
0	ARTIFACT	false	PAIR_INF	1	INF
1	ARTIFACT	false	PAIR_INF	1	INF
2	ARTIFACT	false	PAIR_INF	1	INF
3	ARTIFACT	false	PAIR_INF	1	INF
4	ARTIFACT	false	PAIR_INF	1	INF
5	ARTIFACT	false	PAIR_INF	1	INF
6	ARTIFACT	false	PAIR_INF	1	INF
7	ARTIFACT	false	PAIR_INF	1	INF
8	ARTIFACT	false	PAIR_INF	1	INF
9	ARTIFACT	false	PAIR_INF	1	INF
10	ARTIFACT	false	PAIR_INF	1	INF
11	ARTIFACT	false	PAIR_INF	1	INF
12	ARTIFACT	false	PAIR_INF	1	INF
13	ARTIFACT	false	PAIR_INF	1	INF
14	ARTIFACT	false	PAIR_INF	1	INF
15	ARTIFACT	false	PAIR_INF	1	INF
16	ARTIFACT	false	PAIR_INF	1	INF
17	ARTIFACT	false	PAIR_INF	1	INF
18	ARTIFACT	false	PAIR_INF	1	INF
19	ARTIFACT	false	PAIR_INF	1	INF
20	ARTIFACT	false	PAIR_INF	1	INF
21	ARTIFACT	false	PAIR_INF	1	INF
22	ARTIFACT	false	PAIR_INF	1	INF
23	ARTIFACT	false	PAIR_INF	1	INF
24	ARTIFACT	false	PAIR_INF	1	INF
25	ARTIFACT	false	PAIR_INF	1	INF
26	ARTIFACT	false	PAIR_INF	1	INF
27	ARTIFACT	false	PAIR_INF	1	INF
28	ARTIFACT	false	PAIR_INF	1	INF
29	ARTIFACT	false	PAIR_INF	1	INF
30	ARTIFACT	false	PAIR_INF	1	INF
31	ARTIFACT	false	PAIR_INF	1	INF
32	ARTIFACT	false	PAIR_INF	1	INF
33	ARTIFACT	false	PAIR_INF	1	INF
34	ARTIFACT	false	PAIR_INF	1	INF
35	ARTIFACT	false	PAIR_INF	1	INF
36	ARTIFACT	false	PAIR_INF	1	INF
37	ARTIFACT	false	PAIR_INF	1	INF
38	ARTIFACT	false	PAIR_INF	1	INF
39	ARTIFACT	false	PAIR_INF	1	INF
40	ARTIFACT	false	PAIR_INF	1	INF
41	ARTIFACT	false	PAIR_INF	1	INF
42	ARTIFACT	false	PAIR_INF	1	INF
43	ARTIFACT	false	PAIR_INF	1	INF
44	ARTIFACT	false	PAIR_INF	1	INF
45	ARTIFACT	false	PAIR_INF	1	INF
